method,pdb_id,num_nodes,num_edges,density,avg_clustering,avg_shortest_path
CONTACT,7sck,20,41,0.21578947368421053,0.0,2.278947368421053
CONTACT,8dd2,21,41,0.19523809523809524,0.0,2.295238095238095
CONTACT,7nao,26,40,0.12307692307692308,0.07978687978687979,2.9261538461538463
CONTACT,7qn5,23,40,0.15810276679841898,0.0,2.5849802371541504
CONTACT,6nq3,21,39,0.18571428571428572,0.15068027210884355,2.538095238095238
CONTACT,7qne,23,39,0.1541501976284585,0.0,2.608695652173913
CONTACT,6b9x,18,38,0.24836601307189543,0.5009700176366843,2.065359477124183
CONTACT,7td5,23,36,0.1422924901185771,0.0,2.7984189723320156
CONTACT,7ux2,27,36,0.10256410256410256,0.0,
CONTACT,7vlk,26,36,0.11076923076923077,0.03974358974358974,4.055384615384615
CONTACT,5fu6,20,35,0.18421052631578946,0.22702380952380952,2.331578947368421
CONTACT,5iso,23,35,0.1383399209486166,0.0,
CONTACT,6iyc,20,35,0.18421052631578946,0.19142857142857145,2.557894736842105
CONTACT,7nvn,29,35,0.08620689655172414,0.0,2.497536945812808
CONTACT,8h9e,23,35,0.1383399209486166,0.20828157349896478,3.217391304347826
CONTACT,4e54,24,34,0.12318840579710146,0.0,2.5
CONTACT,8any,30,34,0.07816091954022988,0.0,
CONTACT,6zme,34,33,0.058823529411764705,0.0,
CONTACT,8h1t,19,33,0.19298245614035087,0.25039872408293457,2.1578947368421053
CONTACT,6sn1,19,32,0.1871345029239766,0.0,2.3859649122807016
CONTACT,6xog,20,32,0.16842105263157894,0.028333333333333332,2.536842105263158
CONTACT,6zxe,23,32,0.12648221343873517,0.0,2.66403162055336
CONTACT,7evo,34,32,0.0570409982174688,0.0,
CONTACT,7v0k,25,32,0.10666666666666667,0.0,
CONTACT,8ajm,25,32,0.10666666666666667,0.0,2.24
CONTACT,6k7l,19,31,0.18128654970760233,0.0,2.3976608187134505
CONTACT,7z8b,22,31,0.1341991341991342,0.0,3.0865800865800868
CONTACT,8fkq,19,31,0.18128654970760233,0.15238095238095237,
CONTACT,8oiz,22,31,0.1341991341991342,0.0,2.324675324675325
CONTACT,8u1x,25,31,0.10333333333333333,0.0,3.6666666666666665
CONTACT,4f52,20,30,0.15789473684210525,0.0,2.6210526315789475
CONTACT,6om1,20,30,0.15789473684210525,0.0,2.2842105263157895
CONTACT,7oop,30,30,0.06896551724137931,0.0,
CONTACT,7z8r,23,30,0.11857707509881422,0.0,
CONTACT,8ouz,18,30,0.19607843137254902,0.14603174603174604,2.6143790849673203
CONTACT,8umv,25,30,0.1,0.02,
CONTACT,2a1u,17,29,0.21323529411764705,0.0,2.3088235294117645
CONTACT,4um8,20,29,0.15263157894736842,0.0,2.294736842105263
CONTACT,5wai,25,29,0.09666666666666666,0.0,2.933333333333333
CONTACT,6zx9,22,29,0.12554112554112554,0.0,2.4935064935064934
CONTACT,7bsv,16,29,0.24166666666666667,0.0,2.0833333333333335
CONTACT,7z87,29,29,0.07142857142857142,0.0,
CONTACT,8fl0,23,29,0.11462450592885376,0.1458671763019589,
CONTACT,8g1u,24,29,0.10507246376811594,0.0,
CONTACT,8qyj,18,29,0.1895424836601307,0.1089506172839506,2.150326797385621
CONTACT,8snl,18,29,0.1895424836601307,0.0,2.69281045751634
CONTACT,9ema,18,29,0.1895424836601307,0.0,2.418300653594771
CONTACT,5dse,17,28,0.20588235294117646,0.0,2.2794117647058822
CONTACT,6x9o,29,28,0.06896551724137931,0.0,1.9310344827586208
CONTACT,6z3r,23,28,0.11067193675889328,0.0,
CONTACT,7sd0,17,28,0.20588235294117646,0.05294117647058823,2.5808823529411766
CONTACT,2h6f,16,27,0.225,0.0,2.6666666666666665
CONTACT,4y99,14,27,0.2967032967032967,0.1360544217687075,2.010989010989011
CONTACT,8f0k,17,27,0.19852941176470587,0.33169934640522875,2.2720588235294117
CONTACT,8zjf,21,27,0.12857142857142856,0.0,
CONTACT,2nut,16,26,0.21666666666666667,0.13630952380952382,2.2083333333333335
CONTACT,3vi3,19,26,0.15204678362573099,0.0,2.2339181286549707
CONTACT,5l8w,20,26,0.1368421052631579,0.052543290043290045,2.236842105263158
CONTACT,8ox7,16,26,0.21666666666666667,0.0,2.2666666666666666
CONTACT,3ghg,15,25,0.23809523809523808,0.2761904761904762,2.323809523809524
CONTACT,5f0j,14,25,0.27472527472527475,0.18469387755102037,2.032967032967033
CONTACT,6qnx,21,25,0.11904761904761904,0.16750208855472012,1.957142857142857
CONTACT,7b51,18,25,0.16339869281045752,0.0,2.477124183006536
CONTACT,7nvv,15,25,0.23809523809523808,0.2765079365079365,2.2666666666666666
CONTACT,7vf2,17,25,0.18382352941176472,0.0,2.426470588235294
CONTACT,7vfs,23,24,0.09486166007905138,0.0,
CONTACT,8or3,19,24,0.14035087719298245,0.0,2.736842105263158
CONTACT,8x93,21,24,0.11428571428571428,0.0,
CONTACT,2e9x,15,23,0.21904761904761905,0.06222222222222222,2.2095238095238097
CONTACT,2wtk,17,23,0.16911764705882354,0.0,2.75
CONTACT,3nhe,15,23,0.21904761904761905,0.0,2.057142857142857
CONTACT,6y32,14,23,0.25274725274725274,0.0,2.2747252747252746
CONTACT,7ceb,15,23,0.21904761904761905,0.0,2.057142857142857
CONTACT,7e20,15,23,0.21904761904761905,0.14285714285714285,2.3523809523809525
CONTACT,2zu6,15,22,0.20952380952380953,0.0,2.4571428571428573
CONTACT,3dpl,12,22,0.3333333333333333,0.0,1.9545454545454546
CONTACT,4jhp,13,22,0.28205128205128205,0.0,2.0
CONTACT,4kng,16,22,0.18333333333333332,0.0,2.2
CONTACT,4ol0,17,22,0.16176470588235295,0.0,2.514705882352941
CONTACT,4uel,15,22,0.20952380952380953,0.2108225108225108,2.0
CONTACT,6uva,22,22,0.09523809523809523,0.0,3.5238095238095237
CONTACT,6uxe,16,22,0.18333333333333332,0.0,2.65
CONTACT,6wcv,14,22,0.24175824175824176,0.0,2.2967032967032965
CONTACT,7uhg,21,22,0.10476190476190476,0.0,
CONTACT,7y5x,18,22,0.1437908496732026,0.0,3.366013071895425
CONTACT,7yg5,22,22,0.09523809523809523,0.0,
CONTACT,7z8v,12,22,0.3333333333333333,0.1722222222222222,1.9242424242424243
CONTACT,8era,23,22,0.08695652173913043,0.0,
CONTACT,3thx,18,21,0.13725490196078433,0.0,
CONTACT,6l59,12,21,0.3181818181818182,0.0,1.9848484848484849
CONTACT,7na7,14,21,0.23076923076923078,0.030952380952380953,2.10989010989011
CONTACT,8ag6,17,21,0.15441176470588236,0.0,2.75
CONTACT,8f8q,17,21,0.15441176470588236,0.0,2.8970588235294117
CONTACT,8grd,12,21,0.3181818181818182,0.0,1.9848484848484849
CONTACT,8oue,16,21,0.175,0.08506944444444445,2.4
CONTACT,2aze,11,20,0.36363636363636365,0.29999999999999993,1.8727272727272728
CONTACT,2nvu,17,20,0.14705882352941177,0.0,3.0
CONTACT,5e6s,15,20,0.19047619047619047,0.0,2.1142857142857143
CONTACT,7f6i,14,20,0.21978021978021978,0.03112244897959184,2.076923076923077
CONTACT,7krj,16,20,0.16666666666666666,0.0,3.2083333333333335
CONTACT,7n40,13,20,0.2564102564102564,0.12051282051282051,2.1538461538461537
CONTACT,7nj1,19,20,0.11695906432748537,0.0,2.3508771929824563
CONTACT,8dnz,15,20,0.19047619047619047,0.1746031746031746,2.4761904761904763
CONTACT,1n52,15,19,0.18095238095238095,0.0,2.4380952380952383
CONTACT,1qbk,18,19,0.12418300653594772,0.0,2.5555555555555554
CONTACT,2zme,15,19,0.18095238095238095,0.0,3.1809523809523808
CONTACT,3dw8,14,19,0.2087912087912088,0.0,2.3956043956043955
CONTACT,3e0j,11,19,0.34545454545454546,0.0,1.8545454545454545
CONTACT,4bkx,14,19,0.2087912087912088,0.0,2.5824175824175826
CONTACT,5tuv,10,19,0.4222222222222222,0.44666666666666666,1.7333333333333334
CONTACT,6c9m,12,19,0.2878787878787879,0.0,2.0606060606060606
CONTACT,6icz,21,19,0.09047619047619047,0.0,
CONTACT,6w6w,14,19,0.2087912087912088,0.0,
CONTACT,6z6n,22,19,0.08225108225108226,0.0,
CONTACT,7d77,15,19,0.18095238095238095,0.04,2.4857142857142858
CONTACT,7f90,13,19,0.24358974358974358,0.0,1.9487179487179487
CONTACT,7mn5,17,19,0.13970588235294118,0.0,3.4705882352941178
CONTACT,7uzq,13,19,0.24358974358974358,0.0,2.128205128205128
CONTACT,7xqk,12,19,0.2878787878787879,0.0,2.0303030303030303
CONTACT,7yiy,16,19,0.15833333333333333,0.0,2.3583333333333334
CONTACT,7ysh,11,19,0.34545454545454546,0.158008658008658,1.7636363636363637
CONTACT,8e3x,18,19,0.12418300653594772,0.0,2.915032679738562
CONTACT,1qgk,16,18,0.15,0.0,2.3333333333333335
CONTACT,3gb8,13,18,0.23076923076923078,0.0,2.3333333333333335
CONTACT,3uin,12,18,0.2727272727272727,0.049999999999999996,2.090909090909091
CONTACT,5ccb,12,18,0.2727272727272727,0.0,1.9242424242424243
CONTACT,5cjp,11,18,0.32727272727272727,0.0,2.0
CONTACT,5m5e,12,18,0.2727272727272727,0.16111111111111112,2.393939393939394
CONTACT,5y6l,12,18,0.2727272727272727,0.10634920634920635,2.0454545454545454
CONTACT,6df3,12,18,0.2727272727272727,0.16666666666666666,2.3484848484848486
CONTACT,6g4q,12,18,0.2727272727272727,0.0,2.3181818181818183
CONTACT,6u3v,14,18,0.1978021978021978,0.0,2.087912087912088
CONTACT,6xiw,13,18,0.23076923076923078,0.0,2.1794871794871793
CONTACT,8a1g,11,18,0.32727272727272727,0.0,1.9636363636363636
CONTACT,8oj5,19,18,0.10526315789473684,0.0,
CONTACT,2wm9,11,17,0.3090909090909091,0.0,2.0
CONTACT,3tw8,12,17,0.25757575757575757,0.0,1.893939393939394
CONTACT,3w5k,14,17,0.18681318681318682,0.0,2.10989010989011
CONTACT,4lac,12,17,0.25757575757575757,0.0,2.227272727272727
CONTACT,5t5w,12,17,0.25757575757575757,0.17777777777777778,2.378787878787879
CONTACT,5xbf,12,17,0.25757575757575757,0.0,2.0303030303030303
CONTACT,6idf,16,17,0.14166666666666666,0.0,2.1166666666666667
CONTACT,6ieh,16,17,0.14166666666666666,0.0,2.25
CONTACT,6p9x,15,17,0.1619047619047619,0.0,2.780952380952381
CONTACT,6t41,14,17,0.18681318681318682,0.0,2.6483516483516483
CONTACT,6upa,11,17,0.3090909090909091,0.0,2.0727272727272728
CONTACT,6upq,11,17,0.3090909090909091,0.0,2.0727272727272728
CONTACT,6upr,11,17,0.3090909090909091,0.0,2.0727272727272728
CONTACT,7r89,16,17,0.14166666666666666,0.0,
CONTACT,7yk7,13,17,0.21794871794871795,0.0,2.128205128205128
CONTACT,7zyg,18,17,0.1111111111111111,0.0,
CONTACT,8e3y,18,17,0.1111111111111111,0.0,3.1633986928104574
CONTACT,9ay7,12,17,0.25757575757575757,0.0,2.0303030303030303
CONTACT,2gjx,14,16,0.17582417582417584,0.0,2.78021978021978
CONTACT,4fq3,14,16,0.17582417582417584,0.0,2.241758241758242
CONTACT,5anr,13,16,0.20512820512820512,0.0923076923076923,
CONTACT,5dis,15,16,0.1523809523809524,0.0,2.5714285714285716
CONTACT,5e4e,12,16,0.24242424242424243,0.0,2.727272727272727
CONTACT,6ekk,12,16,0.24242424242424243,0.0,2.0303030303030303
CONTACT,6j7x,14,16,0.17582417582417584,0.0,2.758241758241758
CONTACT,6tkz,11,16,0.2909090909090909,0.0,2.036363636363636
CONTACT,6y4l,13,16,0.20512820512820512,0.0,2.6153846153846154
CONTACT,7u9t,14,16,0.17582417582417584,0.0,2.681318681318681
CONTACT,7zub,14,16,0.17582417582417584,0.0,2.923076923076923
CONTACT,8hk1,12,16,0.24242424242424243,0.0,2.5606060606060606
CONTACT,8ux1,11,16,0.2909090909090909,0.0,1.8545454545454545
CONTACT,8vq3,12,16,0.24242424242424243,0.0,2.3636363636363638
CONTACT,1ira,10,15,0.3333333333333333,0.0,1.9111111111111112
CONTACT,1jfi,12,15,0.22727272727272727,0.20555555555555557,2.227272727272727
CONTACT,1kfu,14,15,0.16483516483516483,0.0,2.956043956043956
CONTACT,2bo9,11,15,0.2727272727272727,0.0,2.0727272727272728
CONTACT,2ve7,12,15,0.22727272727272727,0.0,2.393939393939394
CONTACT,2yin,13,15,0.19230769230769232,0.0,2.358974358974359
CONTACT,3gni,12,15,0.22727272727272727,0.0,2.787878787878788
CONTACT,4c0o,14,15,0.16483516483516483,0.0,2.67032967032967
CONTACT,4f9c,12,15,0.22727272727272727,0.0,2.393939393939394
CONTACT,4mne,12,15,0.22727272727272727,0.0,2.4242424242424243
CONTACT,5d1m,10,15,0.3333333333333333,0.0,1.8666666666666667
CONTACT,5mv9,12,15,0.22727272727272727,0.0,2.121212121212121
CONTACT,6g16,12,15,0.22727272727272727,0.0,2.1666666666666665
CONTACT,6vax,10,15,0.3333333333333333,0.0,1.8
CONTACT,6yxq,12,15,0.22727272727272727,0.0,2.0454545454545454
CONTACT,7byl,10,15,0.3333333333333333,0.0,1.9555555555555555
CONTACT,8qsj,16,15,0.125,0.0,
CONTACT,8ttb,15,15,0.14285714285714285,0.0,2.4952380952380953
CONTACT,8wej,16,15,0.125,0.0,
CONTACT,2b4s,10,14,0.3111111111111111,0.0,2.2444444444444445
CONTACT,2c35,10,14,0.3111111111111111,0.0,1.9777777777777779
CONTACT,2ie4,10,14,0.3111111111111111,0.0,2.066666666666667
CONTACT,2iy0,9,14,0.3888888888888889,0.0,1.8333333333333333
CONTACT,2xwu,11,14,0.2545454545454545,0.0,2.1454545454545455
CONTACT,3i7n,15,14,0.13333333333333333,0.0,2.1904761904761907
CONTACT,3zni,14,14,0.15384615384615385,0.0,
CONTACT,4gaf,9,14,0.3888888888888889,0.0,1.7222222222222223
CONTACT,4or9,11,14,0.2545454545454545,0.0,2.0
CONTACT,5iaa,10,14,0.3111111111111111,0.0,1.9777777777777779
CONTACT,5xau,9,14,0.3888888888888889,0.6539682539682539,1.6666666666666667
CONTACT,6vcd,13,14,0.1794871794871795,0.0,
CONTACT,6zmi,15,14,0.13333333333333333,0.0,
CONTACT,7cz5,13,14,0.1794871794871795,0.0,2.3076923076923075
CONTACT,7pax,10,14,0.3111111111111111,0.0,2.1333333333333333
CONTACT,7rtb,14,14,0.15384615384615385,0.0,2.6483516483516483
CONTACT,7sf8,11,14,0.2545454545454545,0.12373737373737374,1.8181818181818181
CONTACT,8flb,15,14,0.13333333333333333,0.0,
CONTACT,8jaw,11,14,0.2545454545454545,0.0,2.3636363636363638
CONTACT,8sik,10,14,0.3111111111111111,0.0,2.0
CONTACT,8st0,9,14,0.3888888888888889,0.0,1.7777777777777777
CONTACT,8u7z,10,14,0.3111111111111111,0.0,1.8444444444444446
CONTACT,8udl,12,14,0.21212121212121213,0.0,2.4242424242424243
CONTACT,1a02,8,13,0.4642857142857143,0.29166666666666663,1.5714285714285714
CONTACT,1ibr,12,13,0.19696969696969696,0.0,2.484848484848485
CONTACT,1xvp,9,13,0.3611111111111111,0.0,1.8333333333333333
CONTACT,2ast,11,13,0.23636363636363636,0.0,2.109090909090909
CONTACT,2q9q,12,13,0.19696969696969696,0.0,2.227272727272727
CONTACT,4a69,9,13,0.3611111111111111,0.0,1.7777777777777777
CONTACT,4gs7,12,13,0.19696969696969696,0.0,2.4545454545454546
CONTACT,4pnk,10,13,0.28888888888888886,0.0,2.022222222222222
CONTACT,4y97,12,13,0.19696969696969696,0.0,2.5606060606060606
CONTACT,4zgy,9,13,0.3611111111111111,0.0,1.7777777777777777
CONTACT,6i3f,10,13,0.28888888888888886,0.0,2.0444444444444443
CONTACT,6ms4,8,13,0.4642857142857143,0.0,1.6071428571428572
CONTACT,6qio,10,13,0.28888888888888886,0.0,2.1333333333333333
CONTACT,6uri,12,13,0.19696969696969696,0.0,
CONTACT,6zvh,12,13,0.19696969696969696,0.0,2.4545454545454546
CONTACT,7f16,14,13,0.14285714285714285,0.0,2.32967032967033
CONTACT,7nht,10,13,0.28888888888888886,0.0,1.7777777777777777
CONTACT,7t10,13,13,0.16666666666666666,0.0,2.8974358974358974
CONTACT,7u9x,11,13,0.23636363636363636,0.0,2.2181818181818183
CONTACT,7v6q,9,13,0.3611111111111111,0.3148148148148148,1.75
CONTACT,7y36,14,13,0.14285714285714285,0.0,2.32967032967033
CONTACT,8csq,16,13,0.10833333333333334,0.0,
CONTACT,8fu6,13,13,0.16666666666666666,0.0,2.8461538461538463
CONTACT,8roz,11,13,0.23636363636363636,0.0,2.290909090909091
CONTACT,8sh9,10,13,0.28888888888888886,0.0,1.8666666666666667
CONTACT,1m5n,13,12,0.15384615384615385,0.0,1.8461538461538463
CONTACT,1wq1,10,12,0.26666666666666666,0.0,2.022222222222222
CONTACT,2bfd,12,12,0.18181818181818182,0.0,3.0
CONTACT,3cki,8,12,0.42857142857142855,0.0,1.7142857142857142
CONTACT,3f7p,10,12,0.26666666666666666,0.0,2.1777777777777776
CONTACT,3i89,13,12,0.15384615384615385,0.0,1.8461538461538463
CONTACT,3mi9,10,12,0.26666666666666666,0.0,2.2888888888888888
CONTACT,3pb1,8,12,0.42857142857142855,0.0,1.6785714285714286
CONTACT,3sde,8,12,0.42857142857142855,0.0,1.7142857142857142
CONTACT,3tac,10,12,0.26666666666666666,0.0,2.1333333333333333
CONTACT,4byf,11,12,0.21818181818181817,0.0,2.2181818181818183
CONTACT,4cru,12,12,0.18181818181818182,0.0,
CONTACT,4naw,11,12,0.21818181818181817,0.0,
CONTACT,4s3o,10,12,0.26666666666666666,0.0,1.9333333333333333
CONTACT,4txr,8,12,0.42857142857142855,0.0,1.75
CONTACT,4u4p,9,12,0.3333333333333333,0.0,2.0555555555555554
CONTACT,5wpa,8,12,0.42857142857142855,0.0,1.7142857142857142
CONTACT,5zoo,9,12,0.3333333333333333,0.0,1.7222222222222223
CONTACT,6fp6,9,12,0.3333333333333333,0.0,1.9444444444444444
CONTACT,6m3i,9,12,0.3333333333333333,0.0,2.0
CONTACT,6pb1,11,12,0.21818181818181817,0.0,2.4
CONTACT,6t7f,9,12,0.3333333333333333,0.0,2.0
CONTACT,6vme,9,12,0.3333333333333333,0.0,1.7777777777777777
CONTACT,6y4g,9,12,0.3333333333333333,0.0,1.8888888888888888
CONTACT,6zee,9,12,0.3333333333333333,0.0,1.8333333333333333
CONTACT,6zp4,14,12,0.13186813186813187,0.0,
CONTACT,7ezm,10,12,0.26666666666666666,0.0,2.1333333333333333
CONTACT,7zh4,8,12,0.42857142857142855,0.0,1.6785714285714286
CONTACT,7zju,9,12,0.3333333333333333,0.0,1.8333333333333333
CONTACT,7zjv,9,12,0.3333333333333333,0.0,1.8333333333333333
CONTACT,8bs3,10,12,0.26666666666666666,0.0,1.8222222222222222
CONTACT,8c0d,10,12,0.26666666666666666,0.0,2.311111111111111
CONTACT,8ent,10,12,0.26666666666666666,0.0,2.2
CONTACT,8idy,14,12,0.13186813186813187,0.0,
CONTACT,8phv,9,12,0.3333333333333333,0.0,1.9444444444444444
CONTACT,8qyn,9,12,0.3333333333333333,0.0,1.9444444444444444
CONTACT,8ww2,12,12,0.18181818181818182,0.0,2.227272727272727
CONTACT,1fq1,10,11,0.24444444444444444,0.0,2.466666666666667
CONTACT,1hh4,9,11,0.3055555555555556,0.0,2.2222222222222223
CONTACT,1k5d,9,11,0.3055555555555556,0.0,2.111111111111111
CONTACT,1l1o,9,11,0.3055555555555556,0.0,2.0555555555555554
CONTACT,1mox,9,11,0.3055555555555556,0.0,1.8888888888888888
CONTACT,2ypa,6,11,0.7333333333333333,0.611111111111111,1.2666666666666666
CONTACT,3i8c,12,11,0.16666666666666666,0.0,1.8333333333333333
CONTACT,3kse,8,11,0.39285714285714285,0.0,1.75
CONTACT,3ol2,10,11,0.24444444444444444,0.0,2.0444444444444443
CONTACT,3p71,10,11,0.24444444444444444,0.0,2.0444444444444443
CONTACT,4cqm,10,11,0.24444444444444444,0.0,2.2888888888888888
CONTACT,4drb,11,11,0.2,0.0,2.3636363636363638
CONTACT,4f0z,10,11,0.24444444444444444,0.0,2.0444444444444443
CONTACT,4n6o,8,11,0.39285714285714285,0.0,1.8928571428571428
CONTACT,5d2m,12,11,0.16666666666666666,0.0,
CONTACT,5gqq,8,11,0.39285714285714285,0.0,1.75
CONTACT,5hpk,9,11,0.3055555555555556,0.0,2.111111111111111
CONTACT,5hps,8,11,0.39285714285714285,0.0,1.8214285714285714
CONTACT,5wb7,9,11,0.3055555555555556,0.0,1.8888888888888888
CONTACT,6c9h,10,11,0.24444444444444444,0.0,1.9777777777777779
CONTACT,6epo,9,11,0.3055555555555556,0.0,2.111111111111111
CONTACT,6khs,8,11,0.39285714285714285,0.0,1.8571428571428572
CONTACT,6nbw,9,11,0.3055555555555556,0.0,2.0
CONTACT,6s8v,10,11,0.24444444444444444,0.0,2.2444444444444445
CONTACT,6sqo,9,11,0.3055555555555556,0.0,2.0555555555555554
CONTACT,6wjq,11,11,0.2,0.0,1.9272727272727272
CONTACT,6wmz,8,11,0.39285714285714285,0.0,1.7857142857142858
CONTACT,6wx8,12,11,0.16666666666666666,0.0,1.8333333333333333
CONTACT,6xf1,10,11,0.24444444444444444,0.0,2.4
CONTACT,6zmt,11,11,0.2,0.0,2.8727272727272726
CONTACT,7mo0,8,11,0.39285714285714285,0.0,1.8928571428571428
CONTACT,7nwu,8,11,0.39285714285714285,0.0,1.75
CONTACT,7qg6,8,11,0.39285714285714285,0.0,1.75
CONTACT,7sj4,10,11,0.24444444444444444,0.0,2.2666666666666666
CONTACT,7tj9,10,11,0.24444444444444444,0.0,2.466666666666667
CONTACT,7uzu,12,11,0.16666666666666666,0.0,1.9696969696969697
CONTACT,7w3z,8,11,0.39285714285714285,0.0,1.75
CONTACT,8bik,8,11,0.39285714285714285,0.0,1.8214285714285714
CONTACT,8bpo,12,11,0.16666666666666666,0.0,2.0757575757575757
CONTACT,8dzs,11,11,0.2,0.0,2.1454545454545455
CONTACT,8hib,9,11,0.3055555555555556,0.31851851851851853,2.0833333333333335
CONTACT,8oit,15,11,0.10476190476190476,0.0,
CONTACT,8pk8,9,11,0.3055555555555556,0.0,2.111111111111111
CONTACT,8rgi,8,11,0.39285714285714285,0.0,1.8214285714285714
CONTACT,1a22,7,10,0.47619047619047616,0.0,1.619047619047619
CONTACT,1f45,9,10,0.2777777777777778,0.0,2.1666666666666665
CONTACT,1li1,7,10,0.47619047619047616,0.0,1.619047619047619
CONTACT,1nun,7,10,0.47619047619047616,0.0,1.619047619047619
CONTACT,1nw9,8,10,0.35714285714285715,0.0,1.8214285714285714
CONTACT,1uhl,7,10,0.47619047619047616,0.0,1.619047619047619
CONTACT,1zjd,7,10,0.47619047619047616,0.0,1.5238095238095237
CONTACT,2bec,8,10,0.35714285714285715,0.0,1.7142857142857142
CONTACT,2io2,8,10,0.35714285714285715,0.0,1.8928571428571428
CONTACT,2jgz,9,10,0.2777777777777778,0.0,2.1666666666666665
