hsa	rno
hsa0000002056	rno0000036897
hsa0000002056	rno0000036898
hsa0000002099	rno0000036785
hsa0000002105	rno0000036791
hsa0000002106	rno0000036792
hsa0000002126	rno0000042569
hsa0000002324	rno0000168378
hsa0000002349	rno0000171319
hsa0000002350	rno0000171320
hsa0000002351	rno0000171321
hsa0000002400	rno0000171342
hsa0000002537	rno0000169232
hsa0000002538	rno0000169233
hsa0000002591	rno0000170321
hsa0000002600	rno0000170332
hsa0000002607	rno0000165851
hsa0000002608	rno0000165852
hsa0000002609	rno0000165852
hsa0000002612	rno0000165854
hsa0000002614	rno0000165855
hsa0000002778	rno0000167675
hsa0000002779	rno0000167676
hsa0000002781	rno0000167677
hsa0000002782	rno0000167678
hsa0000002783	rno0000167679
hsa0000002784	rno0000167680
hsa0000002785	rno0000167681
hsa0000002796	rno0000168395
hsa0000002800	rno0000168398
hsa0000002801	rno0000168398
hsa0000002806	rno0000168403
hsa0000002807	rno0000168404
hsa0000002825	rno0000168421
hsa0000002826	rno0000168422
hsa0000002827	rno0000168423
hsa0000002865	rno0000163894
hsa0000002871	rno0000163898
hsa0000002873	rno0000163900
hsa0000002874	rno0000163900
hsa0000002917	rno0000170994
hsa0000002918	rno0000170995
hsa0000002919	rno0000170996
hsa0000002920	rno0000170996
hsa0000002921	rno0000170997
hsa0000002922	rno0000170998
hsa0000003003	rno0000167602
hsa0000003004	rno0000167603
hsa0000003005	rno0000167604
hsa0000003006	rno0000167605
hsa0000003007	rno0000167606
hsa0000003096	rno0000214397
hsa0000003099	rno0000214400
hsa0000003101	rno0000169080
hsa0000003102	rno0000169081
hsa0000003103	rno0000169082
hsa0000003191	rno0000212451
hsa0000003193	rno0000212452
hsa0000003197	rno0000212456
hsa0000003203	rno0000212461
hsa0000003226	rno0000171205
hsa0000003317	rno0000212502
hsa0000003460	rno0000168206
hsa0000003461	rno0000168207
hsa0000003466	rno0000168211
hsa0000003559	rno0000171067
hsa0000003560	rno0000171068
hsa0000003561	rno0000171069
hsa0000003562	rno0000171070
hsa0000003563	rno0000171071
hsa0000003564	rno0000171072
hsa0000003571	rno0000166146
hsa0000003572	rno0000166147
hsa0000003574	rno0000166149
hsa0000003576	rno0000166151
hsa0000003649	rno0000166613
hsa0000003652	rno0000166616
hsa0000003654	rno0000166617
hsa0000003994	rno0000089514
hsa0000003999	rno0000089516
hsa0000004024	rno0000214542
hsa0000004030	rno0000214549
hsa0000004143	rno0000167790
hsa0000004211	rno0000078032
hsa0000004316	rno0000038946
hsa0000004319	rno0000038949
hsa0000004320	rno0000038950
hsa0000004322	rno0000038952
hsa0000004324	rno0000038954
hsa0000004326	rno0000038956
hsa0000004327	rno0000038957
hsa0000004377	rno0000034357
hsa0000004433	rno0000030000
hsa0000004434	rno0000030001
hsa0000004435	rno0000030002
hsa0000004436	rno0000030003
hsa0000004437	rno0000030004
hsa0000004438	rno0000030005
hsa0000004440	rno0000030007
hsa0000004443	rno0000029070
hsa0000004446	rno0000029072
hsa0000004448	rno0000029073
hsa0000004449	rno0000029074
hsa0000004589	rno0000077371
hsa0000004591	rno0000077373
hsa0000004592	rno0000077374
hsa0000004593	rno0000077376
hsa0000004623	rno0000186064
hsa0000004814	rno0000035112
hsa0000004817	rno0000035113
hsa0000004818	rno0000035113
hsa0000004819	rno0000035113
hsa0000004827	rno0000035116
hsa0000004830	rno0000035119
hsa0000004837	rno0000034018
hsa0000004842	rno0000034023
hsa0000004893	rno0000170955
hsa0000004894	rno0000170957
hsa0000004896	rno0000170959
hsa0000004904	rno0000076890
hsa0000004905	rno0000076892
hsa0000004905	rno0000076891
hsa0000004905	rno0000076890
hsa0000004908	rno0000076893
hsa0000004913	rno0000076895
hsa0000004914	rno0000076896
hsa0000004915	rno0000076897
hsa0000004917	rno0000076898
hsa0000004917	rno0000076897
hsa0000005070	rno0000171217
hsa0000005070	rno0000171216
hsa0000005071	rno0000171219
hsa0000005085	rno0000079039
hsa0000005089	rno0000079043
hsa0000005090	rno0000079044
hsa0000005165	rno0000146041
hsa0000005166	rno0000146041
hsa0000005170	rno0000146042
hsa0000005181	rno0000146048
hsa0000005184	rno0000146050
hsa0000005217	rno0000032334
hsa0000005219	rno0000032336
hsa0000005220	rno0000032336
hsa0000005223	rno0000032338
hsa0000005224	rno0000032339
hsa0000005352	rno0000087359
hsa0000005353	rno0000087360
hsa0000005354	rno0000087361
hsa0000005362	rno0000170104
hsa0000005363	rno0000170105
hsa0000005366	rno0000170108
hsa0000005399	rno0000170702
hsa0000005400	rno0000170703
hsa0000005401	rno0000170704
hsa0000005403	rno0000170706
hsa0000005421	rno0000170537
hsa0000005424	rno0000170540
hsa0000005427	rno0000170543
hsa0000005428	rno0000170544
hsa0000005439	rno0000033959
hsa0000005607	rno0000087927
hsa0000005607	rno0000087926
hsa0000005610	rno0000087929
hsa0000005611	rno0000087930
hsa0000005618	rno0000080078
hsa0000005622	rno0000080081
hsa0000005691	rno0000081124
hsa0000005776	rno0000075842
hsa0000005777	rno0000075843
hsa0000005782	rno0000075847
hsa0000005784	rno0000075849
hsa0000005814	rno0000087937
hsa0000005815	rno0000087938
hsa0000005994	rno0000165781
hsa0000005997	rno0000165784
hsa0000006004	rno0000165790
hsa0000006045	rno0000031045
hsa0000006059	rno0000031144
hsa0000006061	rno0000036631
hsa0000006076	rno0000036636
hsa0000006080	rno0000036639
hsa0000006089	rno0000034298
hsa0000006092	rno0000034301
hsa0000006094	rno0000034303
hsa0000006104	rno0000034313
hsa0000006105	rno0000034314
hsa0000006122	rno0000189562
hsa0000006220	rno0000039907
hsa0000006226	rno0000039898
hsa0000006248	rno0000039787
hsa0000006250	rno0000039789
hsa0000006340	rno0000032355
hsa0000006394	rno0000166288
hsa0000006395	rno0000166289
hsa0000006401	rno0000166291
hsa0000006402	rno0000166292
hsa0000006431	rno0000040546
hsa0000006434	rno0000040547
hsa0000006435	rno0000040548
hsa0000006494	rno0000167345
hsa0000006497	rno0000167348
hsa0000006499	rno0000167350
hsa0000006639	rno0000089083
hsa0000006639	rno0000089084
hsa0000006644	rno0000089089
hsa0000006651	rno0000083304
hsa0000006669	rno0000083314
hsa0000006671	rno0000083316
hsa0000006677	rno0000083322
hsa0000006678	rno0000083323
hsa0000006865	rno0000077204
hsa0000006866	rno0000077206
hsa0000006867	rno0000077206
hsa0000006869	rno0000077207
hsa0000006870	rno0000077207
hsa0000006875	rno0000077212
hsa0000006879	rno0000077215
hsa0000006880	rno0000077216
hsa0000006907	rno0000083707
hsa0000007025	rno0000173748
hsa0000007026	rno0000173749
hsa0000007027	rno0000173750
hsa0000007125	rno0000087692
hsa0000007220	rno0000087093
hsa0000007221	rno0000087094
hsa0000007222	rno0000087095
hsa0000007274	rno0000043404
hsa0000007278	rno0000043405
hsa0000007278	rno0000043406
hsa0000007279	rno0000043406
hsa0000007279	rno0000043405
hsa0000007280	rno0000043406
hsa0000007285	rno0000033073
hsa0000007286	rno0000033074
hsa0000007288	rno0000033075
hsa0000007299	rno0000032494
hsa0000007300	rno0000032494
hsa0000007303	rno0000032497
hsa0000007310	rno0000030570
hsa0000007334	rno0000148847
hsa0000007338	rno0000153704
hsa0000007360	rno0000153678
hsa0000007381	rno0000087968
hsa0000007546	rno0000164516
hsa0000007547	rno0000164517
hsa0000007582	rno0000171025
hsa0000007583	rno0000171026
hsa0000007586	rno0000171028
hsa0000007680	rno0000170376
hsa0000007682	rno0000170378
hsa0000007685	rno0000170381
hsa0000007687	rno0000170369
hsa0000007688	rno0000170370
hsa0000007692	rno0000170372
hsa0000007705	rno0000166140
hsa0000007712	rno0000166275
hsa0000007717	rno0000166280
hsa0000007780	rno0000041615
hsa0000007782	rno0000041616
hsa0000007784	rno0000041618
hsa0000007785	rno0000041619
hsa0000007829	rno0000167574
hsa0000007830	rno0000167575
hsa0000007850	rno0000167590
hsa0000007852	rno0000167592
hsa0000007853	rno0000167593
hsa0000007854	rno0000167594
hsa0000007865	rno0000170644
hsa0000007881	rno0000170650
hsa0000007892	rno0000077167
hsa0000007895	rno0000077169
hsa0000007896	rno0000077170
hsa0000007902	rno0000079758
hsa0000007904	rno0000079761
hsa0000007921	rno0000079770
hsa0000007941	rno0000079637
hsa0000007957	rno0000048312
hsa0000007958	rno0000048313
hsa0000007959	rno0000048315
hsa0000007960	rno0000048316
hsa0000007962	rno0000048317
hsa0000007964	rno0000048319
hsa0000007965	rno0000048320
hsa0000008040	rno0000076031
hsa0000008045	rno0000076036
hsa0000008046	rno0000076607
hsa0000008065	rno0000076625
hsa0000008069	rno0000076629
hsa0000008071	rno0000076631
hsa0000008073	rno0000076632
hsa0000008075	rno0000083570
hsa0000008076	rno0000083571
hsa0000008077	rno0000083572
hsa0000008078	rno0000083573
hsa0000008079	rno0000083574
hsa0000008083	rno0000083578
hsa0000008084	rno0000083578
hsa0000008090	rno0000083583
hsa0000008092	rno0000083585
hsa0000008140	rno0000089121
hsa0000008160	rno0000089129
hsa0000008161	rno0000089130
hsa0000008162	rno0000089131
hsa0000008164	rno0000089133
hsa0000008240	rno0000077116
hsa0000008240	rno0000077115
hsa0000008246	rno0000077119
hsa0000008292	rno0000043480
hsa0000008294	rno0000043482
hsa0000008299	rno0000043485
hsa0000008396	rno0000088819
hsa0000008398	rno0000088821
hsa0000008402	rno0000088824
hsa0000008439	rno0000037848
hsa0000008460	rno0000167917
hsa0000008461	rno0000042572
hsa0000008463	rno0000042573
hsa0000008464	rno0000042573
hsa0000008465	rno0000042574
hsa0000008469	rno0000042014
hsa0000008469	rno0000042012
hsa0000008564	rno0000211330
hsa0000008640	rno0000168258
hsa0000008650	rno0000168262
hsa0000008655	rno0000168264
hsa0000008656	rno0000168265
hsa0000008672	rno0000170824
hsa0000008673	rno0000170825
hsa0000008683	rno0000170552
hsa0000008694	rno0000167797
hsa0000008695	rno0000167798
hsa0000008826	rno0000088142
hsa0000008827	rno0000088144
hsa0000008827	rno0000088143
hsa0000008829	rno0000088146
hsa0000008849	rno0000041765
hsa0000008853	rno0000041766
hsa0000008858	rno0000041768
hsa0000008862	rno0000041771
hsa0000008864	rno0000041772
hsa0000008865	rno0000041773
hsa0000008866	rno0000041774
hsa0000008867	rno0000041775
hsa0000008868	rno0000041776
hsa0000008870	rno0000041777
hsa0000008874	rno0000041779
hsa0000008878	rno0000041781
hsa0000008879	rno0000041782
hsa0000008987	rno0000030282
hsa0000009032	rno0000043467
hsa0000009033	rno0000043467
hsa0000009053	rno0000043461
hsa0000009237	rno0000087722
hsa0000009239	rno0000087724
hsa0000009240	rno0000087725
hsa0000009242	rno0000087727
hsa0000009245	rno0000087730
hsa0000009247	rno0000088793
hsa0000009248	rno0000088794
hsa0000009250	rno0000088796
hsa0000009253	rno0000088797
hsa0000009254	rno0000088798
hsa0000009255	rno0000088799
hsa0000009256	rno0000088800
hsa0000009311	rno0000174648
hsa0000009313	rno0000174650
hsa0000009669	rno0000041621
hsa0000009670	rno0000041622
hsa0000009671	rno0000041623
hsa0000009673	rno0000041625
hsa0000009674	rno0000041626
hsa0000009677	rno0000041629
hsa0000009678	rno0000041630
hsa0000009679	rno0000041631
hsa0000009680	rno0000041631
hsa0000009681	rno0000041632
hsa0000009683	rno0000029783
hsa0000009685	rno0000029784
hsa0000009686	rno0000029784
hsa0000009699	rno0000165586
hsa0000009699	rno0000165585
hsa0000009701	rno0000165588
hsa0000009704	rno0000165591
hsa0000009705	rno0000165592
hsa0000009709	rno0000165597
hsa0000009709	rno0000165598
hsa0000009711	rno0000165600
hsa0000009712	rno0000165601
hsa0000009712	rno0000165602
hsa0000009715	rno0000165606
hsa0000009717	rno0000165608
hsa0000009718	rno0000165609
hsa0000009719	rno0000165610
hsa0000009721	rno0000165614
hsa0000009722	rno0000165615
hsa0000009725	rno0000165618
hsa0000009726	rno0000165619
hsa0000009727	rno0000165620
hsa0000009729	rno0000165622
hsa0000009731	rno0000165625
hsa0000009732	rno0000165626
hsa0000009873	rno0000163881
hsa0000009897	rno0000080422
hsa0000009904	rno0000080428
hsa0000009923	rno0000078048
hsa0000009925	rno0000078050
hsa0000009961	rno0000077709
hsa0000009962	rno0000077710
hsa0000009963	rno0000077711
hsa0000009966	rno0000077714
hsa0000009967	rno0000077715
hsa0000009969	rno0000077716
hsa0000009971	rno0000077718
hsa0000009972	rno0000077719
hsa0000010047	rno0000031090
hsa0000010049	rno0000031091
hsa0000010050	rno0000031092
hsa0000010057	rno0000031097
hsa0000010065	rno0000087708
hsa0000010069	rno0000087711
hsa0000010072	rno0000087713
hsa0000010384	rno0000036811
hsa0000010403	rno0000043339
hsa0000010432	rno0000087882
hsa0000010433	rno0000087883
hsa0000010434	rno0000087883
hsa0000010436	rno0000087884
hsa0000010439	rno0000087886
hsa0000010440	rno0000087887
hsa0000010441	rno0000087888
hsa0000010572	rno0000213717
hsa0000010573	rno0000213717
hsa0000010575	rno0000213719
hsa0000010576	rno0000213720
hsa0000010577	rno0000213721
hsa0000010591	rno0000088353
hsa0000010592	rno0000088354
hsa0000010594	rno0000088357
hsa0000010595	rno0000088358
hsa0000010596	rno0000088359
hsa0000010596	rno0000088360
hsa0000010598	rno0000088362
hsa0000010728	rno0000083594
hsa0000010731	rno0000083595
hsa0000010732	rno0000083595
hsa0000010737	rno0000083597
hsa0000010743	rno0000083598
hsa0000010804	rno0000081783
hsa0000010968	rno0000039059
hsa0000010977	rno0000039063
hsa0000011008	rno0000164759
hsa0000011015	rno0000164765
hsa0000011018	rno0000164767
hsa0000011030	rno0000164840
hsa0000011053	rno0000079511
hsa0000011063	rno0000079517
hsa0000011068	rno0000079521
hsa0000011072	rno0000079524
hsa0000011075	rno0000080062
hsa0000011076	rno0000080063
hsa0000011078	rno0000080064
hsa0000011079	rno0000080065
hsa0000011219	rno0000081405
hsa0000011220	rno0000081405
hsa0000011220	rno0000081404
hsa0000011226	rno0000081410
hsa0000011228	rno0000081413
hsa0000011238	rno0000081420
hsa0000011240	rno0000081422
hsa0000011243	rno0000081423
hsa0000011245	rno0000081425
hsa0000011249	rno0000081426
hsa0000011253	rno0000081429
hsa0000011254	rno0000081430
hsa0000011402	rno0000166180
hsa0000011626	rno0000166514
hsa0000011627	rno0000166515
hsa0000011630	rno0000166516
hsa0000011634	rno0000166518
hsa0000011635	rno0000166519
hsa0000011638	rno0000166521
hsa0000011644	rno0000166527
hsa0000011646	rno0000166529
hsa0000011647	rno0000166530
hsa0000011649	rno0000166531
hsa0000011651	rno0000166533
hsa0000011652	rno0000166533
hsa0000011654	rno0000166534
hsa0000011655	rno0000166534
hsa0000011658	rno0000166536
hsa0000011660	rno0000166538
hsa0000011685	rno0000166296
hsa0000011691	rno0000166301
hsa0000011698	rno0000166222
hsa0000011709	rno0000166229
hsa0000011866	rno0000030359
hsa0000011870	rno0000030362
hsa0000011874	rno0000030367
hsa0000011875	rno0000030369
hsa0000011918	rno0000167759
hsa0000011951	rno0000087414
hsa0000011966	rno0000089440
hsa0000011972	rno0000089443
hsa0000011973	rno0000089445
hsa0000012014	rno0000035796
hsa0000012015	rno0000035797
hsa0000012016	rno0000035797
hsa0000012055	rno0000087580
hsa0000012059	rno0000087581
hsa0000012062	rno0000087584
hsa0000012063	rno0000087585
hsa0000012086	rno0000167068
hsa0000012087	rno0000167069
hsa0000012091	rno0000167072
hsa0000012157	rno0000080916
hsa0000012166	rno0000171095
hsa0000012628	rno0000043614
hsa0000012718	rno0000034172
hsa0000012731	rno0000034182
hsa0000012740	rno0000034189
hsa0000012840	rno0000029846
hsa0000012841	rno0000029847
hsa0000012843	rno0000029849
hsa0000012844	rno0000029850
hsa0000012845	rno0000029851
hsa0000012848	rno0000029731
hsa0000012856	rno0000029967
hsa0000012858	rno0000029969
hsa0000012859	rno0000029970
hsa0000012860	rno0000029971
hsa0000012861	rno0000029972
hsa0000013101	rno0000166580
hsa0000013102	rno0000166581
hsa0000013162	rno0000079249
hsa0000013164	rno0000079250
hsa0000013165	rno0000079250
hsa0000013167	rno0000079251
hsa0000013182	rno0000075668
hsa0000013189	rno0000075673
hsa0000013236	rno0000078201
hsa0000013240	rno0000078202
hsa0000013245	rno0000078205
hsa0000013291	rno0000166115
hsa0000013292	rno0000166116
hsa0000013297	rno0000166119
hsa0000013304	rno0000166123
hsa0000013307	rno0000166125
hsa0000013312	rno0000166129
hsa0000013319	rno0000078728
hsa0000013363	rno0000170890
hsa0000013365	rno0000170892
hsa0000013370	rno0000170896
hsa0000013372	rno0000170898
hsa0000013377	rno0000170906
hsa0000013386	rno0000170913
hsa0000013388	rno0000170917
hsa0000013388	rno0000170918
hsa0000013391	rno0000170851
hsa0000013396	rno0000170854
hsa0000013492	rno0000167645
hsa0000013499	rno0000167649
hsa0000013602	rno0000164350
hsa0000013605	rno0000164353
hsa0000013615	rno0000164362
hsa0000013619	rno0000164366
hsa0000013627	rno0000031371
hsa0000013636	rno0000031378
hsa0000013642	rno0000031384
hsa0000013643	rno0000031385
hsa0000013731	rno0000087365
hsa0000013736	rno0000087370
hsa0000013739	rno0000087374
hsa0000013743	rno0000087377
hsa0000013763	rno0000087391
hsa0000013770	rno0000087399
hsa0000013770	rno0000087400
hsa0000013772	rno0000087401
hsa0000013873	rno0000077266
hsa0000013881	rno0000032807
hsa0000013905	rno0000084119
hsa0000013906	rno0000084120
hsa0000013917	rno0000084128
hsa0000013918	rno0000030974
hsa0000013920	rno0000030976
hsa0000013921	rno0000030976
hsa0000013922	rno0000030977
hsa0000013924	rno0000030978
hsa0000013926	rno0000030980
hsa0000013927	rno0000030981
hsa0000013928	rno0000030982
hsa0000013930	rno0000030984
hsa0000013932	rno0000030985
hsa0000013934	rno0000030986
hsa0000013972	rno0000075794
hsa0000013973	rno0000075795
hsa0000013974	rno0000075796
hsa0000014006	rno0000077845
hsa0000014018	rno0000087532
hsa0000014020	rno0000087533
hsa0000014023	rno0000087536
hsa0000014176	rno0000170177
hsa0000014182	rno0000170182
hsa0000014183	rno0000170183
hsa0000014347	rno0000164448
hsa0000014404	rno0000034966
hsa0000014405	rno0000034966
hsa0000014409	rno0000034969
hsa0000014411	rno0000034971
hsa0000014412	rno0000034972
hsa0000014413	rno0000034973
hsa0000014416	rno0000034976
hsa0000014418	rno0000034979
hsa0000014432	rno0000036401
hsa0000014433	rno0000036402
hsa0000014434	rno0000036403
hsa0000014435	rno0000036404
hsa0000014437	rno0000036406
hsa0000014438	rno0000036407
hsa0000014561	rno0000166191
hsa0000014845	rno0000077655
hsa0000014889	rno0000078339
hsa0000014891	rno0000078342
hsa0000014895	rno0000078346
hsa0000014896	rno0000078347
hsa0000014896	rno0000078348
hsa0000014898	rno0000078350
hsa0000014900	rno0000078353
hsa0000014901	rno0000078353
hsa0000014904	rno0000078355
hsa0000014905	rno0000078356
hsa0000014906	rno0000078357
hsa0000014908	rno0000078359
hsa0000014909	rno0000078361
hsa0000014909	rno0000078360
hsa0000014911	rno0000078363
hsa0000014915	rno0000078364
hsa0000014916	rno0000078365
hsa0000014924	rno0000171305
hsa0000014931	rno0000171254
hsa0000014971	rno0000035873
hsa0000014973	rno0000035876
hsa0000014975	rno0000035878
hsa0000014976	rno0000035880
hsa0000014977	rno0000035882
hsa0000015037	rno0000038174
hsa0000015040	rno0000038175
hsa0000015044	rno0000038178
hsa0000015045	rno0000038179
hsa0000015046	rno0000038180
hsa0000015047	rno0000038181
hsa0000015048	rno0000038182
hsa0000015051	rno0000038183
hsa0000015053	rno0000038184
hsa0000015054	rno0000038184
hsa0000015056	rno0000038185
hsa0000015057	rno0000038186
hsa0000015058	rno0000038187
hsa0000015060	rno0000038188
hsa0000015062	rno0000038189
hsa0000015065	rno0000038190
hsa0000015066	rno0000038191
hsa0000015068	rno0000038192
hsa0000015069	rno0000038193
hsa0000015070	rno0000082713
hsa0000015071	rno0000082714
hsa0000015117	rno0000169382
hsa0000015119	rno0000169384
hsa0000015120	rno0000169385
hsa0000015121	rno0000169386
hsa0000015122	rno0000169387
hsa0000015124	rno0000169390
hsa0000015300	rno0000168672
hsa0000015301	rno0000168673
hsa0000015491	rno0000042814
hsa0000015587	rno0000079912
hsa0000015588	rno0000079912
hsa0000015593	rno0000079914
hsa0000015603	rno0000079917
hsa0000015604	rno0000079917
hsa0000015605	rno0000079918
hsa0000015608	rno0000079921
hsa0000015730	rno0000041386
hsa0000015731	rno0000041387
hsa0000015734	rno0000041390
hsa0000015736	rno0000041392
hsa0000015738	rno0000041394
hsa0000015740	rno0000041396
hsa0000015741	rno0000041397
hsa0000015743	rno0000041399
hsa0000015758	rno0000038110
hsa0000015761	rno0000038112
hsa0000015768	rno0000038118
hsa0000015797	rno0000035677
hsa0000015798	rno0000035678
hsa0000015800	rno0000035680
hsa0000015801	rno0000035681
hsa0000015802	rno0000035683
hsa0000015812	rno0000171352
hsa0000015820	rno0000171359
hsa0000016016	rno0000088692
hsa0000016020	rno0000088694
hsa0000016025	rno0000088696
hsa0000016028	rno0000088697
hsa0000016029	rno0000088697
hsa0000016030	rno0000088697
hsa0000016032	rno0000088698
hsa0000016034	rno0000088699
hsa0000016035	rno0000088700
hsa0000016035	rno0000088699
hsa0000016177	rno0000166623
hsa0000016178	rno0000166624
hsa0000016179	rno0000166625
hsa0000016180	rno0000041586
hsa0000016181	rno0000041587
hsa0000016183	rno0000041589
hsa0000016187	rno0000041593
hsa0000016190	rno0000041597
hsa0000016242	rno0000035822
hsa0000016244	rno0000035824
hsa0000016245	rno0000035825
hsa0000016461	rno0000167518
hsa0000016486	rno0000167495
hsa0000016488	rno0000167496
hsa0000016489	rno0000167497
hsa0000016535	rno0000083636
hsa0000016542	rno0000083642
hsa0000016552	rno0000165298
hsa0000016556	rno0000165302
hsa0000016557	rno0000165303
hsa0000016558	rno0000165304
hsa0000016559	rno0000165305
hsa0000016563	rno0000165306
hsa0000016564	rno0000165306
hsa0000016566	rno0000165308
hsa0000016568	rno0000165309
hsa0000016569	rno0000165310
hsa0000017135	rno0000037449
hsa0000017142	rno0000037453
hsa0000017147	rno0000037455
hsa0000017148	rno0000037456
hsa0000017156	rno0000037469
hsa0000017247	rno0000169363
hsa0000017248	rno0000169365
hsa0000017249	rno0000169366
hsa0000017250	rno0000169367
hsa0000017251	rno0000169368
hsa0000017253	rno0000169370
hsa0000017255	rno0000169372
hsa0000017352	rno0000176109
hsa0000017354	rno0000176111
hsa0000017489	rno0000081133
hsa0000017491	rno0000081135
hsa0000017492	rno0000081136
hsa0000017499	rno0000081142
hsa0000017500	rno0000081143
hsa0000017502	rno0000081144
hsa0000017507	rno0000081147
hsa0000017508	rno0000081148
hsa0000017509	rno0000081149
hsa0000017511	rno0000081151
hsa0000017512	rno0000081152
hsa0000017513	rno0000081153
hsa0000017515	rno0000081155
hsa0000017516	rno0000081156
hsa0000017518	rno0000081158
hsa0000017519	rno0000081159
hsa0000017522	rno0000081163
hsa0000017525	rno0000081167
hsa0000017528	rno0000081171
hsa0000017531	rno0000081173
hsa0000017532	rno0000081174
hsa0000017535	rno0000081177
hsa0000017539	rno0000081182
hsa0000017616	rno0000039142
hsa0000017665	rno0000087288
hsa0000017673	rno0000087293
hsa0000017674	rno0000087294
hsa0000018044	rno0000083026
hsa0000018057	rno0000031914
hsa0000018059	rno0000031915
hsa0000018060	rno0000031916
hsa0000018063	rno0000031919
hsa0000018064	rno0000031921
hsa0000018069	rno0000031714
hsa0000018071	rno0000031716
hsa0000018076	rno0000040031
hsa0000018077	rno0000040032
hsa0000018079	rno0000040034
hsa0000018090	rno0000040044
hsa0000018114	rno0000080652
hsa0000018114	rno0000080653
hsa0000018117	rno0000080656
hsa0000018121	rno0000080659
hsa0000018122	rno0000080660
hsa0000018125	rno0000032290
hsa0000018126	rno0000032290
hsa0000018147	rno0000087170
hsa0000018215	rno0000164637
hsa0000018216	rno0000164638
hsa0000018217	rno0000164639
hsa0000018227	rno0000164650
hsa0000018230	rno0000164654
hsa0000018231	rno0000164655
hsa0000018232	rno0000164656
hsa0000018266	rno0000167521
hsa0000018269	rno0000167526
hsa0000018388	rno0000034795
hsa0000018398	rno0000034799
hsa0000018400	rno0000034800
hsa0000018402	rno0000034801
hsa0000018403	rno0000034802
