hsa	rno	isohsa	isorno	exoniden
ENSG00000004766	ENSRNOG00000009894	ENST00000305866	ENSRNOT00000067087	hsa0000102660-rno0000044453|0.94;hsa0000102661-rno0000044455|0.86;hsa0000102667-rno0000044456|0.94;hsa0000102669-rno0000044457|0.89;hsa0000102671-rno0000044458|0.93;hsa0000102672-rno0000044459|0.83;hsa0000102673-rno0000044460|0.94;hsa0000102675-rno0000044461|0.94;hsa0000102676-rno0000044462|0.89;hsa0000102678-rno0000044463|0.91;hsa0000102679-rno0000044464|0.93;hsa0000102680-rno0000044465|0.9;hsa0000102682-rno0000044466|0.86;hsa0000102683-rno0000044467|0.89;hsa0000102684-rno0000044468|0.95;hsa0000102685-rno0000044469|0.93;hsa0000102686-rno0000044470|0.9;hsa0000102687-rno0000044471|0.9;hsa0000102688-rno0000044472|0.82;hsa0000102689-rno0000044473|0.89;hsa0000102691-rno0000044474|0.93;hsa0000102692-rno0000044475|0.91;hsa0000102693-rno0000044476|0.89;hsa0000102694-rno0000044477|0.89;hsa0000102695-rno0000044478|0.87;hsa0000102697-rno0000044479|0.91;hsa0000102698-rno0000044480|0.89;hsa0000102700-rno0000044481|0.93
ENSG00000004776	ENSRNOG00000020922	ENST00000004982	ENSRNOT00000100627	hsa0000259065-rno0000016298|0.81;hsa0000259066-rno0000016300|0.66
ENSG00000004776	ENSRNOG00000020922	ENST00000004982	ENSRNOT00000028401	hsa0000259065-rno0000016298|0.81;hsa0000259066-rno0000016299|0.82
ENSG00000004776	ENSRNOG00000020922	ENST00000587965	ENSRNOT00000028401	hsa0000259065-rno0000016298|0.81;hsa0000259067-rno0000016299|0.6
ENSG00000004838	ENSRNOG00000021602	ENST00000231749	ENSRNOT00000039258	hsa0000063776-rno0000126750|0.86;hsa0000063778-rno0000126751|0.88;hsa0000063780-rno0000126752|0.91;hsa0000063781-rno0000126753|0.87;hsa0000063782-rno0000126754|0.78;hsa0000063783-rno0000126755|0.84;hsa0000063784-rno0000126756|0.9;hsa0000063786-rno0000126758|0.82;hsa0000063788-rno0000126761|0.85;hsa0000063789-rno0000126763|0.84;hsa0000063790-rno0000126766|0.88;hsa0000063791-rno0000126767|0.91
ENSG00000004848	ENSRNOG00000053562	ENST00000379044	ENSRNOT00000089828	hsa0000117832-rno0000094104|0.91;hsa0000117833-rno0000094105|0.88;hsa0000117834-rno0000094106|0.93;hsa0000117835-rno0000094107|0.89;hsa0000117838-rno0000094108|0.93
ENSG00000004866	ENSRNOG00000056243	ENST00000393446	ENSRNOT00000084736	hsa0000106464-rno0000048755|0.88;hsa0000106468-rno0000048758|0.93;hsa0000106473-rno0000048759|0.94;hsa0000106475-rno0000048760|0.96;hsa0000106476-rno0000048761|0.93;hsa0000106478-rno0000048762|0.91;hsa0000106480-rno0000048764|0.93;hsa0000106482-rno0000048765|0.9;hsa0000106484-rno0000048766|0.91;hsa0000106485-rno0000048767|0.95;hsa0000106486-rno0000048768|0.94;hsa0000106488-rno0000048769|0.95;hsa0000106490-rno0000048771|0.95;hsa0000106492-rno0000048772|0.94
ENSG00000005020	ENSRNOG00000012228	ENST00000345317	ENSRNOT00000016608	hsa0000102425-rno0000055367|0.9;hsa0000102426-rno0000055368|0.92;hsa0000102427-rno0000055369|0.96;hsa0000102428-rno0000055371|0.88;hsa0000102429-rno0000055372|0.87;hsa0000102431-rno0000055373|0.93;hsa0000102432-rno0000055374|0.87;hsa0000102433-rno0000055375|0.91;hsa0000102434-rno0000055376|0.83;hsa0000102435-rno0000055377|0.78;hsa0000102436-rno0000055378|0.92;hsa0000102437-rno0000055380|0.98
ENSG00000005022	ENSRNOG00000039980	ENST00000317881	ENSRNOT00000015085	hsa0000120963-rno0000096657|0.96;hsa0000120964-rno0000096658|0.93;hsa0000120965-rno0000096659|0.89;hsa0000120966-rno0000096660|0.94
ENSG00000005187	ENSRNOG00000032246	ENST00000289416	ENSRNOT00000020039	hsa0000218531-rno0000012094|0.74;hsa0000218534-rno0000012095|0.85;hsa0000218536-rno0000012096|0.87;hsa0000218539-rno0000012097|0.85;hsa0000218540-rno0000012098|0.89;hsa0000218541-rno0000012099|0.88;hsa0000218542-rno0000012100|0.85;hsa0000218544-rno0000012101|0.86;hsa0000218546-rno0000012102|0.86;hsa0000218547-rno0000012103|0.93;hsa0000218548-rno0000012104|0.87;hsa0000218549-rno0000012105|0.88;hsa0000218551-rno0000012107|0.86
ENSG00000005194	ENSRNOG00000016234	ENST00000394391	ENSRNOT00000021769	hsa0000213648-rno0000215961|0.78;hsa0000213650-rno0000215962|0.84;hsa0000213652-rno0000215963|0.88;hsa0000213653-rno0000215964|0.77;hsa0000213654-rno0000215965|0.89;hsa0000213657-rno0000215966|0.92;hsa0000213659-rno0000215967|0.8;hsa0000213661-rno0000215968|0.86
ENSG00000005194	ENSRNOG00000016234	ENST00000567518	ENSRNOT00000021769	hsa0000213648-rno0000215961|0.78;hsa0000213651-rno0000215962|0.64;hsa0000213652-rno0000215963|0.88;hsa0000213653-rno0000215964|0.77;hsa0000213654-rno0000215965|0.89;hsa0000213657-rno0000215966|0.92;hsa0000213659-rno0000215967|0.8;hsa0000213661-rno0000215968|0.86
ENSG00000005249	ENSRNOG00000009079	ENST00000265717	ENSRNOT00000012415	hsa0000112006-rno0000100173|0.9;hsa0000112008-rno0000100174|0.92;hsa0000112009-rno0000100177|1.0;hsa0000112010-rno0000100178|0.89;hsa0000112011-rno0000100179|0.91;hsa0000112012-rno0000100180|0.95;hsa0000112013-rno0000100181|0.9;hsa0000112014-rno0000100182|0.92;hsa0000112015-rno0000100183|0.91;hsa0000112017-rno0000100184|0.88;hsa0000112019-rno0000100185|0.91
ENSG00000005893	ENSRNOG00000000164	ENST00000200639	ENSRNOT00000000177	hsa0000122586-rno0000091337|0.7;hsa0000122587-rno0000091338|0.79;hsa0000122588-rno0000091339|0.75;hsa0000122589-rno0000091340|0.71;hsa0000122591-rno0000091341|0.73;hsa0000122592-rno0000091342|0.74;hsa0000122593-rno0000091343|0.88;hsa0000122594-rno0000091344|0.84;hsa0000122597-rno0000091347|0.96
ENSG00000005893	ENSRNOG00000000164	ENST00000434600	ENSRNOT00000107735	hsa0000122586-rno0000091337|0.7;hsa0000122587-rno0000091338|0.79;hsa0000122588-rno0000091339|0.75;hsa0000122589-rno0000091340|0.71;hsa0000122591-rno0000091341|0.73;hsa0000122592-rno0000091342|0.74;hsa0000122593-rno0000091343|0.88;hsa0000122594-rno0000091344|0.84;hsa0000122598-rno0000091348|0.95
ENSG00000005893	ENSRNOG00000000164	ENST00000371335	ENSRNOT00000099330	hsa0000122586-rno0000091337|0.7;hsa0000122587-rno0000091338|0.79;hsa0000122588-rno0000091339|0.75;hsa0000122589-rno0000091340|0.71;hsa0000122591-rno0000091341|0.73;hsa0000122592-rno0000091342|0.74;hsa0000122593-rno0000091343|0.88;hsa0000122594-rno0000091344|0.84;hsa0000122595-rno0000091346|0.96
ENSG00000006042	ENSRNOG00000021316	ENST00000394642	ENSRNOT00000037072	hsa0000243719-rno0000158625|0.91;hsa0000243720-rno0000158626|0.92;hsa0000243722-rno0000158627|0.94;hsa0000243723-rno0000158628|0.91;hsa0000243724-rno0000158630|0.85;hsa0000243727-rno0000158631|0.86
ENSG00000006042	ENSRNOG00000021316	ENST00000394642	ENSRNOT00000101948	hsa0000243719-rno0000158624|0.61;hsa0000243720-rno0000158626|0.92;hsa0000243722-rno0000158627|0.94;hsa0000243723-rno0000158628|0.91;hsa0000243724-rno0000158630|0.85;hsa0000243727-rno0000158631|0.86
ENSG00000006042	ENSRNOG00000021316	ENST00000395149	ENSRNOT00000112579	hsa0000243719-rno0000158625|0.91;hsa0000243720-rno0000158626|0.92;hsa0000243722-rno0000158627|0.94;hsa0000243723-rno0000158629|0.88
ENSG00000006042	ENSRNOG00000021316	ENST00000579849	ENSRNOT00000037072	hsa0000243719-rno0000158625|0.91;hsa0000243720-rno0000158626|0.92;hsa0000243722-rno0000158627|0.94;hsa0000243723-rno0000158628|0.91;hsa0000243724-rno0000158630|0.85;hsa0000243727-rno0000158631|0.86
ENSG00000006042	ENSRNOG00000021316	ENST00000579849	ENSRNOT00000101948	hsa0000243719-rno0000158624|0.61;hsa0000243720-rno0000158626|0.92;hsa0000243722-rno0000158627|0.94;hsa0000243723-rno0000158628|0.91;hsa0000243724-rno0000158630|0.85;hsa0000243727-rno0000158631|0.86
ENSG00000006042	ENSRNOG00000021316	ENST00000439138	ENSRNOT00000037072	hsa0000243719-rno0000158625|0.91;hsa0000243720-rno0000158626|0.92;hsa0000243722-rno0000158627|0.94;hsa0000243723-rno0000158628|0.91;hsa0000243724-rno0000158630|0.85;hsa0000243726-rno0000158631|0.8
ENSG00000006042	ENSRNOG00000021316	ENST00000439138	ENSRNOT00000101948	hsa0000243719-rno0000158624|0.61;hsa0000243720-rno0000158626|0.92;hsa0000243722-rno0000158627|0.94;hsa0000243723-rno0000158628|0.91;hsa0000243724-rno0000158630|0.85;hsa0000243726-rno0000158631|0.8
ENSG00000006071	ENSRNOG00000021130	ENST00000302539	ENSRNOT00000028696	hsa0000159805-rno0000006706|0.92;hsa0000159810-rno0000006707|0.91;hsa0000159812-rno0000006708|0.85;hsa0000159815-rno0000006709|0.89;hsa0000159820-rno0000006710|0.88;hsa0000159821-rno0000006711|0.87;hsa0000159823-rno0000006712|0.88;hsa0000159824-rno0000006713|0.92;hsa0000159826-rno0000006714|0.9;hsa0000159828-rno0000006715|0.88;hsa0000159831-rno0000006716|0.85;hsa0000159834-rno0000006717|0.89;hsa0000159840-rno0000006718|0.9;hsa0000159845-rno0000006719|0.81;hsa0000159847-rno0000006720|0.92;hsa0000159849-rno0000006721|0.92;hsa0000159850-rno0000006722|0.86;hsa0000159852-rno0000006724|0.79;hsa0000159853-rno0000006726|0.9;hsa0000159854-rno0000006727|0.95;hsa0000159856-rno0000006728|0.91;hsa0000159857-rno0000006729|0.93;hsa0000159858-rno0000006730|0.94;hsa0000159859-rno0000006731|0.87;hsa0000159864-rno0000006732|0.88;hsa0000159865-rno0000006733|0.87;hsa0000159866-rno0000006734|0.94;hsa0000159867-rno0000006735|0.91;hsa0000159870-rno0000006736|0.89;hsa0000159874-rno0000006737|0.9;hsa0000159876-rno0000006738|0.86;hsa0000159877-rno0000006739|0.92;hsa0000159879-rno0000006740|0.92;hsa0000159881-rno0000006741|0.87;hsa0000159885-rno0000006742|0.87;hsa0000159889-rno0000006743|0.89;hsa0000159891-rno0000006744|0.91;hsa0000159892-rno0000006745|0.95;hsa0000159893-rno0000006746|0.87
ENSG00000006071	ENSRNOG00000021130	ENST00000389817	ENSRNOT00000028696	hsa0000159805-rno0000006706|0.92;hsa0000159810-rno0000006707|0.91;hsa0000159812-rno0000006708|0.85;hsa0000159815-rno0000006709|0.89;hsa0000159820-rno0000006710|0.88;hsa0000159821-rno0000006711|0.87;hsa0000159823-rno0000006712|0.88;hsa0000159824-rno0000006713|0.92;hsa0000159826-rno0000006714|0.9;hsa0000159828-rno0000006715|0.88;hsa0000159831-rno0000006716|0.85;hsa0000159834-rno0000006717|0.89;hsa0000159840-rno0000006718|0.9;hsa0000159845-rno0000006719|0.81;hsa0000159847-rno0000006720|0.92;hsa0000159849-rno0000006721|0.92;hsa0000159851-rno0000006722|0.78;hsa0000159852-rno0000006724|0.79;hsa0000159853-rno0000006726|0.9;hsa0000159854-rno0000006727|0.95;hsa0000159856-rno0000006728|0.91;hsa0000159857-rno0000006729|0.93;hsa0000159858-rno0000006730|0.94;hsa0000159859-rno0000006731|0.87;hsa0000159864-rno0000006732|0.88;hsa0000159865-rno0000006733|0.87;hsa0000159866-rno0000006734|0.94;hsa0000159867-rno0000006735|0.91;hsa0000159870-rno0000006736|0.89;hsa0000159874-rno0000006737|0.9;hsa0000159876-rno0000006738|0.86;hsa0000159877-rno0000006739|0.92;hsa0000159879-rno0000006740|0.92;hsa0000159881-rno0000006741|0.87;hsa0000159885-rno0000006742|0.87;hsa0000159889-rno0000006743|0.89;hsa0000159891-rno0000006744|0.91;hsa0000159892-rno0000006745|0.95;hsa0000159893-rno0000006746|0.87
ENSG00000006071	ENSRNOG00000021130	ENST00000683136	ENSRNOT00000038798	hsa0000159805-rno0000006706|0.92;hsa0000159810-rno0000006707|0.91;hsa0000159812-rno0000006708|0.85;hsa0000159815-rno0000006709|0.89;hsa0000159817-rno0000006710|0.87;hsa0000159821-rno0000006711|0.87;hsa0000159823-rno0000006712|0.88;hsa0000159824-rno0000006713|0.92;hsa0000159826-rno0000006714|0.9;hsa0000159828-rno0000006715|0.88;hsa0000159831-rno0000006716|0.85;hsa0000159834-rno0000006717|0.89;hsa0000159840-rno0000006718|0.9;hsa0000159845-rno0000006719|0.81;hsa0000159847-rno0000006720|0.92;hsa0000159849-rno0000006721|0.92;hsa0000159851-rno0000006722|0.78;hsa0000159852-rno0000006724|0.79;hsa0000159853-rno0000006726|0.9;hsa0000159854-rno0000006727|0.95;hsa0000159856-rno0000006728|0.91;hsa0000159857-rno0000006729|0.93;hsa0000159858-rno0000006730|0.94;hsa0000159859-rno0000006731|0.87;hsa0000159864-rno0000006732|0.88;hsa0000159865-rno0000006733|0.87;hsa0000159866-rno0000006734|0.94;hsa0000159867-rno0000006735|0.91;hsa0000159870-rno0000006736|0.89;hsa0000159874-rno0000006737|0.9;hsa0000159877-rno0000006739|0.92;hsa0000159879-rno0000006740|0.92;hsa0000159881-rno0000006741|0.87;hsa0000159885-rno0000006742|0.87;hsa0000159889-rno0000006743|0.89;hsa0000159891-rno0000006744|0.91;hsa0000159892-rno0000006745|0.95;hsa0000159893-rno0000006746|0.87
ENSG00000006071	ENSRNOG00000021130	ENST00000646902	ENSRNOT00000028696	hsa0000159805-rno0000006706|0.92;hsa0000159810-rno0000006707|0.91;hsa0000159812-rno0000006708|0.85;hsa0000159815-rno0000006709|0.89;hsa0000159817-rno0000006710|0.87;hsa0000159821-rno0000006711|0.87;hsa0000159823-rno0000006712|0.88;hsa0000159824-rno0000006713|0.92;hsa0000159826-rno0000006714|0.9;hsa0000159828-rno0000006715|0.88;hsa0000159831-rno0000006716|0.85;hsa0000159834-rno0000006717|0.89;hsa0000159840-rno0000006718|0.9;hsa0000159845-rno0000006719|0.81;hsa0000159847-rno0000006720|0.92;hsa0000159849-rno0000006721|0.92;hsa0000159851-rno0000006722|0.78;hsa0000159852-rno0000006724|0.79;hsa0000159853-rno0000006726|0.9;hsa0000159854-rno0000006727|0.95;hsa0000159856-rno0000006728|0.91;hsa0000159857-rno0000006729|0.93;hsa0000159858-rno0000006730|0.94;hsa0000159859-rno0000006731|0.87;hsa0000159864-rno0000006732|0.88;hsa0000159865-rno0000006733|0.87;hsa0000159866-rno0000006734|0.94;hsa0000159867-rno0000006735|0.91;hsa0000159870-rno0000006736|0.89;hsa0000159874-rno0000006737|0.9;hsa0000159876-rno0000006738|0.86;hsa0000159877-rno0000006739|0.92;hsa0000159880-rno0000006740|0.69;hsa0000159881-rno0000006741|0.87;hsa0000159885-rno0000006742|0.87;hsa0000159889-rno0000006743|0.89;hsa0000159891-rno0000006744|0.91;hsa0000159892-rno0000006745|0.95;hsa0000159893-rno0000006746|0.87
