hsa	bta
hsa0000000917	bta0000027225
hsa0000000918	bta0000027226
hsa0000000919	bta0000027227
hsa0000000920	bta0000027228
hsa0000000926	bta0000036291
hsa0000000927	bta0000027438
hsa0000000929	bta0000027441
hsa0000000930	bta0000027442
hsa0000000932	bta0000027443
hsa0000000933	bta0000027443
hsa0000000934	bta0000027443
hsa0000000937	bta0000027444
hsa0000000938	bta0000034507
hsa0000000939	bta0000034508
hsa0000000941	bta0000034510
hsa0000000943	bta0000034511
hsa0000000944	bta0000034512
hsa0000000946	bta0000034514
hsa0000000948	bta0000034515
hsa0000000950	bta0000034516
hsa0000000951	bta0000034517
hsa0000000952	bta0000034518
hsa0000000953	bta0000034518
hsa0000000954	bta0000034519
hsa0000000955	bta0000034520
hsa0000001009	bta0000027425
hsa0000001010	bta0000027426
hsa0000001011	bta0000027427
hsa0000001012	bta0000032577
hsa0000001013	bta0000032578
hsa0000001017	bta0000027741
hsa0000001020	bta0000027744
hsa0000001024	bta0000027748
hsa0000001026	bta0000032667
hsa0000001027	bta0000032668
hsa0000001028	bta0000032669
hsa0000001029	bta0000032670
hsa0000001030	bta0000032671
hsa0000001031	bta0000032672
hsa0000001032	bta0000032673
hsa0000001033	bta0000032674
hsa0000001034	bta0000032675
hsa0000001035	bta0000032676
hsa0000001036	bta0000032680
hsa0000001036	bta0000032677
hsa0000001038	bta0000032682
hsa0000001043	bta0000027137
hsa0000001046	bta0000027138
hsa0000001048	bta0000027139
hsa0000001051	bta0000027142
hsa0000001052	bta0000027143
hsa0000001054	bta0000035211
hsa0000001057	bta0000035214
hsa0000001058	bta0000035215
hsa0000001059	bta0000035216
hsa0000001060	bta0000035217
hsa0000001061	bta0000035218
hsa0000001062	bta0000035219
hsa0000001063	bta0000035220
hsa0000001064	bta0000035221
hsa0000001065	bta0000035222
hsa0000001072	bta0000027405
hsa0000001073	bta0000027406
hsa0000001074	bta0000027406
hsa0000001078	bta0000027407
hsa0000001081	bta0000027409
hsa0000001083	bta0000027410
hsa0000001085	bta0000027411
hsa0000001088	bta0000027412
hsa0000001092	bta0000027414
hsa0000001094	bta0000027415
hsa0000001095	bta0000027416
hsa0000001096	bta0000027416
hsa0000001096	bta0000027417
hsa0000001098	bta0000027418
hsa0000001104	bta0000027420
hsa0000001105	bta0000027421
hsa0000001109	bta0000027422
hsa0000001117	bta0000035576
hsa0000001119	bta0000035577
hsa0000001120	bta0000035578
hsa0000001121	bta0000035579
hsa0000001122	bta0000035579
hsa0000001123	bta0000035580
hsa0000001124	bta0000035581
hsa0000001125	bta0000035582
hsa0000001126	bta0000035583
hsa0000001148	bta0000035001
hsa0000001152	bta0000035008
hsa0000001153	bta0000035569
hsa0000001157	bta0000035573
hsa0000001158	bta0000035574
hsa0000001199	bta0000035406
hsa0000001200	bta0000035407
hsa0000001202	bta0000035408
hsa0000001203	bta0000035409
hsa0000001205	bta0000035411
hsa0000001206	bta0000035412
hsa0000001207	bta0000035413
hsa0000001208	bta0000035414
hsa0000001210	bta0000035416
hsa0000001211	bta0000035417
hsa0000001212	bta0000035418
hsa0000001213	bta0000035419
hsa0000001217	bta0000035423
hsa0000001218	bta0000035424
hsa0000001219	bta0000035425
hsa0000001220	bta0000035426
hsa0000001222	bta0000035428
hsa0000001227	bta0000028772
hsa0000001228	bta0000028772
hsa0000001228	bta0000028773
hsa0000001229	bta0000028774
hsa0000001230	bta0000028775
hsa0000001231	bta0000028776
hsa0000001234	bta0000028778
hsa0000001235	bta0000028779
hsa0000001239	bta0000028783
hsa0000001243	bta0000035151
hsa0000001244	bta0000035152
hsa0000001245	bta0000035153
hsa0000001247	bta0000035154
hsa0000001248	bta0000035505
hsa0000001249	bta0000035506
hsa0000001250	bta0000035508
hsa0000001253	bta0000035509
hsa0000001254	bta0000035510
hsa0000001256	bta0000035511
hsa0000001257	bta0000035512
hsa0000001258	bta0000035513
hsa0000001260	bta0000035514
hsa0000001261	bta0000035515
hsa0000001263	bta0000034953
hsa0000001278	bta0000034961
hsa0000001279	bta0000034962
hsa0000001283	bta0000034965
hsa0000001288	bta0000035826
hsa0000001291	bta0000029245
hsa0000001292	bta0000029246
hsa0000001293	bta0000029247
hsa0000001294	bta0000029247
hsa0000001295	bta0000029248
hsa0000001296	bta0000029249
hsa0000001297	bta0000029250
hsa0000001302	bta0000029254
hsa0000001308	bta0000029259
hsa0000001309	bta0000029260
hsa0000001312	bta0000029262
hsa0000001319	bta0000029159
hsa0000001320	bta0000029160
hsa0000001323	bta0000029163
hsa0000001324	bta0000029164
hsa0000001344	bta0000027664
hsa0000001346	bta0000027666
hsa0000001350	bta0000027667
hsa0000001351	bta0000027668
hsa0000001362	bta0000029092
hsa0000001363	bta0000029093
hsa0000001364	bta0000029094
hsa0000001366	bta0000027493
hsa0000001367	bta0000027494
hsa0000001369	bta0000027496
hsa0000001371	bta0000027498
hsa0000001373	bta0000027500
hsa0000001375	bta0000027503
hsa0000001377	bta0000035133
hsa0000001378	bta0000035136
hsa0000001381	bta0000035138
hsa0000001383	bta0000035139
hsa0000001385	bta0000035141
hsa0000001386	bta0000035142
hsa0000001387	bta0000035142
hsa0000001388	bta0000035143
hsa0000001393	bta0000035516
hsa0000001396	bta0000035518
hsa0000001397	bta0000035519
hsa0000001398	bta0000035519
hsa0000001399	bta0000035520
hsa0000001400	bta0000035521
hsa0000001401	bta0000035522
hsa0000001402	bta0000035523
hsa0000001403	bta0000035524
hsa0000001405	bta0000035525
hsa0000001407	bta0000035526
hsa0000001409	bta0000035527
hsa0000001411	bta0000035528
hsa0000001414	bta0000035530
hsa0000001416	bta0000035531
hsa0000001418	bta0000035532
hsa0000001420	bta0000035534
hsa0000001423	bta0000035535
hsa0000001424	bta0000035536
hsa0000001425	bta0000035537
hsa0000001427	bta0000035538
hsa0000001428	bta0000035539
hsa0000001431	bta0000035540
hsa0000001433	bta0000035541
hsa0000001436	bta0000035544
hsa0000001437	bta0000035545
hsa0000001438	bta0000035546
hsa0000001439	bta0000035547
hsa0000001440	bta0000035548
hsa0000001441	bta0000035549
hsa0000001442	bta0000035550
hsa0000001443	bta0000035551
hsa0000001444	bta0000035552
hsa0000001446	bta0000035554
hsa0000001447	bta0000035555
hsa0000001449	bta0000035557
hsa0000001451	bta0000035558
hsa0000001455	bta0000035560
hsa0000001456	bta0000035560
hsa0000001456	bta0000035561
hsa0000001458	bta0000035563
hsa0000001459	bta0000035564
hsa0000001460	bta0000035565
hsa0000001461	bta0000035566
hsa0000001463	bta0000034778
hsa0000001464	bta0000034780
hsa0000001466	bta0000034781
hsa0000001467	bta0000034782
hsa0000001470	bta0000034785
hsa0000001471	bta0000027456
hsa0000001482	bta0000032378
hsa0000001574	bta0000029389
hsa0000001575	bta0000029390
hsa0000001577	bta0000029392
hsa0000001579	bta0000029393
hsa0000001580	bta0000029394
hsa0000001581	bta0000029395
hsa0000001582	bta0000029396
hsa0000001584	bta0000029397
hsa0000001585	bta0000029398
hsa0000001590	bta0000029402
hsa0000001591	bta0000029403
hsa0000001592	bta0000029404
hsa0000001593	bta0000029405
hsa0000001595	bta0000029406
hsa0000001597	bta0000029407
hsa0000001599	bta0000029409
hsa0000001654	bta0000035105
hsa0000001655	bta0000035106
hsa0000001657	bta0000035108
hsa0000001658	bta0000035110
hsa0000001659	bta0000035111
hsa0000001661	bta0000035113
hsa0000001663	bta0000035115
hsa0000001664	bta0000035116
hsa0000001688	bta0000037392
hsa0000001689	bta0000032601
hsa0000001690	bta0000032602
hsa0000001691	bta0000036122
hsa0000001692	bta0000036123
hsa0000001693	bta0000036124
hsa0000001694	bta0000036125
hsa0000001695	bta0000036126
hsa0000001696	bta0000036127
hsa0000001697	bta0000036127
hsa0000001711	bta0000028812
hsa0000001713	bta0000028814
hsa0000001714	bta0000031862
hsa0000001715	bta0000031863
hsa0000001717	bta0000031864
hsa0000001718	bta0000031865
hsa0000001719	bta0000031866
hsa0000001720	bta0000031867
hsa0000001722	bta0000031868
hsa0000001723	bta0000030897
hsa0000001724	bta0000030897
hsa0000001725	bta0000030900
hsa0000001729	bta0000030904
hsa0000001730	bta0000030905
hsa0000001731	bta0000030906
hsa0000001732	bta0000030907
hsa0000001734	bta0000030909
hsa0000001735	bta0000030910
hsa0000001736	bta0000030911
hsa0000001737	bta0000030912
hsa0000001739	bta0000030913
hsa0000001740	bta0000030914
hsa0000001741	bta0000030915
hsa0000001747	bta0000030918
hsa0000001750	bta0000030920
hsa0000001752	bta0000030922
hsa0000001753	bta0000030923
hsa0000001754	bta0000030925
hsa0000001755	bta0000030926
hsa0000001757	bta0000031799
hsa0000001764	bta0000031805
hsa0000001770	bta0000028792
hsa0000001772	bta0000031729
hsa0000001773	bta0000031921
hsa0000001774	bta0000031922
hsa0000001776	bta0000031924
hsa0000001777	bta0000031925
hsa0000001779	bta0000031927
hsa0000001784	bta0000031933
hsa0000001785	bta0000031934
hsa0000001786	bta0000031935
hsa0000001787	bta0000031936
hsa0000001788	bta0000031937
hsa0000001790	bta0000031939
hsa0000001792	bta0000031941
hsa0000001793	bta0000031942
hsa0000001798	bta0000022971
hsa0000001800	bta0000022973
hsa0000001801	bta0000022974
hsa0000001802	bta0000022975
hsa0000001803	bta0000022976
hsa0000001805	bta0000022978
hsa0000001813	bta0000033313
hsa0000001815	bta0000033314
hsa0000001816	bta0000032536
hsa0000001818	bta0000032539
hsa0000001820	bta0000032541
hsa0000001821	bta0000032542
hsa0000001822	bta0000032543
hsa0000001828	bta0000028725
hsa0000001829	bta0000028727
hsa0000001830	bta0000028728
hsa0000001831	bta0000028729
hsa0000001832	bta0000028730
hsa0000001836	bta0000028733
hsa0000001838	bta0000028735
hsa0000001839	bta0000028736
hsa0000001841	bta0000028739
hsa0000001843	bta0000033385
hsa0000001844	bta0000033386
hsa0000001846	bta0000033389
hsa0000001847	bta0000033389
hsa0000001850	bta0000033392
hsa0000001852	bta0000033393
hsa0000001854	bta0000033395
hsa0000001855	bta0000033396
hsa0000001856	bta0000033397
hsa0000001858	bta0000033398
hsa0000001861	bta0000033400
hsa0000001863	bta0000033402
hsa0000001868	bta0000031891
hsa0000001872	bta0000033428
hsa0000001873	bta0000033429
hsa0000001874	bta0000033430
hsa0000001875	bta0000033431
hsa0000001876	bta0000033432
hsa0000001878	bta0000033433
hsa0000001880	bta0000033435
hsa0000001881	bta0000033436
hsa0000001882	bta0000033437
hsa0000001883	bta0000033437
hsa0000001884	bta0000033438
hsa0000001888	bta0000033442
hsa0000001889	bta0000033442
hsa0000001894	bta0000030577
hsa0000001895	bta0000030579
hsa0000001898	bta0000030582
hsa0000001939	bta0000032176
hsa0000001940	bta0000032177
hsa0000001941	bta0000032178
hsa0000001942	bta0000032179
hsa0000001943	bta0000032180
hsa0000001946	bta0000032183
hsa0000001947	bta0000032184
hsa0000001948	bta0000032185
hsa0000001949	bta0000032186
hsa0000001950	bta0000032187
hsa0000001953	bta0000032190
hsa0000001954	bta0000032191
hsa0000001955	bta0000032192
hsa0000001956	bta0000032193
hsa0000001958	bta0000032195
hsa0000001959	bta0000032196
hsa0000001961	bta0000032198
hsa0000001962	bta0000032199
hsa0000001963	bta0000032200
hsa0000001964	bta0000032201
hsa0000001965	bta0000032202
hsa0000001966	bta0000032203
hsa0000001970	bta0000032209
hsa0000001971	bta0000031429
hsa0000001972	bta0000031430
hsa0000001973	bta0000031431
hsa0000001974	bta0000031432
hsa0000001975	bta0000031433
hsa0000001976	bta0000031434
hsa0000001978	bta0000031436
hsa0000001979	bta0000031437
hsa0000001980	bta0000031438
hsa0000001981	bta0000031439
hsa0000002001	bta0000032268
hsa0000002005	bta0000032270
hsa0000002008	bta0000032272
hsa0000002009	bta0000032273
hsa0000002011	bta0000032275
hsa0000002013	bta0000031502
hsa0000002014	bta0000031503
hsa0000002019	bta0000031507
hsa0000002020	bta0000032942
hsa0000002021	bta0000032943
hsa0000002022	bta0000032944
hsa0000002024	bta0000032946
hsa0000002025	bta0000032947
hsa0000002027	bta0000032949
hsa0000002028	bta0000032950
hsa0000002046	bta0000032876
hsa0000002046	bta0000032875
hsa0000002050	bta0000032877
hsa0000002051	bta0000032878
hsa0000002056	bta0000033263
hsa0000002058	bta0000033572
hsa0000002061	bta0000033576
hsa0000002063	bta0000033578
hsa0000002065	bta0000033580
hsa0000002066	bta0000033581
hsa0000002071	bta0000033586
hsa0000002072	bta0000033587
hsa0000002073	bta0000033588
hsa0000002075	bta0000033590
hsa0000002079	bta0000033595
hsa0000002080	bta0000033596
hsa0000002097	bta0000037890
hsa0000002100	bta0000037892
hsa0000002102	bta0000037894
hsa0000002107	bta0000037899
hsa0000002108	bta0000037900
hsa0000002111	bta0000033248
hsa0000002112	bta0000033249
hsa0000002115	bta0000033252
hsa0000002116	bta0000033253
hsa0000002117	bta0000033254
hsa0000002118	bta0000033255
hsa0000002119	bta0000033256
hsa0000002120	bta0000033257
hsa0000002122	bta0000033260
hsa0000002125	bta0000033569
hsa0000002130	bta0000033223
hsa0000002131	bta0000033224
hsa0000002132	bta0000033225
hsa0000002135	bta0000033228
hsa0000002138	bta0000033231
hsa0000002141	bta0000033234
hsa0000002142	bta0000033235
hsa0000002145	bta0000033238
hsa0000002146	bta0000033239
hsa0000002147	bta0000033240
hsa0000002154	bta0000033247
hsa0000002174	bta0000033174
hsa0000002177	bta0000033177
hsa0000002179	bta0000033179
hsa0000002186	bta0000033186
hsa0000002187	bta0000033187
hsa0000002190	bta0000033190
hsa0000002197	bta0000033197
hsa0000002200	bta0000033200
hsa0000002203	bta0000033203
hsa0000002210	bta0000033209
hsa0000002211	bta0000033210
hsa0000002212	bta0000033211
hsa0000002248	bta0000033405
hsa0000002249	bta0000033406
hsa0000002250	bta0000033407
hsa0000002251	bta0000033408
hsa0000002253	bta0000033410
hsa0000002256	bta0000033412
hsa0000002257	bta0000033413
hsa0000002258	bta0000033414
hsa0000002260	bta0000033416
hsa0000002261	bta0000033417
hsa0000002262	bta0000033418
hsa0000002263	bta0000033419
hsa0000002264	bta0000033420
hsa0000002265	bta0000033421
hsa0000002266	bta0000033422
hsa0000002267	bta0000033423
hsa0000002268	bta0000033424
hsa0000002270	bta0000033425
hsa0000002271	bta0000038185
hsa0000002272	bta0000038186
hsa0000002273	bta0000038187
hsa0000002275	bta0000038189
hsa0000002276	bta0000038190
hsa0000002278	bta0000038192
hsa0000002293	bta0000031452
hsa0000002294	bta0000031453
hsa0000002296	bta0000031454
hsa0000002297	bta0000031455
hsa0000002298	bta0000031456
hsa0000002301	bta0000031459
hsa0000002302	bta0000031461
hsa0000002305	bta0000031464
hsa0000002306	bta0000031466
hsa0000002308	bta0000031134
hsa0000002311	bta0000031136
hsa0000002313	bta0000031137
hsa0000002316	bta0000031138
hsa0000002319	bta0000031140
hsa0000002323	bta0000037929
hsa0000002328	bta0000029981
hsa0000002329	bta0000029982
hsa0000002341	bta0000142656
hsa0000002349	bta0000142660
hsa0000002350	bta0000142661
hsa0000002351	bta0000142662
hsa0000002352	bta0000142663
hsa0000002356	bta0000142666
hsa0000002368	bta0000138766
hsa0000002369	bta0000138767
hsa0000002370	bta0000138768
hsa0000002375	bta0000138772
hsa0000002376	bta0000138773
hsa0000002377	bta0000138774
hsa0000002378	bta0000138775
hsa0000002381	bta0000138778
hsa0000002382	bta0000138779
hsa0000002385	bta0000138782
hsa0000002386	bta0000138783
hsa0000002387	bta0000138784
hsa0000002394	bta0000138791
hsa0000002395	bta0000138792
hsa0000002396	bta0000138793
hsa0000002416	bta0000030034
hsa0000002446	bta0000029929
hsa0000002447	bta0000029930
hsa0000002448	bta0000029931
hsa0000002450	bta0000029932
hsa0000002451	bta0000029933
hsa0000002452	bta0000029934
hsa0000002453	bta0000029935
hsa0000002455	bta0000029937
hsa0000002456	bta0000029938
hsa0000002532	bta0000139400
hsa0000002535	bta0000139403
hsa0000002537	bta0000139405
hsa0000002538	bta0000139406
hsa0000002541	bta0000139409
hsa0000002543	bta0000139410
hsa0000002588	bta0000029783
hsa0000002591	bta0000029785
hsa0000002597	bta0000029789
hsa0000002598	bta0000029790
hsa0000002599	bta0000029791
hsa0000002600	bta0000029792
hsa0000002607	bta0000136560
hsa0000002608	bta0000136561
hsa0000002609	bta0000136561
hsa0000002611	bta0000136562
hsa0000002612	bta0000136563
hsa0000002614	bta0000136564
hsa0000002618	bta0000142700
hsa0000002623	bta0000142705
hsa0000002626	bta0000142708
hsa0000002629	bta0000142711
hsa0000002629	bta0000142710
hsa0000002643	bta0000214705
hsa0000002644	bta0000214706
hsa0000002645	bta0000214707
hsa0000002646	bta0000214708
hsa0000002648	bta0000214710
hsa0000002649	bta0000214711
hsa0000002653	bta0000214715
hsa0000002655	bta0000214717
hsa0000002656	bta0000214718
hsa0000002657	bta0000214720
hsa0000002659	bta0000214722
hsa0000002662	bta0000214725
hsa0000002664	bta0000214727
hsa0000002673	bta0000141483
hsa0000002673	bta0000141482
hsa0000002674	bta0000141484
hsa0000002675	bta0000141485
hsa0000002678	bta0000141488
hsa0000002681	bta0000141492
hsa0000002685	bta0000141495
hsa0000002687	bta0000141497
hsa0000002708	bta0000030020
hsa0000002714	bta0000136341
hsa0000002716	bta0000136342
hsa0000002719	bta0000136343
hsa0000002720	bta0000136344
hsa0000002721	bta0000136345
hsa0000002723	bta0000136347
hsa0000002725	bta0000136349
hsa0000002726	bta0000136350
hsa0000002727	bta0000136351
hsa0000002737	bta0000136360
hsa0000002761	bta0000143199
hsa0000002763	bta0000143201
hsa0000002775	bta0000214859
hsa0000002778	bta0000137527
hsa0000002779	bta0000137529
hsa0000002781	bta0000137530
hsa0000002782	bta0000137531
hsa0000002783	bta0000137532
hsa0000002784	bta0000137533
hsa0000002785	bta0000137534
hsa0000002787	bta0000029465
hsa0000002788	bta0000029466
hsa0000002789	bta0000029467
hsa0000002792	bta0000029471
hsa0000002793	bta0000029475
hsa0000002843	bta0000142397
hsa0000002844	bta0000142398
hsa0000002848	bta0000142402
hsa0000002850	bta0000142404
hsa0000002893	bta0000215245
hsa0000002895	bta0000215247
hsa0000002899	bta0000029796
hsa0000002900	bta0000029797
hsa0000002902	bta0000029798
hsa0000002904	bta0000029798
hsa0000002910	bta0000142390
hsa0000002917	bta0000143144
hsa0000002918	bta0000143145
hsa0000002919	bta0000143146
hsa0000002919	bta0000143147
hsa0000002920	bta0000143147
hsa0000002921	bta0000143148
hsa0000002922	bta0000143149
hsa0000002923	bta0000136323
hsa0000002925	bta0000136327
hsa0000002927	bta0000136329
hsa0000002928	bta0000136330
hsa0000002931	bta0000136333
hsa0000002933	bta0000136335
hsa0000002934	bta0000136336
hsa0000002936	bta0000136338
hsa0000002940	bta0000141429
hsa0000002941	bta0000141430
hsa0000002944	bta0000141432
hsa0000002950	bta0000141438
hsa0000002951	bta0000141439
hsa0000002954	bta0000141442
hsa0000002955	bta0000143239
hsa0000002955	bta0000143238
hsa0000002956	bta0000143240
hsa0000002959	bta0000143243
hsa0000002960	bta0000143244
hsa0000002963	bta0000143247
hsa0000002964	bta0000143247
hsa0000002966	bta0000143249
hsa0000002968	bta0000214798
hsa0000002969	bta0000214799
hsa0000002972	bta0000214802
hsa0000002973	bta0000214803
hsa0000002974	bta0000214804
hsa0000002975	bta0000214805
hsa0000002976	bta0000214806
hsa0000002982	bta0000214812
hsa0000002986	bta0000214818
hsa0000002997	bta0000137262
hsa0000002998	bta0000137263
hsa0000003000	bta0000137263
hsa0000003001	bta0000137263
hsa0000003003	bta0000137264
hsa0000003004	bta0000137265
hsa0000003006	bta0000137267
hsa0000003007	bta0000137268
hsa0000003008	bta0000140429
hsa0000003010	bta0000140431
hsa0000003011	bta0000140432
hsa0000003012	bta0000140433
hsa0000003013	bta0000140434
hsa0000003015	bta0000140436
hsa0000003017	bta0000140438
hsa0000003021	bta0000140442
hsa0000003023	bta0000140444
