mouse_exon1	mouse_exon2	human_exon1	human_exon2	human_coord1	human_coord2	identity1	identity2	avg_identity
chr5:100949774:100949857:1	chr11:88100679:88100756:1	ENSE00001073317	ENSE00003568333	chr4:83458346:83458429:1	chr17:57841183:57841260:-1	0.79	0.83	0.81
chr5:100949774:100949857:1	chr3:8965046:8965227:-1	ENSE00001073317	ENSE00003562403	chr4:83458346:83458429:1	chr8:80002999:80003180:-1	0.79	0.84	0.815
chr5:100949774:100949857:1	chr11:88096015:88096185:1	ENSE00001073317	ENSE00003553527	chr4:83458346:83458429:1	chr17:57849240:57849410:-1	0.79	0.83	0.81
chr16:91896482:91896621:1	chr4:125944273:125944321:1	ENSE00003597756	ENSE00000861265	chr21:34125341:34125480:1	chr1:36461264:36461312:-1	0.84	0.92	0.88
chr16:91896482:91896621:1	chr5:100951836:100951927:1	ENSE00003597756	ENSE00003548320	chr21:34125341:34125480:1	chr4:83460973:83461032:1	0.84	0.59	0.715
chr16:91896482:91896621:1	chr5:100949774:100949857:1	ENSE00003597756	ENSE00001073317	chr21:34125341:34125480:1	chr4:83458346:83458429:1	0.84	0.79	0.815
chr12:110517496:110517555:1	chr14:67917611:67917779:-1	ENSE00003579419	ENSE00003477142	chr14:101890237:101890296:1	chr8:25503373:25503544:1	0.88	0.75	0.815
chr12:69350655:69350736:1	chr14:29695318:29695404:1	ENSE00003471051	ENSE00003673177	chr14:49778178:49778259:1	chr3:53885826:53885912:-1	0.96	0.91	0.935
chr4:62333412:62333491:1	chr3:95751498:95751664:-1	ENSE00000806194	ENSE00003614956	chr9:113283132:113283211:1	chr1:150338160:150338326:1	0.89	0.9	0.895
chr4:62333412:62333491:1	chr3:95742666:95742779:-1	ENSE00000806194	ENSE00003517533	chr9:113283132:113283211:1	chr1:150344434:150344547:1	0.89	0.96	0.925
chr4:62333412:62333491:1	chr3:95739873:95739934:-1	ENSE00000806194	ENSE00003677592	chr9:113283132:113283211:1	chr1:150349157:150349218:1	0.89	0.94	0.915
chr4:62333639:62333732:1	chr3:95747982:95748061:-1	ENSE00000806192	ENSE00003658310	chr9:113283389:113283482:1	chr1:150340398:150340477:1	0.94	0.99	0.965
chr4:62333639:62333732:1	chr3:95751498:95751664:-1	ENSE00000806192	ENSE00003614956	chr9:113283389:113283482:1	chr1:150338160:150338326:1	0.94	0.9	0.9199999999999999
chr4:62333639:62333732:1	chr3:95742666:95742779:-1	ENSE00000806192	ENSE00003517533	chr9:113283389:113283482:1	chr1:150344434:150344547:1	0.94	0.96	0.95
chr4:62333639:62333732:1	chr3:95739873:95739934:-1	ENSE00000806192	ENSE00003677592	chr9:113283389:113283482:1	chr1:150349157:150349218:1	0.94	0.94	0.94
chr4:123030665:123030691:-1	chr8:3665994:3666158:-1	ENSE00003471988	ENSE00001249150	chr1:39741895:39741921:1	chr19:7625880:7626044:-1	0.96	0.88	0.9199999999999999
chr2:127442749:127442806:1	chr11:88096015:88096185:1	ENSE00003642914	ENSE00003553527	chr2:95100837:95100894:-1	chr17:57849240:57849410:-1	0.84	0.83	0.835
chr4:62340415:62340537:1	chr3:95747982:95748061:-1	ENSE00000806182	ENSE00003658310	chr9:113290466:113290588:1	chr1:150340398:150340477:1	0.97	0.99	0.98
chr4:62340415:62340537:1	chr3:95751498:95751664:-1	ENSE00000806182	ENSE00003614956	chr9:113290466:113290588:1	chr1:150338160:150338326:1	0.97	0.9	0.935
chr4:62340415:62340537:1	chr3:95742666:95742779:-1	ENSE00000806182	ENSE00003517533	chr9:113290466:113290588:1	chr1:150344434:150344547:1	0.97	0.96	0.965
chr4:62340415:62340537:1	chr3:95739873:95739934:-1	ENSE00000806182	ENSE00003677592	chr9:113290466:113290588:1	chr1:150349157:150349218:1	0.97	0.94	0.955
chr2:127438820:127438854:1	chr11:88096015:88096185:1	ENSE00003681498	ENSE00003553527	chr2:95106423:95106457:-1	chr17:57849240:57849410:-1	0.91	0.83	0.87
chr16:20537741:20537834:1	chr17:46558655:46558726:-1	ENSE00003651970	ENSE00003483389	chr3:184365133:184365226:1	chr6:43517306:43517377:1	0.94	0.92	0.9299999999999999
	chr8:111474875:111475036:-1	ENSE00003623917	ENSE00001032153	chr5:150080052:150080336:-1	chr16:70656960:70657121:1	0.0	0.82	0.41
chr4:62340840:62340958:1	chr3:95747982:95748061:-1	ENSE00000806178	ENSE00003658310	chr9:113290898:113291016:1	chr1:150340398:150340477:1	0.9	0.99	0.9450000000000001
chr4:62340840:62340958:1	chr3:95751498:95751664:-1	ENSE00000806178	ENSE00003614956	chr9:113290898:113291016:1	chr1:150338160:150338326:1	0.9	0.9	0.9
chr4:62340840:62340958:1	chr3:95742666:95742779:-1	ENSE00000806178	ENSE00003517533	chr9:113290898:113291016:1	chr1:150344434:150344547:1	0.9	0.96	0.9299999999999999
chr4:62340840:62340958:1	chr3:95739873:95739934:-1	ENSE00000806178	ENSE00003677592	chr9:113290898:113291016:1	chr1:150349157:150349218:1	0.9	0.94	0.9199999999999999
chr4:62340840:62340958:1	chr3:95741065:95741148:-1	ENSE00000806178	ENSE00003467046	chr9:113290898:113291016:1	chr1:150346408:150346491:1	0.9	0.94	0.9199999999999999
chr4:62340652:62340759:1	chr3:95751498:95751664:-1	ENSE00000806180	ENSE00003614956	chr9:113290700:113290807:1	chr1:150338160:150338326:1	0.9	0.9	0.9
chr4:62340652:62340759:1	chr3:95742666:95742779:-1	ENSE00000806180	ENSE00003517533	chr9:113290700:113290807:1	chr1:150344434:150344547:1	0.9	0.96	0.9299999999999999
chr4:62340652:62340759:1	chr3:95739873:95739934:-1	ENSE00000806180	ENSE00003677592	chr9:113290700:113290807:1	chr1:150349157:150349218:1	0.9	0.94	0.9199999999999999
chr12:100081097:100081221:1	chr16:20481372:20481490:1	ENSE00003600697	ENSE00001179852	chr14:90263318:90263442:1	chr3:184308449:184308567:1	0.92	0.88	0.9
		ENSE00003495350	ENSE00003786987	chr5:150078112:150078248:-1	chr16:70654538:70654671:1	0.0	0.0	0.0
	chr8:111474875:111475036:-1	ENSE00003495350	ENSE00001032153	chr5:150078112:150078248:-1	chr16:70656960:70657121:1	0.0	0.82	0.41
chr11:107386514:107386591:1	chr7:140477521:140477712:1	ENSE00003668268	ENSE00003666213	chr17:67342186:67342263:-1	chr11:251820:251936:1	0.9	0.56	0.73
chr11:107386514:107386591:1	chr7:140477330:140477410:1	ENSE00003668268	ENSE00003665552	chr17:67342186:67342263:-1	chr11:251546:251626:1	0.9	0.91	0.905
chr12:69346990:69347069:1	chr14:29695318:29695404:1	ENSE00003505271	ENSE00003673177	chr14:49771594:49771673:1	chr3:53885826:53885912:-1	0.96	0.91	0.935
chr2:145770041:145770219:-1	chr8:3661672:3661834:-1	ENSE00003506384	ENSE00003577369	chr20:20045308:20045486:-1	chr19:7621135:7621297:-1	0.84	0.88	0.86
chr8:71321577:71321751:-1	chr18:35047053:35047228:-1	ENSE00001056262	ENSE00003504891	chr19:17942656:17942845:1	chr5:138518692:138518867:-1	0.78	0.95	0.865
chr12:110521277:110521330:1	chr14:67917611:67917779:-1	ENSE00003488330	ENSE00003477142	chr14:101894507:101894560:1	chr8:25503373:25503544:1	0.93	0.75	0.8400000000000001
chr2:61614177:61614251:1	chr8:108311495:108311592:-1	ENSE00003464676	ENSE00003644424	chr2:161391104:161391178:1	chr16:74301555:74301652:1	0.95	0.87	0.9099999999999999
chr1:36558033:36558176:1	chr4:129740258:129740332:1	ENSE00001160920	ENSE00003692122	chr2:96825058:96825201:1	chr1:31910038:31910112:-1	0.92	0.89	0.905
chr1:36558033:36558176:1	chr4:129738855:129738985:1	ENSE00001160920	ENSE00003631447	chr2:96825058:96825201:1	chr1:31911696:31911826:-1	0.92	0.97	0.9450000000000001
chr2:61594181:61594251:1	chr8:108313257:108313348:-1	ENSE00001130731	ENSE00003670943	chr2:161370107:161370177:1	chr16:74300115:74300206:1	0.92	0.95	0.935
chr14:45572110:45572177:1	chr2:61594181:61594251:1	ENSE00003693795	ENSE00001130731	chr14:52711101:52711168:1	chr2:161370107:161370177:1	0.96	0.92	0.94
chr2:61591319:61591438:1	chr8:108310805:108310885:-1	ENSE00001130738	ENSE00003607341	chr2:161367784:161367903:1	chr16:74302212:74302292:1	0.93	0.84	0.885
chr2:61595193:61595343:1	chr8:108310805:108310885:-1	ENSE00001130727	ENSE00003607341	chr2:161371172:161371322:1	chr16:74302212:74302292:1	0.99	0.84	0.915
chr12:110512205:110512335:1	chr14:67917611:67917779:-1	ENSE00003467498	ENSE00003477142	chr14:101883432:101883562:1	chr8:25503373:25503544:1	0.9	0.75	0.825
chr1:4852791:4852956:-1	chr19:6106959:6107109:-1	ENSE00003753157	ENSE00003623696	chr8:54137268:54137433:1	chr11:65124502:65124652:1	0.9	0.86	0.88
chr1:4852791:4852956:-1		ENSE00003753157	ENSE00001117764	chr8:54137268:54137433:1	chr17:75017078:75017114:1	0.9	0.0	0.45
chr1:4852791:4852956:-1	chr11:115300306:115300365:1	ENSE00003753157	ENSE00003566652	chr8:54137268:54137433:1	chr17:75019700:75019759:1	0.9	0.87	0.885
chr4:123032659:123032757:-1	chr8:3668055:3668252:-1	ENSE00003602750	ENSE00001249089	chr1:39740165:39740263:1	chr19:7627243:7627440:-1	0.89	0.89	0.89
chr4:123032659:123032757:-1	chr8:3666250:3666384:-1	ENSE00003602750	ENSE00000671403	chr1:39740165:39740263:1	chr19:7626136:7626270:-1	0.89	0.85	0.87
chr14:45569363:45569415:1	chr8:108311495:108311592:-1	ENSE00003680470	ENSE00003644424	chr14:52708764:52708816:1	chr16:74301555:74301652:1	0.89	0.87	0.88
chr14:45569363:45569415:1	chr2:61591319:61591438:1	ENSE00003680470	ENSE00001130738	chr14:52708764:52708816:1	chr2:161367784:161367903:1	0.89	0.93	0.91
chr19:5432214:5432387:-1	chr2:127064051:127064174:1	ENSE00001716420	ENSE00000963285	chr11:65976395:65976568:1	chr2:96292972:96293095:-1	0.9	0.94	0.9199999999999999
chr19:5432214:5432387:-1	chr2:127059312:127059485:1	ENSE00001716420	ENSE00000963280	chr11:65976395:65976568:1	chr2:96297363:96297536:-1	0.9	0.93	0.915
chr11:80361209:80361244:1	chr11:107386514:107386591:1	ENSE00000868002	ENSE00003668268	chr17:32479851:32479886:1	chr17:67342186:67342263:-1	0.97	0.9	0.935
chr19:6418394:6418469:1	chr7:5078467:5078715:1	ENSE00003547307	ENSE00001178717	chr11:64773430:64773505:-1	chr19:55669444:55669692:1	0.99	0.91	0.95
chr12:110519219:110519327:1	chr14:67917611:67917779:-1	ENSE00003664156	ENSE00003477142	chr14:101893000:101893108:1	chr8:25503373:25503544:1	0.89	0.75	0.8200000000000001
chr8:80429633:80429730:-1	chr18:35041095:35041250:-1	ENSE00001081970	ENSE00001129273	chr4:145108015:145108112:1	chr5:138511045:138511200:-1	0.93	0.97	0.95
chr8:111550797:111550952:-1	chr2:127068215:127068403:1	ENSE00003649971	ENSE00000963289	chr16:70556179:70556334:1	chr2:96290326:96290514:-1	0.92	0.87	0.895
chr8:111550797:111550952:-1	chr2:127059312:127059485:1	ENSE00003649971	ENSE00000963280	chr16:70556179:70556334:1	chr2:96297363:96297536:-1	0.92	0.93	0.925
chr8:111550797:111550952:-1	chr2:127059793:127059930:1	ENSE00003649971	ENSE00000963281	chr16:70556179:70556334:1	chr2:96296933:96297070:-1	0.92	0.91	0.915
chr8:111550007:111550150:-1	chr2:127064051:127064174:1	ENSE00003524970	ENSE00000963285	chr16:70556886:70557029:1	chr2:96292972:96293095:-1	0.9	0.94	0.9199999999999999
chr2:145768696:145768866:-1	chr8:3661394:3661584:-1	ENSE00003681278	ENSE00003664722	chr20:20043492:20043662:-1	chr19:7620846:7621036:-1	0.91	0.9	0.905
chr8:111552134:111552289:-1	chr2:127068215:127068403:1	ENSE00003632238	ENSE00000963289	chr16:70555051:70555206:1	chr2:96290326:96290514:-1	0.92	0.87	0.895
chr8:111552134:111552289:-1	chr2:127059312:127059485:1	ENSE00003632238	ENSE00000963280	chr16:70555051:70555206:1	chr2:96297363:96297536:-1	0.92	0.93	0.925
chr8:111552134:111552289:-1	chr2:127059793:127059930:1	ENSE00003632238	ENSE00000963281	chr16:70555051:70555206:1	chr2:96296933:96297070:-1	0.92	0.91	0.915
chr12:100079315:100079411:1	chr16:20480566:20480660:1	ENSE00003589928	ENSE00003566976	chr14:90260115:90260211:1	chr3:184307614:184307708:1	0.98	0.97	0.975
chr12:100079315:100079411:1	chr16:20480315:20480483:1	ENSE00003589928	ENSE00003555789	chr14:90260115:90260211:1	chr3:184307357:184307525:1	0.98	0.94	0.96
chr12:100079315:100079411:1	chr16:20479093:20479176:1	ENSE00003589928	ENSE00003615646	chr14:90260115:90260211:1	chr3:184306751:184306834:1	0.98	0.92	0.95
chr12:100079315:100079411:1	chr16:20478707:20478852:1	ENSE00003589928	ENSE00003530895	chr14:90260115:90260211:1	chr3:184306350:184306495:1	0.98	0.94	0.96
chr12:100079315:100079411:1	chr16:20481372:20481490:1	ENSE00003589928	ENSE00001179852	chr14:90260115:90260211:1	chr3:184308449:184308567:1	0.98	0.88	0.9299999999999999
chr10:58131910:58132061:1	chr7:100277611:100277664:1	ENSE00003461364	ENSE00001759909	chr2:108496970:108497109:1	chr11:73720846:73720899:-1	0.82	0.93	0.875
chr19:60765064:60765235:-1	chr15:51653389:51653509:-1	ENSE00000987845	ENSE00003785543	chr10:119065399:119065570:-1	chr8:116648806:116648926:-1	0.91	0.84	0.875
chr6:72314685:72314837:-1	chr2:127057969:127058121:1	ENSE00003543997	ENSE00000963239	chr2:85625539:85625691:1	chr2:96298815:96298967:-1	0.91	0.93	0.92
chr6:72314685:72314837:-1	chr2:127058533:127058669:1	ENSE00003543997	ENSE00001322562	chr2:85625539:85625691:1	chr2:96298284:96298420:-1	0.91	0.89	0.9
chr8:80414524:80414634:-1	chr5:115699158:115699304:1	ENSE00003568172	ENSE00003535345	chr4:145123021:145123131:1	chr12:120198854:120199000:-1	0.89	0.9	0.895
chr1:140016396:140016578:-1	chr17:57521676:57521835:-1	ENSE00003602895	ENSE00003559528	chr1:196745817:196745999:1	chr19:6692924:6693083:-1	0.81	0.9	0.855
chr1:140016396:140016578:-1		ENSE00003602895	ENSE00003539213	chr1:196745817:196745999:1	chr19:6690629:6690727:-1	0.81	0.0	0.405
chr1:140016396:140016578:-1		ENSE00003602895	ENSE00000858115	chr1:196745817:196745999:1	chr19:6686746:6686902:-1	0.81	0.0	0.405
chr10:58134486:58134687:1	chr7:100278873:100278978:1	ENSE00003594073	ENSE00001358762	chr2:108499553:108499754:1	chr11:73718785:73718890:-1	0.88	0.97	0.925
chr10:58134486:58134687:1	chr7:100275759:100275817:1	ENSE00003594073	ENSE00003622686	chr2:108499553:108499754:1	chr11:73730765:73730823:-1	0.88	0.95	0.915
chr10:58134486:58134687:1	chr7:100277611:100277664:1	ENSE00003594073	ENSE00001759909	chr2:108499553:108499754:1	chr11:73720846:73720899:-1	0.88	0.93	0.905
chr2:127440106:127440196:1	chr11:88096015:88096185:1	ENSE00001157988	ENSE00003553527	chr2:95104640:95104730:-1	chr17:57849240:57849410:-1	0.86	0.83	0.845
chr6:91494030:91494140:1	chr3:95742666:95742779:-1	ENSE00001132728	ENSE00003517533	chr3:14181560:14181670:1	chr1:150344434:150344547:1	0.93	0.96	0.9450000000000001
chr17:28648195:28648337:-1	chr4:148623185:148623367:1	ENSE00001391213	ENSE00001167844	chr6:35620132:35620274:-1	chr1:11127624:11127806:-1	0.87	0.95	0.9099999999999999
chr13:38232856:38232968:1	chr7:12659664:12659792:1	ENSE00003566872	ENSE00003892253	chr6:7402603:7402715:1	chr19:58393359:58393487:1	0.89	0.9	0.895
chr2:145767428:145767619:-1	chr8:3661394:3661584:-1	ENSE00003521184	ENSE00003664722	chr20:20042325:20042516:-1	chr19:7620846:7621036:-1	0.88	0.9	0.89
chr1:37934411:37934491:1	chr11:116029268:116029447:-1	ENSE00003705965	ENSE00003499490	chr2:99188177:99188257:1	chr17:75904540:75904719:-1	0.86	0.88	0.87
chr3:95742956:95743055:-1	chr19:5430248:5430369:-1	ENSE00003548538	ENSE00003590491	chr1:150344162:150344261:1	chr11:65978793:65978914:1	0.92	0.92	0.92
chr18:10626826:10627017:1	chr19:5430248:5430369:-1	ENSE00003666946	ENSE00003590491	chr18:21623748:21623939:1	chr11:65978793:65978914:1	0.94	0.92	0.9299999999999999
chr18:10626826:10627017:1	chr19:5431009:5431144:-1	ENSE00003666946	ENSE00001670851	chr18:21623748:21623939:1	chr11:65977764:65977899:1	0.94	0.88	0.9099999999999999
chr18:10626826:10627017:1	chr19:5430466:5430555:-1	ENSE00003666946	ENSE00003578323	chr18:21623748:21623939:1	chr11:65978600:65978689:1	0.94	0.93	0.935
chr3:137571281:137571394:1	chr3:95025536:95025688:1	ENSE00003686290	ENSE00003616902	chr4:99949273:99949386:-1	chr1:151185798:151185950:-1	0.95	0.92	0.935
chr3:137571772:137571901:1	chr3:95025536:95025688:1	ENSE00003643380	ENSE00003616902	chr4:99948811:99948940:-1	chr1:151185798:151185950:-1	0.93	0.92	0.925
chr13:14799788:14799845:1	chr11:30770916:30771073:1	ENSE00003580774	ENSE00003459173	chr7:42917778:42917835:-1	chr2:53920193:53920350:-1	0.93	0.89	0.91
chr13:14799788:14799845:1	chr11:80336068:80336139:1	ENSE00003580774	ENSE00003492106	chr7:42917778:42917835:-1	chr17:32464049:32464120:1	0.93	0.96	0.9450000000000001
chr14:45568287:45568384:1	chr2:61594181:61594251:1	ENSE00003567998	ENSE00001130731	chr14:52708309:52708388:1	chr2:161370107:161370177:1	0.78	0.92	0.8500000000000001
chr14:45568287:45568384:1	chr2:61591319:61591438:1	ENSE00003567998	ENSE00001130738	chr14:52708309:52708388:1	chr2:161367784:161367903:1	0.78	0.93	0.855
chr1:86003521:86003726:1	chr11:98581289:98581479:1	ENSE00003527206	ENSE00003496673	chr2:231066906:231067111:1	chr17:39989739:39989929:1	0.91	0.91	0.91
chr19:5435840:5435897:-1	chr9:20556702:20556789:1	ENSE00003492986	ENSE00003481251	chr11:65964074:65964131:1	chr19:9828592:9828675:1	0.88	0.78	0.8300000000000001
chr7:44806156:44806222:1	chr17:25324320:25324408:-1	ENSE00003633124	ENSE00003649154	chr19:49450782:49450848:-1	chr16:1502047:1502135:1	0.85	0.83	0.84
		ENSE00003612883	ENSE00001164204	chr19:49447338:49447467:-1	chr16:1501663:1501773:1	0.0	0.0	0.0
	chr17:25324320:25324408:-1	ENSE00003612883	ENSE00003649154	chr19:49447338:49447467:-1	chr16:1502047:1502135:1	0.0	0.83	0.415
chr7:44807865:44807926:1	chr17:25324320:25324408:-1	ENSE00003571964	ENSE00003649154	chr19:49448001:49448062:-1	chr16:1502047:1502135:1	0.89	0.83	0.86
chr2:181507739:181507826:1	chr14:70678477:70678601:-1	ENSE00001061797	ENSE00003588216	chr16:51558:51645:-1	chr8:22248154:22248278:1	0.9	0.9	0.9
chr2:181507739:181507826:1	chr14:70678744:70678895:-1	ENSE00001061797	ENSE00003509499	chr16:51558:51645:-1	chr8:22247857:22248008:1	0.9	0.83	0.865
chr11:94838709:94838816:1	chr1:71676411:71676554:-1	ENSE00000736834	ENSE00001146180	chr17:50189168:50189275:-1	chr2:215419242:215419385:-1	0.9	0.85	0.875
chr11:94838709:94838816:1	chr1:71677616:71677744:-1	ENSE00000736834	ENSE00001342442	chr17:50189168:50189275:-1	chr2:215420673:215420801:-1	0.9	0.88	0.89
chr11:106147674:106147745:1	chr1:86003521:86003726:1	ENSE00003758613	ENSE00003527206	chr17:63828138:63828209:1	chr2:231066906:231067111:1	0.94	0.91	0.925
chr12:100082958:100083054:1	chr16:20480566:20480660:1	ENSE00000659647	ENSE00003566976	chr14:90265070:90265166:1	chr3:184307614:184307708:1	0.87	0.97	0.9199999999999999
chr12:100082958:100083054:1	chr16:20480315:20480483:1	ENSE00000659647	ENSE00003555789	chr14:90265070:90265166:1	chr3:184307357:184307525:1	0.87	0.94	0.905
chr12:100082958:100083054:1	chr11:106152011:106152108:1	ENSE00000659647	ENSE00003538771	chr14:90265070:90265166:1	chr17:63829852:63829949:1	0.87	0.88	0.875
chr12:100082958:100083054:1	chr11:106152732:106152858:1	ENSE00000659647	ENSE00003494747	chr14:90265070:90265166:1	chr17:63830809:63830935:1	0.87	0.94	0.905
chr12:100082958:100083054:1	chr16:20479093:20479176:1	ENSE00000659647	ENSE00003615646	chr14:90265070:90265166:1	chr3:184306751:184306834:1	0.87	0.92	0.895
chr12:100082958:100083054:1	chr16:20478707:20478852:1	ENSE00000659647	ENSE00003530895	chr14:90265070:90265166:1	chr3:184306350:184306495:1	0.87	0.94	0.905
