human_uniprot	cattle_uniprot
Q9P2D8	G3N0G4
Q9H799	F1MRT7
Q5T011	F1N2Q8
O15050	G3MYJ1
Q9P273	A0A3Q1LVP8
Q8IWI9	E1BKB7
Q09666	A0A3Q1NE82
Q96L91	F1MLB1
Q8TD26	F1N734
Q86UK0	G5E556
Q9Y4G6	F1MQI1
P13611	P81282
A5YKK6	F1MHU9
Q9H254	E1BLT3
Q9HCE0	A0A3Q1LTM3
Q13085	A0A3Q1MUW1
Q5JWR5	A0A3Q1LX29
Q9Y490	A0A3Q1MLQ7
Q01082	F1MYC9
Q15652	F1N685
Q9P2P6	A0A3Q1MHC8
P25391	F1MEG3
P12111	E1BB91
P51587	E1B8X8
O60281	G3MYM4
O43451	G3N3S2
Q9HCK8	F1MLB2
Q9UMN6	E1BKN0
P01266	A0A3Q1M6P2
Q5S007	E1BPU0
Q3ZCN5	F1N5T7
O75165	F1MDR7
O00555	F1N1E0
O75443	F1MTV3
Q68DK2	A0A452DJ92
P02751	G5E5A9
O15417	A0A3Q1M3L3
O15020	E1BMN5
Q9Y520	G3X6B2
Q92793	F1MD32
Q8IWT3	E1BM39
P27708	F1MVC0
O95477	F1MG24
Q96JM2	F1MIB3
Q9Y6R7	G3X6I0
Q96RV3	F1MXC4
Q12830	A0A3Q1N3A3
Q9UMZ3	A0A3Q1M8J7
O43497	F1MR37
O00763	F1MSC3
Q07864	E1BIF0
Q71F56	F1N4I1
Q9BYW2	A0A3Q1MJ95
O75643	E1BH78
Q14667	E1BD97
Q8IVL1	A0A3Q1LR24
Q9UHV7	F1MYL8
P11717	P08169
Q8IVL0	E1BP55
P78363	F1MWM0
Q96N67	F1N3L7
Q9Y618	A0A3Q1MY21
Q92508	F1MD64
Q09472	E1B8D6
O75376	F1MGM4
P31629	E1B842
Q8N3C0	E1BNG3
Q15878	A0A3Q1LZY8
Q58EX2	F1MPT4
P49327	F1N647
Q96BY6	E1B7C4
Q5JSL3	G5E580
Q01668	F1MTK5
Q00975	G3X7Z2
Q13402	A0A3Q1LG56
Q96RL7	G3MY78
P08922	A0A3Q1MAM7
Q7Z333	A0A3Q1MN34
Q9C0A1	E1BD77
Q9P212	F1MTE8
Q96JI7	A0A3Q1M365
Q6UVK1	F1MY84
Q9P281	F1MM81
O75923	A6QQP7
Q5T1R4	F1MBK6
Q5TH69	A0A3Q1MQX5
Q05BV3	F1N7B8
Q86YW9	F1MPU1
O75417	E1BMC0
P42356	O02811
P42356	A0A140T888
Q8IVV2	A0A3Q1MRC9
Q8NF50	E1BNA6
Q96BY7	E1BH30
Q6ZMW3	A0A3Q1LJS2
Q9NSI6	F1MTQ0
Q8N1I0	A0A3Q1NNR4
P50748	E1BBQ0
Q9P2N4	E1BI72
Q8IZD9	A0A3Q1MT94
Q96HP0	E1BK77
Q93074	G3N1K4
Q99973	E1BB53
Q9NZM1	F1N3I4
Q92621	A0A3Q1N4S4
Q9P2D3	E1BB26
Q14008	E1B7K5
Q9NY15	E1BNJ1
O15018	A0A3Q1LH23
Q9H6A9	E1BCD5
P02549	F1MMQ8
P23471	F1MGK5
Q8NB66	E1BBX9
Q14789	E1BKZ5
Q14669	E1B7Q7
P78559	A0A3Q1M9Z4
Q9BZ29	F1MQ43
Q13023	F1N0Q2
Q6GYQ0	A0A3Q1LSV4
Q8WWQ8	F1MYW1
Q13332	A0A3Q1MZF8
Q8N201	E1B8S1
P11277	F1MKE9
A6NHR9	F6RF21
Q9HC10	E1BMQ1
Q9UQD0	A0A3Q1NE86
Q7Z442	F1MLH0
Q9H583	F1MDU9
P15924	E1BKT9
Q5H8C1	E1BN52
O43157	E1B7F6
Q8WYB5	A0A3Q1LU60
P23468	A0A3Q1M422
O75051	F1MIH8
Q99250	E1BHR8
P11532	A0A3Q1LWR2
Q9Y2I7	F1N2K7
Q0VDD8	F1MZU0
Q96N23	A0A3Q1N6F8
P35498	M0QW12
Q5JSZ5	E1BGB2
Q86XA9	E1BGU0
Q6WRI0	E1BAU3
Q9UPY3	F1MCQ5
P10586	A7MBJ4
Q6ZT12	A0A3Q1LX27
Q96PE2	E1BP14
O75970	F1MMT3
Q9H1A4	E1BAB6
Q9P0X4	A0A3Q1MMH5
Q8IUG5	E1BA80
Q68DE3	F1MBF2
O14497	A0A3Q1M2B9
Q86VV8	E1BG09
Q96QT4	F1MPF0
Q14997	A0A452DIY4
Q9UIW2	E1BFR4
P46100	F1MQ85
Q9Y6D6	E1BP90
O95425	O46385
A2RRP1	A0A3Q1MF39
Q15858	M0QVY7
P42694	F1MKC7
Q38SD2	F1N6C1
O60469	A0A3Q1MBH9
Q3T8J9	F1MP31
Q9Y6J0	G3X746
O60840	E1B9S9
Q9NR99	E1B882
O95180	A0A3Q1NAD2
Q14524	F1MHP0
P51805	F1N173
P46821	A0A3Q1MTY6
Q9C091	E1BHK3
Q8WYP5	A0A3Q1MMV9
P48634	E1BAF6
P00451	G5E5W1
P15822	A0A3Q1M1T1
P23467	E1BFE2
O95248	A0A3Q1M4Y7
Q8TD84	F1N4K6
A7E2V4	E1BCX3
Q13129	E1BAS5
Q86WG5	A0A3Q1M373
Q68DQ2	G3MZ11
Q92673	E1BPZ1
A4UGR9	E1BL04
Q9HD67	P79114
Q7Z5N4	F1MFI5
Q4ZG55	E1B8U3
Q12873	A0A3Q1M3Y2
Q14185	F1MIX6
O75147	E1BNH9
O60293	E1BIV7
Q92538	E1BMC4
Q12802	A0A3Q1LUW4
Q14686	E1BND5
Q12923	E1BKT4
Q14674	F1MW01
Q7Z401	E1BJE1
Q92608	A0A3Q1LWX5
O43166	F1MXV4
P21675	A0A3Q1MEP0
A6NKB5	A0A3Q1MEF6
O60287	F1MZA7
O15021	E1BH93
Q9H7D0	A0A3Q1MC59
Q6PIF6	F1MLR9
O00468	A0A3Q1LTY7
Q9Y6D5	A0A3Q1N0C8
Q13936	F1N5T3
Q8TEP8	A0A3Q1LJH6
Q5VZ89	A0A3Q1NBE4
Q8WUY3	F1MFL0
Q8N6G6	E1BK41
Q562E7	A0A3S5ZPK5
A3KMH1	F1MIM5
Q13459	E1BNV7
Q9NY46	E1B9G2
Q9ULI1	F1MNF4
Q5HYC2	A0A3Q1MR27
Q9UIF8	E1BNJ5
O95996	E1BI79
Q8TDI0	A0A3Q1M7P5
Q5VYK3	A0A3Q1LVD0
Q14839	F1N3F6
Q8IZF0	A0A3Q1LL71
Q16363	A0A3Q1N9E9
A7KAX9	F1N7Q8
Q8IWV8	E1BCW1
P58107	A0A3Q1LMV9
Q8IZD2	F1MFD2
Q8NDV7	G3N258
Q2TAZ0	F1N0I5
Q5UIP0	E1BCK1
Q92545	F1MH73
P09848	E1BK89
Q9P2S2	E1BFN9
O75179	F1MI56
Q00610	P49951
Q9P2E3	E1BN24
Q2WGJ9	E1BAY7
Q8IWV7	E1BIW0
Q9UGU0	A0A3Q1MEK0
Q5VU65	F1MNL6
Q12888	E1BDS6
P29375	A0A3Q1MZ57
Q8WWQ0	F1MPF7
Q7Z3U7	E1BPI7
Q9H1H9	A0A3Q1M245
Q5SRE5	F1N6B6
Q6R327	A0A3Q1LHF6
Q5VU43	A0A3Q1LKW4
P35556	F1MTZ4
Q9UPQ9	F1MY06
B2RTY4	G3MXE8
Q9Y4I1	F1MHT3
Q2KJY2	F1MNK8
Q8IZT6	F1MM80
Q9UPZ6	F1MLQ7
Q68CP9	A0A3Q1M6C3
Q6Q759	E1BA36
P49815	E1BNT2
Q9P2F8	E1BET1
Q2PPJ7	A0A3Q1M734
Q7LBC6	E1BE97
Q86U86	A0A3Q1LHD2
Q9HCD6	F1MSK0
Q92576	G5E5M1
Q69YN4	F1MX77
Q12789	E1BNY8
Q9Y5Y9	G3MYM1
Q12756	A0A3Q1NDJ2
Q7Z2Y8	G5E6A5
A8TX70	A0A3Q1LXW3
P35555	P98133
A0AVI2	F1MUK0
Q7Z5J4	A0A3Q1LXX6
Q9Y4D7	F1N4C5
Q7KZ85	A0A3Q1LVF3
Q6YHU6	A0A3Q1M1J5
Q5VUA4	F1MJN7
Q8NFC6	F1N2G1
Q02224	E1BG49
Q8TDM6	A0A3Q1LTK4
P14410	E1BGH5
Q9UIF9	F1N6I8
O94822	F1MTS8
Q6UB99	A0A3Q1MQ46
P51610	E1BGF3
O60292	A0A3Q1LK86
Q9Y566	G5E618
Q9Y4F3	A0A452DJ05
P07942	A0A3Q1MY30
Q5VW36	A0A3Q1MN26
Q5T5U3	F1MHG5
Q8TCU4	E1B958
P59510	E1B900
Q6W2J9	G3X8E4
Q70Z35	E1BDL7
Q9ULL4	E1B9T1
Q5VT25	A0A3Q1MC24
Q8IZH2	E1BMZ8
O60318	E1BJE7
Q6P0Q8	A0A3Q1MIM9
Q8TEM1	F1MPW7
P24928	G3MZY8
O00443	E1BE68
Q96Q42	F1MDF3
Q9H792	E1B8H0
Q96QU1	A0A3Q1MPW6
O14578	A0A3Q1LV55
Q8NFU7	F1MGK2
Q9UPW8	F1MK99
O00750	F1MBU9
P52948	E1BCV4
Q8NFA0	A0A3Q1MH43
Q9C0I4	F1MF39
O60522	E1BGM7
Q92794	E1BEB3
O43151	A0A3Q1NK48
O15031	A0A3Q1MUJ8
Q6N021	E1BD99
Q8TCU6	F1N1Q7
Q9P265	F1MLE1
Q9NQX4	F1MX93
Q9C0F0	G3N2D1
Q9Y3R5	E1BAK4
P35499	E1B9X0
O60241	E1B9M5
Q6PRD1	E1B9D3
Q8NFD5	A0A3Q1MXM3
Q7RTU9	A0A3Q1MJ91
O75140	F1MN63
O14795	A0A3Q1LZT1
Q9Y2E4	F1MKT7
Q15154	A0A3Q1LX22
Q9BXP8	E1BF00
Q99758	E1BCR1
Q9ULV0	F1MMQ6
A6NMZ7	F1MD40
Q9HBL0	A0A3Q1LRQ8
Q8IZJ3	E1BAA2
Q8WXG6	E1BK67
P49454	F1N1F8
P41229	F1MYV2
Q9P2P5	F1N645
Q149N8	E1BLB1
Q13219	A0A3Q1M7K2
Q14690	G5E5C4
Q5JV73	G3X6D0
O95602	E1BIX2
B5MCY1	A0A3Q1N2G4
P24821	F1MRZ6
Q8NI35	E1BLF1
O60449	E1BC77
Q8IYD8	A0A3Q1MT39
Q86V15	A0A3Q1NIA3
P16144	A0A3Q1MRM3
P35573	F1MHT1
Q5T5P2	A0A3Q1N716
Q14966	E1BJV5
P49750	E1BGC5
Q9P2P1	F1MX66
O14981	F1N507
Q09428	E1BKR6
Q9P2K8	E1BAL6
O14646	F1MGF2
Q9Y3S1	G3MXZ8
P55268	E1BDK6
Q15811	E1BKY4
Q13017	E1BM23
Q8TEU7	F1MS53
Q9H4A3	A0A3Q1MBK9
Q8N4C6	A0A3Q1NL90
Q9NQT8	E1BGB0
Q9Y4F4	A0A3Q1MHN2
Q9ULB1	Q28146
Q86X10	F1MCG4
Q8WZ64	F1MTN6
Q9UGL1	F1MUR2
Q9Y2H9	E1BK33
Q14999	E1BK00
P53804	E1BJI0
Q15262	F1MME1
O14514	G3X6K9
Q9Y6N7	F1N739
Q02880	F1MU48
Q9NRY4	E1B801
Q15643	A0A3Q1MQ84
P24043	A0A3Q1N3A0
Q7RTP6	G3MWR8
O95490	G3N1Y2
O60706	A0A3Q1LV78
Q6UB98	E1BKN6
Q9C0D2	F1N4A0
Q70EL1	A0A3Q1LZ05
Q96F81	A0A3Q1MC08
O15230	F1MC13
Q5H9F3	F1MML3
Q92729	F1MD22
Q13224	F1MCL3
O94910	O97831
Q9HCJ0	F1MLT5
P28827	A0A3Q1MU34
Q4KWH8	G3N3D6
Q8IVF5	A0A3Q1LXW7
Q7Z460	G3N2Y5
Q8NI27	F1N153
P12259	Q28107
Q96JN8	A0A3Q1N3E7
Q9HCM2	F1N2P7
Q9H2Y7	F1MC90
Q5SW79	A0A3Q1MEP1
Q5TGY3	E1BE19
Q9UBG0	A0A3Q1M5H7
P31327	F1ML89
Q6RI45	F1N1C9
Q9BYP7	G3X788
Q9NTG1	A0A3Q1LH85
Q86UR5	F1N7B7
Q9HAR2	O97827
P07814	A0A3Q1MKR2
Q5VV63	A0A3Q1MBM5
Q9UKP4	A0A3Q1MX27
Q7Z6E9	E1BCZ2
Q9Y6X0	F1MHB3
P46940	F1MC48
O60306	A0A3Q1MP16
O43432	A0A3Q1M8U3
Q04637	F1MX04
Q13698	A0A3Q1MHG1
Q5VZL5	F1MHR5
Q2KHR3	A0A3Q1MMY4
Q9NRD9	E1BMK1
Q9BYB0	G3X7B4
Q7Z4S6	F1MJ53
P55196	A0A3Q1LN46
Q9Y4E6	E1BEC1
Q8NG31	A0A3Q1M302
Q9NZN5	A0A3Q1MN47
Q6PGP7	E1B885
Q10570	Q10569
O75064	F1N377
Q9Y4B4	E1BEK4
Q5TAX3	F1MCY7
Q8NEV4	E1BP01
Q9Y4B6	E1BDV4
P82987	E1BCW5
P58397	F1MXQ0
P01031	F1MY85
P33527	Q8HXQ5
Q9Y5S2	E1BP72
O60486	A0A3Q1N8R0
Q9ULI0	F1MEY1
Q6ZWJ8	G3MZ24
P08069	G1K218
Q92817	E1B9N6
O60244	G3X6Y3
Q9Y6R4	A0A3Q1LSJ2
O75037	A0A3Q1M0P4
O15027	F1N6K7
Q8IVE3	F1MH50
P0C0L4	E1BH06
Q8WWZ7	E1BKP0
Q9BZ95	E1BNH7
Q8TF72	A0A3Q1MAR1
M0R2J8	A0A3Q1N149
Q4ADV7	F1MKR0
Q9Y4G8	F1MSG6
O60437	F1N2K8
Q05707	E1BA17
Q86VI3	A6H7H0
P11388	F1MDU7
O14522	A0A3Q1MJB0
Q9Y2L5	A0A3Q1N5L8
O00512	E1BPF3
Q15596	E1BPY4
Q15788	G3N0C2
Q15648	E1B7Q6
Q9ULK4	E1BKW3
Q9NRJ4	A0A3Q1M5W3
Q13635	G3N1D5
D6RIA3	G3MXS3
Q9UKL3	E1BLU4
P11137	F1MEW3
P56715	F1N1W1
Q92859	F1MNL4
Q92547	A0A3Q1LWE4
P52179	F1MME6
Q13395	F1N6T6
O75581	F1MDE1
Q86VF7	A0A3Q1M8J5
Q9UIG0	E1B6X6
Q86UU0	A0A3Q1M6V2
P06213	F1MV64
Q04656	G3X6T7
Q6T4R5	F1MWH1
O75882	A0A3S5ZP40
O14802	A4IF62
Q9UKA4	F1N388
O95359	A0A3Q1M526
Q9C0D5	A0A3Q1M7Z4
O15440	F1MZD4
O15054	G3N346
Q9H6S0	F1MNU7
P51532	A7Z019
Q14202	E1BKM9
Q86UW6	E1BIJ5
Q9ULH0	E1BMF4
Q14C86	A5D794
Q8N1W1	A0A3Q1LKT3
P78357	F1MJQ2
Q9P267	A0A3Q1LKK5
Q9BXT5	F1MGY6
Q9Y4K1	A0A3Q1MCW7
Q8TER5	F1MB21
Q7Z745	E1BM47
Q96QB1	F1MIZ6
P26358	Q24K09
P26358	A0A452DII9
Q13018	P49259
Q9Y238	E1BIA4
O43426	A0A3Q1MD64
P43146	A0A3Q1MC37
P35658	F1MH31
Q9BZZ2	E1BGL8
Q8NDM7	E1BMD1
Q8WWN8	E1BBA0
Q76N89	F1N0L0
Q9P2K1	G3MZR0
O75694	A0A3Q1M9F3
Q99570	A6QLW1
P13569	F1MN01
P10071	F1N215
Q9NRD8	E1BMS3
P22897	F1MWM8
Q5TCQ9	E1BM96
O94851	F1MF74
Q9C093	V9VJQ3
Q86YA3	E1BPG1
Q96K76	A0A3Q1NK97
Q8N7X0	G3MXR8
Q13576	F1MTR1
Q6XZF7	E1BIL8
P11047	F1MD77
Q8N122	F1MG06
Q9NRL2	E1BN25
Q12769	F1MZR0
Q8WUJ3	E1BKX1
Q5QGS0	E1BF32
O15550	G3N2E9
Q8TEQ6	E1BJG3
Q13233	E1B847
Q29RF7	E1BKG4
Q9P2D6	A0A3Q1LNS9
Q9ULD9	F1N312
Q9HCM3	F1MKV4
Q8N2Y8	A2VDZ8
P54296	E1BF23
Q9P219	E1BCQ3
Q7Z2Z1	E1BPF2
O14525	F1MLR3
Q9ULG1	A0A3Q1N8M5
O14513	A0A3Q1LL12
P09884	E1BJF4
A2VDJ0	Q08DV9
Q9H2M9	G5E601
P01024	Q2UVX4
O75197	F1N1K8
Q13439	A0A3Q1MPM7
O95405	F1MKY4
O95785	A0A3Q1MA84
Q9H5I5	F1N2A6
P08581	Q769I5
P08581	Z4YHD9
Q9NTI5	F1N7G8
Q12767	A0A3Q1LU14
Q5VWN6	A0A3Q1MSM3
Q75N90	A0A3Q1LKJ4
Q9Y493	E1BNL3
Q96QE3	E1BCE1
Q9P227	G5E6T2
O15438	F1N3Y6
A6NES4	F1MZK6
O60242	A0A3Q1MHE7
P29475	A0A3Q1M6M2
Q02817	A0A3Q1M2T0
Q8NEY1	G5E5S5
Q149M9	F1MCC8
Q9C0A6	G3N2I7
P19174	F1MYF9
P51531	A5PKK5
O15014	E1B9Q8
Q9UPX0	A0A3Q1MJ10
Q14689	A0A3Q1NMY7
O75976	E1BLR9
Q99683	F1MXH6
O95613	A0A3Q1M9D8
Q9UHN6	F1MNY2
Q3V6T2	A0A3Q1LRJ9
Q92887	F1MIP7
Q6IQ26	A0A3Q1MUN3
Q6BDS2	F1MCM3
Q7Z3T8	E1BEG4
Q4AC94	F1MPW9
P35968	F1MWF1
Q07890	F1N1J9
Q13029	A0A3Q1M9T9
Q9P2K9	G3N0I7
Q5JRA6	Q0VC16
O14529	F1MT17
Q9UK61	F1N2G9
Q9Y4B5	A0A3Q1MSA9
O94964	E1BLI8
Q9UI33	E1BHM6
Q12879	A0A3Q1MCB0
Q5T3U5	E1BNL1
Q9ULL5	F1MSK1
Q96F07	F1MX60
Q13464	F1MF50
Q9NYU2	E1B9R3
Q8NDA8	A7E2Y6
Q07889	F1N7C3
O75153	A0A3Q1LJJ5
Q9UHF7	E1BBB8
Q8TDY2	E1BH45
O75129	A0A3Q1MSJ7
Q86US8	E1BFK4
Q7L576	E1BN47
Q9UM73	A0A3Q1MKW9
Q2KHR2	E1BFW7
Q9Y4C1	E1BFC2
A0JNW5	F1N099
Q7Z478	E1B9N7
Q8NEZ3	E1B7Q4
Q8IY17	E1BMJ5
O75116	Q28021
Q5VU97	F1N4N7
O60336	E1BCH1
A7MBM2	F1MS67
Q9H3S7	E1BIU7
Q6ZUT9	F1MQ87
Q8N9V7	G7H7V7
Q9Y6Q9	F1MVD0
Q460N5	F1ML90
Q5VT52	E1BK49
P46934	F1MJ10
Q9P241	A0A3Q1MCF3
P14616	F1MC23
Q8NHM5	E1BLZ5
O75533	F1MX61
Q5VYS8	A0A3Q1MQL4
O94856	A0A3Q1LMZ3
A3KN83	E1BMP8
Q6ZT07	F1MS95
Q96RK0	G3MX46
P38398	F1MYX8
Q2M3C7	F1MZL5
Q96P48	A0A3Q1M4A0
Q9UBW7	F1MNA8
Q5T890	G5E5P9
Q5T890	A3KMX0
P21860	A6QR62
O15056	F1N1U1
Q9BTC0	E1BCR2
Q9Y2I1	F1N322
O60503	E1BM79
Q8WZ74	A0A3Q1LT16
Q9ULU8	Q1KZG5
Q9NRR4	A0A3Q1MXH2
P29144	A5PK39
O75747	E1B8D1
Q92628	E1B9H2
P47989	P80457
Q6DT37	A0A3Q1MA37
Q5SYB0	G3MZZ8
Q8IUA7	F1MYN4
Q86UW7	A0A3Q1ME52
Q92824	A0A3Q1MCD7
O94823	E1BNB9
Q9H582	A0A3Q1LY01
Q15047	E1BKH5
Q8TEK3	A0A3Q1LX03
Q4ZHG4	E1BI51
Q01118	F1N4W9
P23470	G3MXS7
O15067	F1N4K1
O15399	F1MR40
O94913	F1MU45
Q9BZ72	A0A3Q1MUM3
Q9P2D0	F1MMV0
O15078	Q9TU23
O95255	A0A3Q1LZ85
P04626	F1MCQ7
Q15393	A0JN52
Q96AY4	F1MF87
O14841	Q75WB5
Q04721	A0A3Q1MTU2
O75096	Q00KA9
Q9UPT6	M5FMW2
Q13972	E1BM01
P16885	A0A3Q1MMD9
O94986	A0A3Q1NCH3
Q6P2E9	A0A3Q1M752
Q9Y6N6	F1N0T1
Q9UPX8	A0A3Q1LRW9
O15085	A0A3Q1LNE2
Q8ND23	E1BMH2
Q5T5Y3	F1MYW2
Q9NYV4	G5E518
Q63HR2	A0A3Q1MBB1
A2PYH4	F1MFR1
Q5XPI4	E1BL26
Q9ULM3	A7Z088
Q96MS0	E1BE71
P39880	A0A3Q1MH77
O15015	A0A3Q1MM89
Q06278	P48034
Q96PV0	F1MBI8
Q9NYU1	F1MSL9
O96028	F1MMY4
Q00341	A0A3Q1MUD4
Q07157	F1N2D3
Q86TC9	F1N0L9
Q8N3U4	G3X6R3
O43314	A0A3Q1M2A3
Q8WYK1	A0A3Q1NER4
Q8NEV8	F1MGW8
P52701	E1B9Q4
Q96ST3	F1MTR3
P26640	E1BLV6
P98198	A0A3Q1M082
Q9NZM4	F1MRI4
Q504Q3	E1BML0
Q9C0A0	G5E5W4
Q6PFW1	A7Z050
P35916	F1MHP5
Q96QZ7	A0A3Q1MD62
Q92626	A0A3Q1LMN6
Q9ULI4	G3N1E4
O60303	A0A3Q1M2E3
Q14766	F1N444
Q5VZK9	A0A3Q1NEH7
O75122	E1BQ15
P41252	A7MBC5
Q9BZH6	A6QLS8
Q6P158	F1N1A2
Q96RY7	E1B860
Q9ULM0	E1BF01
Q15303	A0A3Q1MKB4
P40145	E1BQ12
Q96SN8	F1MGF7
Q08AD1	G5E5A1
Q53EP0	F1MPN0
O14827	A0A3Q1MD11
Q92797	E1BJF6
Q68CZ2	A0A3Q1LWU4
P30876	A5PJW8
Q8IWK6	F1MK80
Q14767	F1MF86
Q5VTT5	A0A3Q1M9Y6
Q9UKP5	E1BK03
O95155	A0A3Q1LPU1
Q6ZU64	F1MI34
O60343	E1BPA1
Q96NW7	A0A3Q1MGB1
Q3B7T1	E1BCZ3
O15047	E1BLX2
Q6YHK3	A0A3Q1LI93
Q86TB3	A0A3Q1LV54
Q8TEW0	A0A3Q1M590
Q92752	E1BKN2
Q9Y2K2	F1MXE2
P12821	F1MQJ0
Q86VP6	A7MBJ5
O43520	E1BPC3
Q03468	E1BFL2
Q15477	E1BMS0
Q7Z4L5	A7MB60
P20020	A0A3Q1ND98
Q2M1Z3	F1MCL8
Q76I76	A0A3Q1MWQ3
O15072	E1BC50
Q9UM54	E1BPK6
Q6ZQQ6	E1BEW9
O00562	E1B9I9
O95342	E1BGI0
Q8WWI1	A0A3Q1LFJ4
Q9Y4F5	G3X6H0
O15118	A0A3Q1LT67
Q7Z2Y5	A0A3Q1LI24
P29474	A0A3Q1LSD1
O60307	A0A3Q1M4R9
Q9HCE3	F1MSS8
P48553	A0A3Q1M4U3
O60312	F1MZ89
O95163	E1BBQ3
Q15155	F1MF76
Q99707	A0A3Q1M346
Q9HCF6	F1MQI6
Q8TE60	E1B8S3
P46019	A0A3Q1N3K8
Q9UPU3	E1BNA4
Q9C0C7	F1MPW0
Q14004	E1BB52
Q96JH7	E1BCH9
Q6ZV73	F1MQ30
Q6PIJ6	E1BPZ7
Q6AHZ1	E1BG18
O60271	A0A3Q1NAH5
Q9BXW9	E1BE83
Q2M389	G5E600
Q9Y6X6	F1MCA3
O95450	P79331
Q16827	F1N008
O95622	E1BHU9
P35670	F1MKI1
Q9BVV6	F1MHS0
P55201	E1BPS1
P17948	F1MDD9
Q8N4C8	A0A3Q1LTG4
Q7Z3K3	E1BPS7
P11498	Q29RK2
Q16720	F1MS16
Q5JTH9	A0A3Q1M070
Q9Y2K7	F1N735
Q8IVF2	A0A3Q1LV73
Q04912	E1BCZ6
Q86Z02	E1BQ34
Q8TE59	F1N303
Q9Y2Q0	A0A3Q1LQ26
Q8IZU8	F1ME12
Q14CM0	A0A3Q1MR48
Q92823	A0A3Q1MBI4
Q9NRP7	E1B793
Q96J65	E1BM99
Q9P2R6	F1MGR3
Q8WXR4	A0A3Q1M4N6
O95789	A0A3Q1LKZ2
Q9H0H0	E1BJI9
O94759	A0A3Q1M893
P01023	Q7SIH1
Q9NW08	E1BPX6
Q9UPS6	F1N6Y5
