Gene stable ID	UniProtKB/TrEMBL ID	UniProtKB/Swiss-Prot ID
ENSBTAG00000020996	A0A3Q1N9J7	
ENSBTAG00000020997	E1BCM8	
ENSBTAG00000003746	A0AAA9SI14	
ENSBTAG00000020997	E1BCM8	
ENSBTAG00000004124	A0AAA9TZ69	
ENSBTAG00000003746	F1MV74	
ENSBTAG00000004124	E1BKY9	
ENSBTAG00000004124	A0AAA9RZR6	
ENSBTAG00000003746	A0AAA9RY23	
ENSBTAG00000003746	A0AAA9SDZ8	
ENSBTAG00000013662	A7E303	
ENSBTAG00000003746	A0AAA9TLA7	
ENSBTAG00000013663	A0AAA9TQC5	
ENSBTAG00000003746	A0AAA9RZW0	
ENSBTAG00000013663	A0A3Q1MYD1	
ENSBTAG00000003746	A0AAA9S3B8	
ENSBTAG00000013663	A0AAA9SAG7	
ENSBTAG00000013663	A0AAA9SUG0	
ENSBTAG00000013663	A0A452DIN7	
ENSBTAG00000002910	G3N0L3	
ENSBTAG00000002910	A0A3Q1NMV9	
ENSBTAG00000002910	A0A452DIJ4	
ENSBTAG00000013664	F1MJB0	
ENSBTAG00000013667		Q2T9P5
ENSBTAG00000026032	F1MVD5	
ENSBTAG00000017571	A0A3Q1MKS3	
ENSBTAG00000026032	A0AAA9TLA3	
ENSBTAG00000019680	A0AAA9SAK5	
ENSBTAG00000019680	A7MB67	
ENSBTAG00000062331	A0AAA9TD90	
ENSBTAG00000039540	A6QQ54	
ENSBTAG00000015010	A0AAA9TRC8	
ENSBTAG00000015010	A0AAA9TL51	
ENSBTAG00000015010	F1MU30	
ENSBTAG00000015010	A0AAA9T4H4	
ENSBTAG00000015010	A0AAA9SG84	
ENSBTAG00000000736	A0A3Q1LV11	
ENSBTAG00000000736	A0A3Q1LXD8	
ENSBTAG00000004471		Q6H8M7
ENSBTAG00000004471	A0A3Q1LVL5	
ENSBTAG00000004471	A0AAF6ZZ52	
ENSBTAG00000000736	F6PYA5	
ENSBTAG00000014889	E1BCT6	
ENSBTAG00000000736	A0A3Q1M217	
ENSBTAG00000000736	A1A3Z1	
ENSBTAG00000014889	A0AAA9TU53	
ENSBTAG00000000736	A0A3Q1LQW3	
ENSBTAG00000000736	A0AAA9T813	
ENSBTAG00000004833	A0A3Q1LJX0	
ENSBTAG00000000736	A0AAA9S4N4	
ENSBTAG00000004833	A0A3Q1N1V2	
ENSBTAG00000004833	F1MJ59	
ENSBTAG00000003485	A0A452DHY5	Q3ZBV3
ENSBTAG00000004833	A0AAA9RVT8	
ENSBTAG00000003485	A0AAA9T9B8	
ENSBTAG00000014302	Q08E34	
ENSBTAG00000003484	A0A3Q1LX93	
ENSBTAG00000003484	F1N0N6	
ENSBTAG00000034442		
ENSBTAG00000014649	A0AAA9TSV1	
ENSBTAG00000014649	A0AAA9T4Y7	
ENSBTAG00000034442	A0AAA9TK01	
ENSBTAG00000034442	A0AAA9TQ98	
ENSBTAG00000034442	A0AAA9TXK3	
ENSBTAG00000014649	A0AAA9S9B1	
ENSBTAG00000014649	F1N1M7	
ENSBTAG00000034442	A0AAA9RWC3	
ENSBTAG00000034442	A0A3Q1MJS4	
ENSBTAG00000012516	F1MUT8	
ENSBTAG00000044107	E1B7V3	
ENSBTAG00000013321	A0A3S5ZPV9	
ENSBTAG00000013321	A0AAA9SW43	
ENSBTAG00000018281	A0AAF6Z5G1	
ENSBTAG00000018281	A0AAA9RVQ8	
ENSBTAG00000004459	A0A3Q1LLC6	
ENSBTAG00000004459	A0AAA9S5M9	
ENSBTAG00000004459	A0AAA9SMT4	
ENSBTAG00000004459	A0AAA9T2I8	
ENSBTAG00000004459	A0A3Q1LMS3	
ENSBTAG00000004459	F1MAV7	
ENSBTAG00000012140	A0AAA9SUL1	
ENSBTAG00000012140	A0AAA9SS11	
ENSBTAG00000012140	A0AAA9TUQ8	
ENSBTAG00000036282		A5PJN1
ENSBTAG00000012140	A4IFD4	
ENSBTAG00000002721	A0A3Q1M2S8	
ENSBTAG00000051566	A0A3Q1MC31	
ENSBTAG00000008382	E1BDD1	
ENSBTAG00000002720	A0A3Q1N636	
ENSBTAG00000002720		Q0P5I6
ENSBTAG00000016363	A0A3Q1LS09	
ENSBTAG00000002888	A0AAA9TWJ8	
ENSBTAG00000002888	A0AAA9T994	
ENSBTAG00000016363	A0A3Q1LKM6	
ENSBTAG00000002888	G3MY32	
ENSBTAG00000002719	A0A140T8C7	
ENSBTAG00000002888	A0AAA9TWW6	
ENSBTAG00000002719	A0AAA9SV06	
ENSBTAG00000016363	Q3SX36	
ENSBTAG00000016363	A0AAF6DME6	
ENSBTAG00000002888	A0AAA9SZI4	
ENSBTAG00000002719	A0AAA9TWB3	
ENSBTAG00000002888	A0AAA9SIE4	
ENSBTAG00000026966	E1B705	
ENSBTAG00000026966	E1B705	
ENSBTAG00000026836	A0AAA9SBL0	
ENSBTAG00000016990	A0A3Q1M1T8	
ENSBTAG00000005305		P01156
ENSBTAG00000005305	A0AAA9RWG9	
ENSBTAG00000015662	E1BBU2	
ENSBTAG00000016990	A0A3Q1LYF8	
ENSBTAG00000011153	E1BNB2	
ENSBTAG00000015662	A0AAA9S600	
ENSBTAG00000014765	A0A3Q1M2F6	
ENSBTAG00000016990	E1BND0	
ENSBTAG00000072048		
ENSBTAG00000014003		Q7YS80
ENSBTAG00000070867		
ENSBTAG00000014003	A0A3Q1MBU6	
ENSBTAG00000070867		
ENSBTAG00000004688	A6QR14	
ENSBTAG00000026972		P17667
ENSBTAG00000004688		
ENSBTAG00000011367	A0AAA9T018	
ENSBTAG00000004688		
ENSBTAG00000011367	A0AAF7ABI9	
ENSBTAG00000011367		Q32LM6
ENSBTAG00000004688	A0A3Q1M7E0	
ENSBTAG00000020784	A0AAA9SHN2	
ENSBTAG00000017145	F1MEN5	
ENSBTAG00000055903	A0AAA9T877	
ENSBTAG00000055903	A0AAA9T877	
ENSBTAG00000017132	A5D7C7	
ENSBTAG00000018694	A0AAF6ZW34	
ENSBTAG00000015931	A0A3Q1MJG1	
ENSBTAG00000018694		A7MB45
ENSBTAG00000015931	A0A3Q1LQV4	
ENSBTAG00000018694	A0AAA9TD14	
ENSBTAG00000015931	A0AAF6DLN2	
ENSBTAG00000044141	F1MME7	
ENSBTAG00000016932	A0AAA9T1R5	
ENSBTAG00000019801	A0A3Q1LZY6	
ENSBTAG00000019801	F1N3E9	
ENSBTAG00000016932		A7MBJ2
ENSBTAG00000016932	A0A3Q1MCM0	
ENSBTAG00000039686	A0A3Q1M171	
ENSBTAG00000016932	A0AAA9TK90	
ENSBTAG00000039686	A0A3Q1LTN7	
ENSBTAG00000016932	A0A3Q1MLS2	
ENSBTAG00000039686	A0A3Q1LR85	
ENSBTAG00000016932	A0A3Q1M8K3	
ENSBTAG00000039686	A0A3Q1LYD2	
ENSBTAG00000024027	A0A452DJ37	Q2KI45
ENSBTAG00000024027		Q2KI45
ENSBTAG00000015069		
ENSBTAG00000015069	A0A452DIL1	
ENSBTAG00000015069		
ENSBTAG00000000074	A0A3Q1MY20	
ENSBTAG00000000074	A0AAA9T9F8	
ENSBTAG00000013460	E1BBI5	
ENSBTAG00000000074	A0AAA9U162	
ENSBTAG00000013460	A0AAA9S0W7	
ENSBTAG00000000074	A0A3Q1M3A7	
ENSBTAG00000000074	A0A3Q1NFV6	
ENSBTAG00000013461	A0AAA9SMB3	
ENSBTAG00000000074	A0AAA9S3U3	
ENSBTAG00000013461	A0AAA9RZH1	
ENSBTAG00000000074	A0A3Q1LM06	
ENSBTAG00000000074	F6QM28	
ENSBTAG00000013461	A0AAA9TJY5	
ENSBTAG00000068635		O77627
ENSBTAG00000013461		Q862I1
ENSBTAG00000068635		O77627
ENSBTAG00000074765	F1MTI6	
ENSBTAG00000074765	A0AAA9SWA0	
ENSBTAG00000013464	A0AAA9T0P8	
ENSBTAG00000009481	E1BCG0	
ENSBTAG00000009481	A0AAA9THF9	
ENSBTAG00000013464	A0AAA9SI69	
ENSBTAG00000013464	A0AAA9U108	
ENSBTAG00000051030	A0A3Q1LZ28	
ENSBTAG00000013464	E1BBI2	
ENSBTAG00000030671	E1BAT1	
ENSBTAG00000013464	A0AAA9S7J0	
ENSBTAG00000030671	A0A3Q1M428	
ENSBTAG00000017161	A0AAA9TYY5	
ENSBTAG00000013465	A0A452DJE1	
ENSBTAG00000017161	A0AAA9S5K5	
ENSBTAG00000013465	A0AAA9SZ00	
ENSBTAG00000017161	A0AAA9RYQ4	
ENSBTAG00000017161	Q2KI73	
ENSBTAG00000017161	A0AAA9SF06	
ENSBTAG00000017161		
ENSBTAG00000013465	A0AAA9TZT8	
ENSBTAG00000017161	A0AAA9SYC0	
ENSBTAG00000013465		
ENSBTAG00000013465		A2VDP6
ENSBTAG00000030669	A0AAA9SHH8	
ENSBTAG00000048517	A0AAA9T6Z8	
ENSBTAG00000030669	A0A3Q1MC57	
ENSBTAG00000030669	A0AAA9TU75	
ENSBTAG00000030669	A0A3Q1MSJ8	
ENSBTAG00000030669	A0AAA9TQQ4	
ENSBTAG00000030669	E1BNF8	
ENSBTAG00000009769	A0A3Q1LU75	
ENSBTAG00000010987	M5AKL7	Q9BE45
ENSBTAG00000010987	A0AAA9TSY6	
ENSBTAG00000000088	A0A3Q1NA28	
ENSBTAG00000000088	F1MHN8	
ENSBTAG00000013057	F1N510	
ENSBTAG00000013057	A0A3Q1LZ97	
ENSBTAG00000013057	G3N0D7	
ENSBTAG00000003036	E1BND7	
ENSBTAG00000003666	F1MUS3	
ENSBTAG00000003036	A0A3Q1NMT2	
ENSBTAG00000010091	A0AAA9STW2	Q0IIM2
ENSBTAG00000073969		Q3SZ31
ENSBTAG00000013078	F1N724	
