hsa	ocu
hsa0000000365	ocu0000067874
hsa0000000368	ocu0000067876
hsa0000000369	ocu0000067877
hsa0000000370	ocu0000067878
hsa0000000376	ocu0000068512
hsa0000000384	ocu0000068518
hsa0000000391	ocu0000060267
hsa0000000393	ocu0000061897
hsa0000000394	ocu0000061898
hsa0000000396	ocu0000061900
hsa0000000406	ocu0000168164
hsa0000000409	ocu0000168157
hsa0000000411	ocu0000168158
hsa0000000412	ocu0000168159
hsa0000000415	ocu0000168162
hsa0000000435	ocu0000074419
hsa0000000437	ocu0000074422
hsa0000000438	ocu0000074423
hsa0000000439	ocu0000074424
hsa0000000445	ocu0000074430
hsa0000000447	ocu0000074431
hsa0000000449	ocu0000074433
hsa0000000450	ocu0000074434
hsa0000000453	ocu0000074437
hsa0000000456	ocu0000074440
hsa0000000457	ocu0000074441
hsa0000000462	ocu0000074444
hsa0000000465	ocu0000074447
hsa0000000471	ocu0000063405
hsa0000000473	ocu0000063407
hsa0000000477	ocu0000063408
hsa0000000478	ocu0000063409
hsa0000000479	ocu0000063410
hsa0000000481	ocu0000063412
hsa0000000482	ocu0000063413
hsa0000000484	ocu0000063415
hsa0000000485	ocu0000063416
hsa0000000486	ocu0000063417
hsa0000000487	ocu0000063418
hsa0000000492	ocu0000063423
hsa0000000493	ocu0000063423
hsa0000000495	ocu0000063425
hsa0000000496	ocu0000063426
hsa0000000497	ocu0000063427
hsa0000000498	ocu0000063428
hsa0000000499	ocu0000063429
hsa0000000501	ocu0000063431
hsa0000000502	ocu0000063432
hsa0000000502	ocu0000063431
hsa0000000503	ocu0000063433
hsa0000000507	ocu0000157553
hsa0000000508	ocu0000157554
hsa0000000509	ocu0000157555
hsa0000000510	ocu0000157556
hsa0000000511	ocu0000157557
hsa0000000513	ocu0000157559
hsa0000000514	ocu0000157560
hsa0000000516	ocu0000157562
hsa0000000517	ocu0000157563
hsa0000000519	ocu0000157565
hsa0000000520	ocu0000157566
hsa0000000521	ocu0000157567
hsa0000000522	ocu0000157568
hsa0000000524	ocu0000156897
hsa0000000525	ocu0000156898
hsa0000000528	ocu0000070437
hsa0000000529	ocu0000070438
hsa0000000530	ocu0000070439
hsa0000000531	ocu0000070440
hsa0000000532	ocu0000070441
hsa0000000533	ocu0000070442
hsa0000000534	ocu0000070443
hsa0000000536	ocu0000070445
hsa0000000537	ocu0000070446
hsa0000000539	ocu0000070448
hsa0000000540	ocu0000070448
hsa0000000550	ocu0000157194
hsa0000000551	ocu0000157195
hsa0000000552	ocu0000157196
hsa0000000556	ocu0000072092
hsa0000000557	ocu0000072094
hsa0000000558	ocu0000072095
hsa0000000559	ocu0000072096
hsa0000000561	ocu0000072098
hsa0000000563	ocu0000157343
hsa0000000564	ocu0000157344
hsa0000000566	ocu0000157346
hsa0000000567	ocu0000157347
hsa0000000568	ocu0000157348
hsa0000000569	ocu0000157349
hsa0000000570	ocu0000157350
hsa0000000571	ocu0000157351
hsa0000000572	ocu0000157352
hsa0000000573	ocu0000157353
hsa0000000574	ocu0000157354
hsa0000000575	ocu0000157355
hsa0000000576	ocu0000157356
hsa0000000578	ocu0000157357
hsa0000000580	ocu0000060888
hsa0000000583	ocu0000060891
hsa0000000588	ocu0000188929
hsa0000000590	ocu0000188931
hsa0000000591	ocu0000188932
hsa0000000598	ocu0000188939
hsa0000000599	ocu0000157596
hsa0000000600	ocu0000157597
hsa0000000601	ocu0000157598
hsa0000000602	ocu0000157599
hsa0000000626	ocu0000188920
hsa0000000627	ocu0000188921
hsa0000000630	ocu0000188924
hsa0000000652	ocu0000067660
hsa0000000653	ocu0000067660
hsa0000000655	ocu0000067662
hsa0000000660	ocu0000070402
hsa0000000661	ocu0000070402
hsa0000000663	ocu0000070403
hsa0000000668	ocu0000157637
hsa0000000669	ocu0000157639
hsa0000000670	ocu0000157640
hsa0000000672	ocu0000157641
hsa0000000673	ocu0000157642
hsa0000000675	ocu0000157643
hsa0000000676	ocu0000157644
hsa0000000677	ocu0000157645
hsa0000000678	ocu0000157646
hsa0000000679	ocu0000157647
hsa0000000680	ocu0000157648
hsa0000000681	ocu0000157649
hsa0000000682	ocu0000157650
hsa0000000683	ocu0000157651
hsa0000000684	ocu0000157652
hsa0000000685	ocu0000157653
hsa0000000687	ocu0000157655
hsa0000000688	ocu0000157656
hsa0000000689	ocu0000157656
hsa0000000690	ocu0000157657
hsa0000000692	ocu0000157659
hsa0000000693	ocu0000157660
hsa0000000694	ocu0000157661
hsa0000000696	ocu0000157663
hsa0000000697	ocu0000157664
hsa0000000698	ocu0000157665
hsa0000000700	ocu0000157668
hsa0000000701	ocu0000157595
hsa0000000704	ocu0000073670
hsa0000000705	ocu0000073671
hsa0000000707	ocu0000073673
hsa0000000708	ocu0000073674
hsa0000000710	ocu0000073676
hsa0000000711	ocu0000073677
hsa0000000723	ocu0000157576
hsa0000000724	ocu0000157577
hsa0000000725	ocu0000157578
hsa0000000730	ocu0000157582
hsa0000000731	ocu0000157583
hsa0000000732	ocu0000157584
hsa0000000735	ocu0000157587
hsa0000000736	ocu0000157588
hsa0000000737	ocu0000157589
hsa0000000738	ocu0000157590
hsa0000000739	ocu0000157591
hsa0000000741	ocu0000157593
hsa0000000744	ocu0000157153
hsa0000000745	ocu0000157154
hsa0000000746	ocu0000157155
hsa0000000748	ocu0000157157
hsa0000000749	ocu0000157158
hsa0000000750	ocu0000157159
hsa0000000751	ocu0000157159
hsa0000000757	ocu0000157164
hsa0000000763	ocu0000156629
hsa0000000782	ocu0000066890
hsa0000000786	ocu0000066893
hsa0000000787	ocu0000066894
hsa0000000790	ocu0000066895
hsa0000000791	ocu0000066896
hsa0000000799	ocu0000156620
hsa0000000800	ocu0000156621
hsa0000000802	ocu0000156624
hsa0000000804	ocu0000156626
hsa0000000805	ocu0000156627
hsa0000000808	ocu0000071032
hsa0000000809	ocu0000071033
hsa0000000812	ocu0000071036
hsa0000000813	ocu0000071037
hsa0000000818	ocu0000062730
hsa0000000819	ocu0000062731
hsa0000000823	ocu0000062735
hsa0000000828	ocu0000068702
hsa0000000829	ocu0000068703
hsa0000000835	ocu0000064316
hsa0000000836	ocu0000064316
hsa0000000837	ocu0000064316
hsa0000000838	ocu0000064317
hsa0000000839	ocu0000064318
hsa0000000842	ocu0000064319
hsa0000000844	ocu0000064321
hsa0000000849	ocu0000064325
hsa0000000850	ocu0000064325
hsa0000000851	ocu0000064325
hsa0000000853	ocu0000064326
hsa0000000856	ocu0000064327
hsa0000000858	ocu0000064328
hsa0000000859	ocu0000064328
hsa0000000862	ocu0000064329
hsa0000000866	ocu0000064332
hsa0000000867	ocu0000064333
hsa0000000868	ocu0000064334
hsa0000000869	ocu0000064335
hsa0000000874	ocu0000064339
hsa0000000875	ocu0000064340
hsa0000000876	ocu0000064341
hsa0000000877	ocu0000066935
hsa0000000886	ocu0000068683
hsa0000000887	ocu0000068685
hsa0000000888	ocu0000068687
hsa0000000889	ocu0000068688
hsa0000000890	ocu0000068689
hsa0000000891	ocu0000068690
hsa0000000893	ocu0000068692
hsa0000000896	ocu0000068694
hsa0000000897	ocu0000068695
hsa0000000898	ocu0000068696
hsa0000000902	ocu0000066973
hsa0000000903	ocu0000066974
hsa0000000904	ocu0000066975
hsa0000000906	ocu0000066977
hsa0000000909	ocu0000066980
hsa0000000916	ocu0000063304
hsa0000000917	ocu0000063306
hsa0000000918	ocu0000063307
hsa0000000919	ocu0000063308
hsa0000000925	ocu0000157204
hsa0000000926	ocu0000157205
hsa0000000929	ocu0000063089
hsa0000000932	ocu0000063091
hsa0000000933	ocu0000063091
hsa0000000934	ocu0000063091
hsa0000000937	ocu0000063092
hsa0000000938	ocu0000063897
hsa0000000939	ocu0000063898
hsa0000000943	ocu0000063901
hsa0000000944	ocu0000063903
hsa0000000946	ocu0000063904
hsa0000000950	ocu0000063905
hsa0000000951	ocu0000063906
hsa0000000952	ocu0000063907
hsa0000000953	ocu0000063907
hsa0000000954	ocu0000063908
hsa0000000955	ocu0000063909
hsa0000000959	ocu0000070335
hsa0000000960	ocu0000070335
hsa0000000962	ocu0000070337
hsa0000000963	ocu0000070338
hsa0000000965	ocu0000070339
hsa0000000968	ocu0000070342
hsa0000000969	ocu0000070343
hsa0000000970	ocu0000070344
hsa0000000971	ocu0000070345
hsa0000000972	ocu0000070346
hsa0000000973	ocu0000070347
hsa0000000975	ocu0000070349
hsa0000000977	ocu0000070351
hsa0000000978	ocu0000070352
hsa0000000979	ocu0000070353
hsa0000000980	ocu0000070354
hsa0000000984	ocu0000070355
hsa0000000985	ocu0000070356
hsa0000000986	ocu0000070357
hsa0000000987	ocu0000070358
hsa0000000992	ocu0000070361
hsa0000000996	ocu0000070362
hsa0000001001	ocu0000070364
hsa0000001002	ocu0000070365
hsa0000001007	ocu0000062120
hsa0000001009	ocu0000062122
hsa0000001010	ocu0000062123
hsa0000001011	ocu0000062124
hsa0000001012	ocu0000072659
hsa0000001013	ocu0000072661
hsa0000001024	ocu0000074179
hsa0000001026	ocu0000073306
hsa0000001026	ocu0000073305
hsa0000001027	ocu0000073307
hsa0000001028	ocu0000073308
hsa0000001029	ocu0000073309
hsa0000001031	ocu0000073311
hsa0000001032	ocu0000073314
hsa0000001032	ocu0000073313
hsa0000001034	ocu0000073318
hsa0000001035	ocu0000073319
hsa0000001036	ocu0000073320
hsa0000001037	ocu0000073321
hsa0000001038	ocu0000073323
hsa0000001043	ocu0000063041
hsa0000001048	ocu0000063043
hsa0000001049	ocu0000063044
hsa0000001052	ocu0000063047
hsa0000001055	ocu0000068860
hsa0000001056	ocu0000068861
hsa0000001057	ocu0000068862
hsa0000001059	ocu0000068864
hsa0000001060	ocu0000068865
hsa0000001061	ocu0000068866
hsa0000001063	ocu0000068868
hsa0000001064	ocu0000068869
hsa0000001071	ocu0000060519
hsa0000001073	ocu0000060521
hsa0000001074	ocu0000060521
hsa0000001083	ocu0000060527
hsa0000001088	ocu0000060529
hsa0000001098	ocu0000060534
hsa0000001104	ocu0000060536
hsa0000001105	ocu0000060538
hsa0000001113	ocu0000070594
hsa0000001115	ocu0000070596
hsa0000001117	ocu0000071649
hsa0000001119	ocu0000071651
hsa0000001120	ocu0000071652
hsa0000001121	ocu0000071653
hsa0000001122	ocu0000071653
hsa0000001123	ocu0000071654
hsa0000001124	ocu0000071655
hsa0000001125	ocu0000071656
hsa0000001126	ocu0000071657
hsa0000001127	ocu0000063191
hsa0000001128	ocu0000063192
hsa0000001129	ocu0000063192
hsa0000001130	ocu0000063193
hsa0000001131	ocu0000063194
hsa0000001135	ocu0000063198
hsa0000001141	ocu0000063202
hsa0000001149	ocu0000072583
hsa0000001150	ocu0000072584
hsa0000001153	ocu0000071339
hsa0000001155	ocu0000071341
hsa0000001162	ocu0000062605
hsa0000001168	ocu0000062610
hsa0000001169	ocu0000062611
hsa0000001170	ocu0000062612
hsa0000001172	ocu0000062614
hsa0000001173	ocu0000062615
hsa0000001175	ocu0000062616
hsa0000001179	ocu0000062619
hsa0000001180	ocu0000062620
hsa0000001181	ocu0000062621
hsa0000001183	ocu0000063265
hsa0000001191	ocu0000061933
hsa0000001192	ocu0000061934
hsa0000001195	ocu0000061939
hsa0000001196	ocu0000061939
hsa0000001199	ocu0000064997
hsa0000001200	ocu0000064998
hsa0000001202	ocu0000064999
hsa0000001203	ocu0000065000
hsa0000001206	ocu0000065003
hsa0000001208	ocu0000065005
hsa0000001210	ocu0000065007
hsa0000001211	ocu0000065008
hsa0000001212	ocu0000065009
hsa0000001213	ocu0000065010
hsa0000001214	ocu0000065011
hsa0000001215	ocu0000065012
hsa0000001217	ocu0000065014
hsa0000001218	ocu0000065015
hsa0000001219	ocu0000065016
hsa0000001220	ocu0000065017
hsa0000001222	ocu0000065019
hsa0000001223	ocu0000065020
hsa0000001224	ocu0000065021
hsa0000001227	ocu0000060682
hsa0000001228	ocu0000060682
hsa0000001243	ocu0000065081
hsa0000001244	ocu0000065082
hsa0000001245	ocu0000065083
hsa0000001247	ocu0000065084
hsa0000001248	ocu0000069818
hsa0000001250	ocu0000069820
hsa0000001253	ocu0000069821
hsa0000001256	ocu0000069823
hsa0000001257	ocu0000069824
hsa0000001258	ocu0000069825
hsa0000001260	ocu0000069826
hsa0000001261	ocu0000069827
hsa0000001263	ocu0000070744
hsa0000001263	ocu0000070743
hsa0000001271	ocu0000070750
hsa0000001275	ocu0000070753
hsa0000001278	ocu0000070754
hsa0000001279	ocu0000070755
hsa0000001290	ocu0000064015
hsa0000001291	ocu0000064016
hsa0000001292	ocu0000064017
hsa0000001293	ocu0000064018
hsa0000001294	ocu0000064018
hsa0000001295	ocu0000064019
hsa0000001296	ocu0000064020
hsa0000001297	ocu0000064021
hsa0000001299	ocu0000064022
hsa0000001300	ocu0000064023
hsa0000001303	ocu0000064026
hsa0000001304	ocu0000064027
hsa0000001305	ocu0000064028
hsa0000001308	ocu0000064030
hsa0000001310	ocu0000064032
hsa0000001312	ocu0000064033
hsa0000001313	ocu0000064035
hsa0000001319	ocu0000073092
hsa0000001321	ocu0000073094
hsa0000001323	ocu0000073096
hsa0000001324	ocu0000073097
hsa0000001326	ocu0000073099
hsa0000001339	ocu0000067478
hsa0000001340	ocu0000067479
hsa0000001341	ocu0000067480
hsa0000001346	ocu0000067484
hsa0000001350	ocu0000067485
hsa0000001356	ocu0000067491
hsa0000001357	ocu0000072118
hsa0000001362	ocu0000069903
hsa0000001362	ocu0000069902
hsa0000001364	ocu0000069905
hsa0000001366	ocu0000072609
hsa0000001367	ocu0000072610
hsa0000001368	ocu0000072611
hsa0000001369	ocu0000072612
hsa0000001370	ocu0000072613
hsa0000001371	ocu0000072614
hsa0000001374	ocu0000072617
hsa0000001375	ocu0000072618
hsa0000001377	ocu0000064796
hsa0000001379	ocu0000064798
hsa0000001381	ocu0000064799
hsa0000001383	ocu0000064800
hsa0000001384	ocu0000064801
hsa0000001386	ocu0000064802
hsa0000001387	ocu0000064802
hsa0000001388	ocu0000064803
hsa0000001389	ocu0000064804
hsa0000001394	ocu0000070491
hsa0000001396	ocu0000070492
hsa0000001397	ocu0000070493
hsa0000001398	ocu0000070494
hsa0000001398	ocu0000070493
hsa0000001399	ocu0000070495
hsa0000001400	ocu0000070496
hsa0000001401	ocu0000070497
hsa0000001402	ocu0000070498
hsa0000001403	ocu0000070499
hsa0000001405	ocu0000070500
hsa0000001407	ocu0000070501
hsa0000001409	ocu0000070502
hsa0000001412	ocu0000070504
hsa0000001414	ocu0000070505
hsa0000001416	ocu0000070508
hsa0000001418	ocu0000070509
hsa0000001420	ocu0000070511
hsa0000001423	ocu0000070512
hsa0000001424	ocu0000070513
hsa0000001425	ocu0000070514
hsa0000001428	ocu0000070515
hsa0000001431	ocu0000070516
hsa0000001433	ocu0000070517
hsa0000001434	ocu0000070518
hsa0000001435	ocu0000070519
hsa0000001436	ocu0000070520
hsa0000001437	ocu0000070521
hsa0000001438	ocu0000070522
hsa0000001439	ocu0000070523
hsa0000001440	ocu0000070524
hsa0000001445	ocu0000070528
hsa0000001446	ocu0000070529
hsa0000001448	ocu0000070531
hsa0000001449	ocu0000070532
hsa0000001451	ocu0000070533
hsa0000001455	ocu0000070534
hsa0000001456	ocu0000070534
hsa0000001458	ocu0000070536
hsa0000001459	ocu0000070537
hsa0000001460	ocu0000070538
hsa0000001462	ocu0000070540
hsa0000001463	ocu0000072834
hsa0000001464	ocu0000072835
hsa0000001466	ocu0000072836
hsa0000001467	ocu0000072837
hsa0000001469	ocu0000072839
hsa0000001470	ocu0000072840
hsa0000001471	ocu0000069833
hsa0000001479	ocu0000072451
hsa0000001482	ocu0000072453
hsa0000001484	ocu0000072455
hsa0000001488	ocu0000071752
hsa0000001492	ocu0000071756
hsa0000001495	ocu0000071759
hsa0000001498	ocu0000071762
hsa0000001505	ocu0000071769
hsa0000001508	ocu0000071772
hsa0000001522	ocu0000071785
hsa0000001524	ocu0000071787
hsa0000001528	ocu0000071791
hsa0000001533	ocu0000071796
hsa0000001535	ocu0000071798
hsa0000001536	ocu0000071799
hsa0000001540	ocu0000071803
hsa0000001542	ocu0000071805
hsa0000001543	ocu0000071806
hsa0000001545	ocu0000071807
hsa0000001547	ocu0000071808
hsa0000001548	ocu0000071809
hsa0000001549	ocu0000069836
hsa0000001550	ocu0000069837
hsa0000001553	ocu0000067989
hsa0000001565	ocu0000067996
hsa0000001566	ocu0000067997
hsa0000001574	ocu0000068522
hsa0000001575	ocu0000068523
hsa0000001576	ocu0000068524
hsa0000001577	ocu0000068525
hsa0000001579	ocu0000068526
hsa0000001580	ocu0000068527
hsa0000001581	ocu0000068528
hsa0000001582	ocu0000068529
hsa0000001584	ocu0000068530
hsa0000001585	ocu0000068531
hsa0000001587	ocu0000068532
hsa0000001589	ocu0000068534
hsa0000001590	ocu0000068535
hsa0000001591	ocu0000068536
hsa0000001592	ocu0000068537
hsa0000001593	ocu0000068538
hsa0000001595	ocu0000068539
hsa0000001597	ocu0000068540
hsa0000001598	ocu0000068541
hsa0000001599	ocu0000068542
hsa0000001600	ocu0000069986
hsa0000001601	ocu0000069987
hsa0000001603	ocu0000069989
hsa0000001606	ocu0000069991
hsa0000001610	ocu0000069995
hsa0000001611	ocu0000069996
hsa0000001614	ocu0000069999
hsa0000001616	ocu0000070001
hsa0000001621	ocu0000070006
hsa0000001622	ocu0000070008
hsa0000001624	ocu0000070010
hsa0000001655	ocu0000062655
hsa0000001656	ocu0000062656
hsa0000001657	ocu0000062657
hsa0000001659	ocu0000062659
hsa0000001661	ocu0000062661
hsa0000001662	ocu0000062662
hsa0000001663	ocu0000062663
hsa0000001664	ocu0000062664
hsa0000001689	ocu0000073014
hsa0000001692	ocu0000065351
hsa0000001693	ocu0000065352
hsa0000001694	ocu0000065353
hsa0000001696	ocu0000065355
hsa0000001697	ocu0000065355
hsa0000001701	ocu0000063460
hsa0000001702	ocu0000063461
hsa0000001703	ocu0000063462
hsa0000001711	ocu0000072334
hsa0000001713	ocu0000072336
hsa0000001718	ocu0000066988
hsa0000001719	ocu0000066989
hsa0000001720	ocu0000066990
hsa0000001722	ocu0000066992
hsa0000001723	ocu0000065463
hsa0000001724	ocu0000065463
hsa0000001727	ocu0000065466
hsa0000001730	ocu0000065469
hsa0000001731	ocu0000065470
hsa0000001732	ocu0000065471
hsa0000001733	ocu0000065472
hsa0000001735	ocu0000065474
hsa0000001736	ocu0000065475
hsa0000001737	ocu0000065476
hsa0000001739	ocu0000065477
hsa0000001747	ocu0000065482
hsa0000001750	ocu0000065484
hsa0000001751	ocu0000065485
hsa0000001752	ocu0000065486
hsa0000001753	ocu0000065487
hsa0000001754	ocu0000065489
hsa0000001755	ocu0000065490
hsa0000001764	ocu0000066902
hsa0000001773	ocu0000070911
hsa0000001774	ocu0000070912
hsa0000001775	ocu0000070913
hsa0000001780	ocu0000070918
hsa0000001782	ocu0000070920
hsa0000001782	ocu0000070921
hsa0000001784	ocu0000070924
hsa0000001785	ocu0000070925
hsa0000001787	ocu0000070927
hsa0000001789	ocu0000070929
hsa0000001791	ocu0000070931
hsa0000001792	ocu0000070932
hsa0000001793	ocu0000070933
hsa0000001800	ocu0000071722
hsa0000001802	ocu0000071724
hsa0000001808	ocu0000069670
hsa0000001809	ocu0000069671
hsa0000001816	ocu0000072111
hsa0000001818	ocu0000072113
hsa0000001819	ocu0000072114
hsa0000001820	ocu0000072115
hsa0000001822	ocu0000072117
hsa0000001828	ocu0000071091
hsa0000001829	ocu0000071092
hsa0000001831	ocu0000071094
hsa0000001832	ocu0000071095
hsa0000001841	ocu0000071103
hsa0000001843	ocu0000065784
hsa0000001844	ocu0000065785
hsa0000001846	ocu0000065787
hsa0000001847	ocu0000065787
hsa0000001848	ocu0000065788
hsa0000001850	ocu0000065790
hsa0000001852	ocu0000065791
hsa0000001853	ocu0000065792
hsa0000001854	ocu0000065793
hsa0000001855	ocu0000065794
hsa0000001858	ocu0000065796
hsa0000001862	ocu0000065801
hsa0000001872	ocu0000073248
hsa0000001873	ocu0000073249
hsa0000001874	ocu0000073250
hsa0000001875	ocu0000073251
hsa0000001876	ocu0000073252
hsa0000001880	ocu0000073255
hsa0000001881	ocu0000073256
hsa0000001882	ocu0000073257
hsa0000001883	ocu0000073257
hsa0000001884	ocu0000073258
hsa0000001885	ocu0000073259
hsa0000001886	ocu0000073259
hsa0000001889	ocu0000073260
hsa0000001892	ocu0000061178
hsa0000001893	ocu0000061179
hsa0000001894	ocu0000061007
hsa0000001895	ocu0000061008
hsa0000001898	ocu0000061010
hsa0000001903	ocu0000065903
hsa0000001904	ocu0000065904
hsa0000001908	ocu0000067176
hsa0000001909	ocu0000067178
hsa0000001913	ocu0000067183
hsa0000001915	ocu0000070788
hsa0000001918	ocu0000070789
hsa0000001919	ocu0000070790
hsa0000001923	ocu0000070792
hsa0000001924	ocu0000070793
hsa0000001925	ocu0000070794
hsa0000001931	ocu0000070785
hsa0000001932	ocu0000070786
hsa0000001932	ocu0000070785
hsa0000001933	ocu0000070786
hsa0000001933	ocu0000070785
hsa0000001935	ocu0000070787
hsa0000001936	ocu0000071404
hsa0000001939	ocu0000071406
hsa0000001940	ocu0000071407
hsa0000001942	ocu0000071409
hsa0000001943	ocu0000071410
hsa0000001944	ocu0000071411
hsa0000001946	ocu0000071413
hsa0000001947	ocu0000071414
hsa0000001948	ocu0000071415
hsa0000001949	ocu0000071416
hsa0000001950	ocu0000071417
hsa0000001953	ocu0000071420
hsa0000001954	ocu0000071421
hsa0000001955	ocu0000071422
hsa0000001956	ocu0000071423
hsa0000001958	ocu0000071425
hsa0000001959	ocu0000071426
hsa0000001960	ocu0000071427
hsa0000001961	ocu0000071428
hsa0000001962	ocu0000071429
hsa0000001964	ocu0000071431
hsa0000001965	ocu0000071432
hsa0000001967	ocu0000071434
hsa0000001968	ocu0000071435
hsa0000001970	ocu0000071437
hsa0000001971	ocu0000072703
hsa0000001972	ocu0000072704
hsa0000001973	ocu0000072705
hsa0000001974	ocu0000072706
hsa0000001975	ocu0000072707
hsa0000001978	ocu0000072710
hsa0000001980	ocu0000072713
hsa0000001981	ocu0000072714
hsa0000001982	ocu0000069510
hsa0000001986	ocu0000069515
hsa0000001988	ocu0000069516
hsa0000001989	ocu0000069517
hsa0000001992	ocu0000069519
hsa0000001993	ocu0000069519
hsa0000001994	ocu0000069520
hsa0000001996	ocu0000069521
hsa0000001997	ocu0000069522
hsa0000001998	ocu0000069523
hsa0000001999	ocu0000069524
hsa0000002000	ocu0000069524
hsa0000002001	ocu0000060642
hsa0000002003	ocu0000060643
hsa0000002004	ocu0000060643
hsa0000002005	ocu0000060644
hsa0000002007	ocu0000060645
hsa0000002009	ocu0000060647
hsa0000002010	ocu0000060648
hsa0000002011	ocu0000060649
hsa0000002013	ocu0000061712
hsa0000002015	ocu0000061714
hsa0000002016	ocu0000061715
hsa0000002019	ocu0000061717
hsa0000002023	ocu0000061332
hsa0000002024	ocu0000061333
hsa0000002025	ocu0000061334
hsa0000002027	ocu0000061336
hsa0000002030	ocu0000072479
hsa0000002031	ocu0000072480
hsa0000002033	ocu0000072481
hsa0000002034	ocu0000072481
hsa0000002035	ocu0000072482
hsa0000002036	ocu0000072483
hsa0000002038	ocu0000072484
hsa0000002039	ocu0000072485
hsa0000002040	ocu0000072486
hsa0000002041	ocu0000072487
hsa0000002043	ocu0000072489
hsa0000002046	ocu0000073794
hsa0000002049	ocu0000073796
hsa0000002050	ocu0000073796
hsa0000002061	ocu0000068569
hsa0000002063	ocu0000068571
hsa0000002065	ocu0000068573
hsa0000002067	ocu0000068575
hsa0000002072	ocu0000068580
hsa0000002077	ocu0000068585
hsa0000002080	ocu0000068588
hsa0000002082	ocu0000068590
hsa0000002088	ocu0000068596
hsa0000002099	ocu0000071380
hsa0000002100	ocu0000071381
hsa0000002101	ocu0000071382
hsa0000002102	ocu0000071383
hsa0000002103	ocu0000071384
hsa0000002105	ocu0000071386
hsa0000002106	ocu0000071387
hsa0000002107	ocu0000071388
hsa0000002108	ocu0000071389
hsa0000002111	ocu0000073147
hsa0000002112	ocu0000073148
hsa0000002113	ocu0000073149
hsa0000002116	ocu0000073152
hsa0000002117	ocu0000073153
hsa0000002118	ocu0000073154
hsa0000002119	ocu0000073155
hsa0000002120	ocu0000073156
hsa0000002121	ocu0000073157
hsa0000002125	ocu0000068464
hsa0000002126	ocu0000068465
hsa0000002131	ocu0000073055
hsa0000002135	ocu0000073059
hsa0000002141	ocu0000073065
hsa0000002144	ocu0000073068
hsa0000002145	ocu0000073069
hsa0000002146	ocu0000073070
hsa0000002147	ocu0000073071
hsa0000002148	ocu0000073072
hsa0000002149	ocu0000073073
hsa0000002153	ocu0000073077
hsa0000002154	ocu0000073078
hsa0000002158	ocu0000062716
hsa0000002160	ocu0000062718
hsa0000002161	ocu0000062719
hsa0000002162	ocu0000062720
hsa0000002174	ocu0000072401
hsa0000002175	ocu0000072402
hsa0000002179	ocu0000072406
hsa0000002180	ocu0000072407
hsa0000002183	ocu0000072410
hsa0000002186	ocu0000072413
hsa0000002187	ocu0000072414
hsa0000002190	ocu0000072417
hsa0000002200	ocu0000072427
hsa0000002202	ocu0000072429
hsa0000002219	ocu0000072445
hsa0000002229	ocu0000073984
hsa0000002232	ocu0000073987
hsa0000002237	ocu0000073992
hsa0000002238	ocu0000073993
hsa0000002240	ocu0000073995
hsa0000002245	ocu0000073999
hsa0000002248	ocu0000069323
hsa0000002249	ocu0000069324
hsa0000002250	ocu0000069325
hsa0000002251	ocu0000069326
hsa0000002252	ocu0000069327
hsa0000002253	ocu0000069328
hsa0000002254	ocu0000069329
hsa0000002256	ocu0000069330
hsa0000002257	ocu0000069331
hsa0000002258	ocu0000069332
hsa0000002261	ocu0000069335
