hsa	ath
ENSG00000089234	AT2G26000
ENSG00000089289	AT5G53000
ENSG00000089351	AT1G02120
ENSG00000089597	AT5G63840
ENSG00000090054	AT4G36480
ENSG00000090060	AT1G17980
ENSG00000090316	AT3G55070
ENSG00000090861	AT1G50200
ENSG00000091140	AT1G48030
ENSG00000091483	AT2G47510
ENSG00000092108	AT2G17980
ENSG00000092201	AT4G10710
ENSG00000092531	AT1G13890
ENSG00000092621	AT4G34200
ENSG00000093217	AT5G49650
ENSG00000094804	AT1G07270
ENSG00000094841	AT3G53900
ENSG00000095002	AT3G18524
ENSG00000095059	AT5G05920
ENSG00000095139	AT5G05010
ENSG00000095485	AT5G56900
ENSG00000095564	AT3G54280
ENSG00000099341	AT1G64520
ENSG00000099624	AT5G47030
ENSG00000099797	AT3G55360
ENSG00000099800	AT1G61570
ENSG00000099817	AT3G22320
ENSG00000099901	AT2G30060
ENSG00000100003	AT1G72160
ENSG00000100003	AT5G47510
ENSG00000100028	AT1G76300
ENSG00000100029	AT5G14520
ENSG00000100030	AT3G45640
ENSG00000100031	AT4G39640
ENSG00000100075	AT5G01340
ENSG00000100084	AT3G44530
ENSG00000100109	AT1G17070
ENSG00000100142	AT5G51940
ENSG00000100206	AT3G22880
ENSG00000100209	AT5G06410
ENSG00000100297	AT2G07690
ENSG00000100316	AT1G61580
ENSG00000100387	AT5G20570
ENSG00000100410	AT1G07170
ENSG00000100439	AT4G24160
ENSG00000100462	AT4G31120
ENSG00000100479	AT5G22110
ENSG00000100519	AT5G43010
ENSG00000100522	AT5G15770
ENSG00000100554	AT3G58730
ENSG00000100567	AT2G27020
ENSG00000100575	AT3G46560
ENSG00000100596	AT5G23670
ENSG00000100603	AT1G77180
ENSG00000100664	AT1G36730
ENSG00000100714	AT1G50480
ENSG00000100764	AT2G20140
ENSG00000100804	AT3G26340
ENSG00000100883	AT1G48900
ENSG00000100902	AT5G35590
ENSG00000100983	AT5G27380
ENSG00000101132	AT1G08780
ENSG00000101146	AT1G80670
ENSG00000101182	AT3G51260
ENSG00000101193	AT1G61150
ENSG00000101199	AT2G37550
ENSG00000101266	AT2G23070
ENSG00000101323	AT3G14420
ENSG00000101337	AT3G13772
ENSG00000101421	AT2G19830
ENSG00000101442	AT3G12380
ENSG00000101444	AT4G13940
ENSG00000101473	AT1G01710
ENSG00000101557	AT1G51710
ENSG00000101577	AT3G09560
ENSG00000101577	AT5G42870
ENSG00000101654	AT3G20650
ENSG00000101856	AT3G48890
ENSG00000101868	AT5G67100
ENSG00000102024	AT2G04750
ENSG00000102024	AT5G55400
ENSG00000102125	AT1G78690
ENSG00000102144	AT1G56190
ENSG00000102158	AT1G61790
ENSG00000102547	AT5G47540
ENSG00000102753	AT3G06720
ENSG00000102753	AT4G16143
ENSG00000102898	AT1G27970
ENSG00000102900	AT2G41620
ENSG00000102967	AT5G23300
ENSG00000102978	AT2G15430
ENSG00000103018	AT2G32720
ENSG00000103018	AT5G48810
ENSG00000103035	AT5G05780
ENSG00000103043	AT2G01690
ENSG00000103051	AT4G01395
ENSG00000103089	AT2G34770
ENSG00000103245	AT4G16440
ENSG00000103274	AT5G50960
ENSG00000103275	AT3G57870
ENSG00000103316	AT5G52810
ENSG00000103356	AT5G64050
ENSG00000103485	AT2G01350
ENSG00000103502	AT4G38570
ENSG00000104142	AT1G12470
ENSG00000104549	AT1G58440
ENSG00000104660	AT1G32410
ENSG00000104687	AT3G54660
ENSG00000104695	AT1G69960
ENSG00000104695	AT3G58500
ENSG00000104738	AT2G16440
ENSG00000104884	AT1G03190
ENSG00000104889	AT2G25100
ENSG00000104907	AT5G15810
ENSG00000104980	AT2G36070
ENSG00000105193	AT2G09990
ENSG00000105193	AT5G18380
ENSG00000105197	AT1G55900
ENSG00000105220	AT5G42740
ENSG00000105254	AT3G10220
ENSG00000105258	AT3G16980
ENSG00000105325	AT4G22910
ENSG00000105372	AT5G61170
ENSG00000105373	AT2G40430
ENSG00000105379	AT5G43430
ENSG00000105402	AT3G56190
ENSG00000105404	AT5G07110
ENSG00000105438	AT1G29330
ENSG00000105438	AT3G25040
ENSG00000105447	AT2G19540
ENSG00000105486	AT1G08130
ENSG00000105576	AT2G16950
ENSG00000105640	AT1G29965
ENSG00000105655	AT5G10170
ENSG00000105671	AT1G16280
ENSG00000105726	AT5G23630
ENSG00000105819	AT3G02090
ENSG00000105829	AT3G58170
ENSG00000105968	AT1G52740
ENSG00000106105	AT1G29880
ENSG00000106263	AT5G27640
ENSG00000106290	AT1G04950
ENSG00000106355	AT5G48870
ENSG00000106588	AT1G16470
ENSG00000106588	AT1G79210
ENSG00000106617	AT1G09020
ENSG00000106628	AT2G42120
ENSG00000106633	AT4G29130
ENSG00000106636	AT5G58060
ENSG00000107130	AT5G24270
ENSG00000107223	AT3G58680
ENSG00000107581	AT4G11420
ENSG00000107669	AT3G11240
ENSG00000107798	AT5G14180
ENSG00000107862	AT1G13980
ENSG00000107937	AT1G50920
ENSG00000107949	AT2G44510
ENSG00000107959	AT3G19170
ENSG00000108010	AT4G04950
ENSG00000108039	AT3G05350
ENSG00000108055	AT2G27170
ENSG00000108179	AT2G16600
ENSG00000108179	AT4G34870
ENSG00000108298	AT4G02230
ENSG00000108344	AT1G75990
ENSG00000108439	AT2G46580
ENSG00000108443	AT3G08720
ENSG00000108587	AT2G45200
ENSG00000108591	AT1G17470
ENSG00000108602	AT1G44170
ENSG00000108671	AT1G29150
ENSG00000108733	AT3G04460
ENSG00000109111	AT1G65440
ENSG00000109189	AT2G22310
ENSG00000109189	AT4G39910
ENSG00000109475	AT1G26880
ENSG00000109519	AT4G26780
ENSG00000109606	AT3G62310
ENSG00000109911	AT3G11220
ENSG00000109929	AT3G02580
ENSG00000110367	AT3G61240
ENSG00000110700	AT4G00100
ENSG00000110713	AT1G80680
ENSG00000110871	AT5G57300
ENSG00000110911	AT5G67330
ENSG00000110921	AT5G27450
ENSG00000110931	AT4G40010
ENSG00000110955	AT5G08690
ENSG00000110958	AT3G03773
ENSG00000111142	AT3G59990
ENSG00000111144	AT5G13520
ENSG00000111229	AT1G60430
ENSG00000111237	AT3G47810
ENSG00000111358	AT1G18340
ENSG00000111364	AT5G05450
ENSG00000111445	AT1G77470
ENSG00000111481	AT1G60970
ENSG00000111640	AT1G79530
ENSG00000111667	AT3G20630
ENSG00000111669	AT2G21170
ENSG00000111775	AT4G37830
ENSG00000111875	AT5G38110
ENSG00000112031	AT2G47020
ENSG00000112118	AT5G46280
ENSG00000112159	AT1G67120
ENSG00000112186	AT4G34490
ENSG00000112237	AT5G48630
ENSG00000112249	AT5G61140
ENSG00000112294	AT1G79440
ENSG00000112306	AT2G32060
ENSG00000112357	AT1G29260
ENSG00000112367	AT1G22620
ENSG00000112578	AT1G31660
ENSG00000112592	AT1G55520
ENSG00000112640	AT3G09880
ENSG00000112651	ATCG00830
ENSG00000112685	AT1G21170
ENSG00000112697	AT1G54320
ENSG00000112874	AT5G20070
ENSG00000112972	AT4G11820
ENSG00000113013	AT4G37910
ENSG00000113068	AT2G07340
ENSG00000113161	AT2G17370
ENSG00000113300	AT3G58560
ENSG00000113318	AT4G25540
ENSG00000113407	AT5G26830
ENSG00000113460	AT1G52930
ENSG00000113522	AT2G31970
ENSG00000113558	AT5G42190
ENSG00000113569	AT1G14850
ENSG00000113615	AT3G07100
ENSG00000113810	AT5G48600
ENSG00000113812	AT5G43500
ENSG00000114021	AT5G12040
ENSG00000114026	AT1G21710
ENSG00000114391	AT2G36620
ENSG00000114480	AT2G36390
ENSG00000114491	AT3G54470
ENSG00000114503	AT5G44200
ENSG00000114573	AT1G78900
ENSG00000114626	AT2G04740
ENSG00000114686	AT3G17465
ENSG00000114767	AT4G21130
ENSG00000115020	AT4G33240
ENSG00000115128	AT5G12190
ENSG00000115159	AT3G10370
ENSG00000115233	AT5G23540
ENSG00000115241	AT2G25070
ENSG00000115268	AT1G04270
ENSG00000115268	AT5G09510
ENSG00000115275	AT1G67490
ENSG00000115484	AT3G18190
ENSG00000115514	AT2G18990
ENSG00000115541	AT1G14980
ENSG00000115561	AT3G45000
ENSG00000115758	AT3G14390
ENSG00000115816	AT1G72440
ENSG00000115866	AT4G26870
ENSG00000115942	AT2G37560
ENSG00000116062	AT4G02070
ENSG00000116120	AT1G72550
ENSG00000116237	AT5G08335
ENSG00000116337	AT2G38280
ENSG00000116353	AT3G45770
ENSG00000116649	AT1G23820
ENSG00000116761	AT3G57050
ENSG00000116874	AT2G25840
ENSG00000117118	AT3G27380
ENSG00000117118	AT5G40650
ENSG00000117222	AT3G21060
ENSG00000117262	AT4G27630
ENSG00000117360	AT1G28060
ENSG00000117410	AT2G25610
ENSG00000117410	AT4G32530
ENSG00000117448	AT2G37770
ENSG00000117448	AT2G37790
ENSG00000117543	AT4G31790
ENSG00000117592	AT1G48130
ENSG00000117593	AT4G33760
ENSG00000117594	AT3G47350
ENSG00000117597	AT1G17690
ENSG00000117682	AT2G17570
ENSG00000117748	AT2G24490
ENSG00000117859	AT4G25850
ENSG00000117859	AT4G25860
ENSG00000117984	AT1G11910
ENSG00000118094	AT4G24040
ENSG00000118777	AT5G06530
ENSG00000118939	AT4G17510
ENSG00000119203	AT1G61010
ENSG00000119285	AT3G06530
ENSG00000119335	AT1G74560
ENSG00000119414	AT3G19980
ENSG00000119537	AT5G19200
ENSG00000119541	AT2G27600
ENSG00000119684	AT4G35520
ENSG00000119689	AT4G26910
ENSG00000119912	AT2G41790
ENSG00000119969	AT5G66750
ENSG00000120158	AT5G22100
ENSG00000120438	AT3G20050
ENSG00000120498	AT5G48390
ENSG00000120519	AT3G56160
ENSG00000120705	AT3G26618
ENSG00000120805	AT2G24765
ENSG00000120837	AT4G14540
ENSG00000121073	AT1G14360
ENSG00000121152	AT2G32590
ENSG00000121211	AT4G29170
ENSG00000121691	AT1G20630
ENSG00000121897	AT5G08415
ENSG00000122026	AT1G09690
ENSG00000122026	AT1G57860
ENSG00000122140	AT3G03600
ENSG00000122218	AT1G62020
ENSG00000122406	AT5G39740
ENSG00000122512	AT4G02460
ENSG00000122912	AT1G14560
ENSG00000123064	AT1G77030
ENSG00000123505	AT3G25570
ENSG00000123737	AT3G12990
ENSG00000123975	AT2G27960
ENSG00000123975	AT2G27970
ENSG00000124164	AT4G00170
ENSG00000124164	AT5G47180
ENSG00000124198	AT1G01960
ENSG00000124207	AT2G46520
ENSG00000124217	AT5G55130
ENSG00000124222	AT4G02195
ENSG00000124383	AT5G66540
ENSG00000124532	AT5G22830
ENSG00000124571	AT3G05040
ENSG00000124587	AT1G03000
ENSG00000124614	AT4G25740
ENSG00000125352	AT1G01350
ENSG00000125454	AT5G48970
ENSG00000125630	AT1G29940
ENSG00000125676	AT1G24706
ENSG00000125691	AT3G04400
ENSG00000125877	AT4G13720
ENSG00000125977	AT5G20920
ENSG00000126062	AT3G07950
ENSG00000126067	AT3G22630
ENSG00000126088	AT2G40490
ENSG00000126226	AT2G19560
ENSG00000126261	AT2G21470
ENSG00000126267	AT4G28060
ENSG00000126432	AT3G52960
ENSG00000126457	AT4G29510
ENSG00000126522	AT5G10920
ENSG00000126581	AT3G61710
ENSG00000126768	AT1G20350
ENSG00000126814	AT3G56120
ENSG00000126858	AT3G63150
ENSG00000126953	AT5G50810
ENSG00000127337	AT5G45600
ENSG00000127445	AT2G18040
ENSG00000127526	AT5G54800
ENSG00000127948	AT4G24520
ENSG00000128039	AT2G16530
ENSG00000128059	AT4G34740
ENSG00000128309	AT1G79230
ENSG00000128524	AT4G02620
ENSG00000128534	AT1G65700
ENSG00000128694	AT2G45270
ENSG00000128708	AT5G56740
ENSG00000128829	AT3G59410
ENSG00000128908	AT3G57300
ENSG00000128951	AT3G46940
ENSG00000129083	AT4G31480
ENSG00000129084	AT1G47250
ENSG00000129128	AT3G05230
ENSG00000129562	AT1G32210
ENSG00000129625	AT4G36720
ENSG00000129932	AT3G58180
ENSG00000130021	AT4G25840
ENSG00000130165	AT5G46030
ENSG00000130175	AT5G56360
ENSG00000130177	AT1G78770
ENSG00000130204	AT3G20000
ENSG00000130255	AT2G37600
ENSG00000130255	AT5G02450
ENSG00000130305	AT5G26180
ENSG00000130313	AT1G13700
ENSG00000130332	AT2G03870
ENSG00000130348	AT3G25660
ENSG00000130640	AT5G17410
ENSG00000130707	AT4G24830
ENSG00000130713	AT1G03360
ENSG00000130724	AT2G06530
ENSG00000130725	AT4G36800
ENSG00000130810	AT5G61770
ENSG00000130826	AT3G57150
ENSG00000130939	AT5G15400
ENSG00000130985	AT5G06460
ENSG00000131069	AT5G36880
ENSG00000131153	AT3G12530
ENSG00000131165	AT1G73030
ENSG00000131269	AT5G58270
ENSG00000131373	AT5G17380
ENSG00000131459	AT3G24090
ENSG00000131469	AT2G32220
ENSG00000131470	AT1G13330
ENSG00000131475	AT4G19003
ENSG00000131558	AT3G10380
ENSG00000131828	AT1G59900
ENSG00000131876	AT1G09760
ENSG00000132341	AT5G20020
ENSG00000132361	AT3G52140
ENSG00000132383	AT2G06510
ENSG00000132383	AT4G19130
ENSG00000132423	AT2G30920
ENSG00000132432	AT5G50460
ENSG00000132541	AT3G20390
ENSG00000132646	AT2G29570
ENSG00000132964	AT5G63610
ENSG00000133028	AT3G08950
ENSG00000133103	AT1G31780
ENSG00000133112	AT3G16640
ENSG00000133119	AT5G27740
ENSG00000133398	AT5G41910
ENSG00000133627	AT1G13180
ENSG00000133706	AT1G09620
ENSG00000133935	AT1G10030
ENSG00000134001	AT2G40290
ENSG00000134014	AT5G50320
ENSG00000134058	AT1G18040
ENSG00000134109	AT1G27520
ENSG00000134330	AT5G62930
ENSG00000134419	AT1G07770
ENSG00000134480	AT5G27620
ENSG00000134684	AT2G33840
ENSG00000134697	AT1G52980
ENSG00000134717	AT1G17880
ENSG00000134759	AT1G49540
ENSG00000134809	AT2G29530
ENSG00000134851	AT5G36290
ENSG00000135069	AT4G35630
ENSG00000135372	AT1G10490
ENSG00000135624	AT3G11830
ENSG00000135632	AT3G21820
ENSG00000135655	AT4G10590
ENSG00000135776	AT5G39040
ENSG00000135801	AT5G25150
ENSG00000135821	AT3G17820
ENSG00000135845	AT2G34980
ENSG00000135945	AT5G44750
ENSG00000136003	AT4G22220
ENSG00000136021	AT1G71410
ENSG00000136143	AT2G20420
ENSG00000136152	AT1G73430
ENSG00000136271	AT4G34910
ENSG00000136371	AT5G13050
ENSG00000136463	AT2G25830
ENSG00000136485	AT1G12910
ENSG00000136631	AT1G77140
ENSG00000136731	AT1G71220
ENSG00000136758	AT2G26140
ENSG00000136807	AT5G10270
ENSG00000136810	AT3G08710
ENSG00000136824	AT3G47460
ENSG00000136868	AT3G46900
ENSG00000136877	AT5G05980
ENSG00000136930	AT5G40580
ENSG00000136942	AT5G02610
ENSG00000137106	AT1G79870
ENSG00000137154	AT4G31700
ENSG00000137513	AT4G17300
ENSG00000137876	AT2G44860
ENSG00000137947	AT2G41630
ENSG00000137947	AT3G10330
ENSG00000137955	AT5G12210
ENSG00000138018	AT1G13560
ENSG00000138018	AT3G25585
ENSG00000138069	AT4G17530
ENSG00000138071	AT3G27000
ENSG00000138160	AT2G28620
ENSG00000138231	AT4G31770
ENSG00000138326	AT3G04920
ENSG00000138346	AT1G08840
ENSG00000138430	AT1G30580
ENSG00000138442	AT5G15550
ENSG00000138495	AT3G15352
ENSG00000138674	AT3G63460
ENSG00000138768	AT3G27530
ENSG00000139131	AT3G02660
ENSG00000139343	AT4G30220
ENSG00000139514	AT3G03720
ENSG00000139684	AT2G41530
ENSG00000139719	AT3G54860
ENSG00000139826	AT5G20520
ENSG00000140006	AT2G47790
ENSG00000140105	AT3G04600
ENSG00000140263	AT5G51970
ENSG00000140307	AT4G24440
ENSG00000140374	AT1G50940
ENSG00000140650	AT2G45790
ENSG00000140829	AT5G13010
ENSG00000140905	AT1G32470
ENSG00000141076	AT4G07410
ENSG00000141101	AT5G41190
ENSG00000141279	AT4G33090
ENSG00000141367	AT3G08530
ENSG00000141385	AT2G29080
ENSG00000141485	AT5G47560
ENSG00000141522	AT3G07880
ENSG00000141564	AT3G08850
ENSG00000141580	AT3G62770
ENSG00000141759	AT5G08290
ENSG00000141994	AT4G38890
ENSG00000142168	AT5G18100
ENSG00000142230	AT5G50680
ENSG00000142494	AT5G52450
ENSG00000142507	AT4G31300
ENSG00000142534	AT4G30800
ENSG00000142541	AT4G13170
ENSG00000142544	AT2G44270
ENSG00000142657	AT3G02360
ENSG00000142676	AT2G42740
ENSG00000142676	AT5G45775
ENSG00000142751	AT5G22370
ENSG00000142937	AT5G59240
ENSG00000143106	AT3G14290
ENSG00000143155	AT4G34270
ENSG00000143158	AT4G22310
ENSG00000143224	AT4G01690
ENSG00000143256	AT3G22480
ENSG00000143315	AT5G22130
ENSG00000143324	AT1G69480
ENSG00000143393	AT5G09350
ENSG00000143418	AT1G13580
ENSG00000143418	AT3G25540
ENSG00000143748	AT3G01610
ENSG00000143761	AT1G70490
ENSG00000143771	AT1G12390
ENSG00000143774	AT3G06200
ENSG00000143797	AT1G12640
ENSG00000143815	AT3G52940
ENSG00000143933	AT5G37780
ENSG00000143942	AT1G44790
ENSG00000143947	AT1G23410
ENSG00000143952	AT4G19490
ENSG00000143977	AT2G23930
ENSG00000144028	AT1G20960
ENSG00000144381	AT3G23990
ENSG00000144566	AT4G19640
ENSG00000144566	AT5G45130
ENSG00000144713	AT4G18100
ENSG00000144744	AT5G19180
ENSG00000144848	AT5G61500
ENSG00000145020	AT1G11860
ENSG00000145495	AT4G34100
ENSG00000145592	AT1G52300
ENSG00000145692	AT3G25900
ENSG00000145833	AT1G20920
ENSG00000145912	AT5G08180
ENSG00000145982	AT3G58140
ENSG00000146143	AT1G67320
ENSG00000146151	AT2G26800
ENSG00000146701	AT1G53240
ENSG00000146731	AT3G02530
ENSG00000146733	AT1G18640
ENSG00000147383	AT2G26260
ENSG00000147403	AT1G14320
ENSG00000147403	AT1G66580
ENSG00000147416	AT1G76030
ENSG00000147535	AT1G15080
ENSG00000147535	AT3G02600
ENSG00000147536	AT5G49010
ENSG00000147604	AT3G13580
ENSG00000147669	AT5G41010
ENSG00000148057	AT2G16790
ENSG00000148218	AT1G69740
ENSG00000148335	AT5G44450
ENSG00000148459	AT2G34630
ENSG00000148606	AT5G60040
ENSG00000148672	AT5G18170
ENSG00000148824	AT2G41670
ENSG00000148843	AT3G11964
ENSG00000148950	AT1G53530
ENSG00000149084	AT1G67730
ENSG00000149136	AT3G28730
ENSG00000149273	AT2G31610
ENSG00000150753	AT1G24510
ENSG00000150768	AT1G54220
ENSG00000150990	AT1G33390
ENSG00000150991	AT4G05320
ENSG00000151093	AT2G04540
ENSG00000151148	AT3G53090
ENSG00000151229	AT1G30220
ENSG00000151247	AT1G29550
ENSG00000151247	AT4G18040
ENSG00000151461	AT2G39260
ENSG00000151532	AT5G39510
ENSG00000151806	AT5G39900
ENSG00000151923	AT1G17370
ENSG00000152465	AT5G57020
ENSG00000152684	AT4G27650
ENSG00000152944	AT4G04780
ENSG00000153015	AT4G33060
ENSG00000153147	AT5G18620
ENSG00000153561	AT4G37880
ENSG00000153574	AT2G01290
ENSG00000153827	AT4G38600
ENSG00000155097	AT1G12840
ENSG00000155100	AT3G62940
ENSG00000155229	AT5G48120
ENSG00000155368	AT1G31812
ENSG00000155463	AT5G62050
ENSG00000155868	AT5G03500
ENSG00000155957	AT4G15470
ENSG00000155959	AT5G49510
ENSG00000156110	AT3G09820
ENSG00000156261	AT3G03960
ENSG00000156467	AT4G32470
ENSG00000156482	AT1G36240
ENSG00000156502	AT5G39840
ENSG00000156508	AT1G07930
ENSG00000156958	AT3G06580
ENSG00000157020	AT2G30050
ENSG00000157456	AT4G35620
ENSG00000157911	AT2G26350
ENSG00000157916	AT4G39220
ENSG00000158623	AT4G34450
ENSG00000158793	AT4G08790
ENSG00000158825	AT4G29630
ENSG00000159063	AT2G44660
ENSG00000159210	AT4G27040
ENSG00000159259	AT5G64630
ENSG00000159348	AT5G17770
ENSG00000159352	AT4G38630
ENSG00000159377	AT1G56450
ENSG00000159720	AT3G28710
ENSG00000160014	AT5G37780
ENSG00000160087	AT1G17280
ENSG00000160087	AT5G50430
ENSG00000160200	AT3G59760
ENSG00000160209	AT5G37850
ENSG00000160211	AT5G40760
ENSG00000160285	AT2G07050
ENSG00000160752	AT4G17190
ENSG00000161016	AT2G18020
ENSG00000161016	AT4G36130
ENSG00000161057	AT1G53750
ENSG00000161204	AT1G64550
ENSG00000161513	AT4G32360
ENSG00000161533	AT2G35690
ENSG00000161970	AT3G49910
ENSG00000162236	AT3G24350
ENSG00000162368	AT5G26667
ENSG00000162409	AT3G01090
ENSG00000162521	AT5G58230
ENSG00000162669	AT3G27730
ENSG00000162735	AT5G17550
ENSG00000162923	AT5G08560
ENSG00000163029	AT5G07660
ENSG00000163082	AT3G58490
ENSG00000163161	AT5G41360
ENSG00000163466	AT1G30825
ENSG00000163468	AT5G26360
ENSG00000163541	AT5G08300
ENSG00000163624	AT4G22340
ENSG00000163636	AT4G24820
ENSG00000163682	AT1G33120
ENSG00000163754	AT1G60470
ENSG00000163754	AT2G47180
ENSG00000163882	AT1G54250
ENSG00000163882	AT3G59600
ENSG00000163902	AT1G76400
ENSG00000163918	AT1G21690
ENSG00000163931	AT3G60750
ENSG00000163960	AT1G14570
ENSG00000164024	AT2G45240
ENSG00000164077	AT2G28390
ENSG00000164091	AT5G14530
ENSG00000164109	AT3G25980
ENSG00000164162	AT2G18290
ENSG00000164163	AT4G19210
ENSG00000164167	AT3G59810
ENSG00000164168	AT4G38360
ENSG00000164338	AT2G47990
ENSG00000164362	AT5G16850
ENSG00000164587	AT2G36160
ENSG00000164609	AT1G65660
ENSG00000164708	AT1G22170
ENSG00000164751	AT1G79810
ENSG00000164815	AT4G29910
ENSG00000164933	AT5G66380
ENSG00000164951	AT3G12620
ENSG00000164951	AT3G16560
ENSG00000164951	AT3G17090
ENSG00000165140	AT1G43670
