hsa	dme	isohsa	isodme	exoniden
ENSG00000120963	FBgn0036537	ENST00000520347	FBtr0075537	hsa0000124899-dme0000022851|0.64;hsa0000124903-dme0000022852|0.72
ENSG00000120963	FBgn0036537	ENST00000520347	FBtr0332134	hsa0000124899-dme0000022851|0.64;hsa0000124903-dme0000022852|0.72
ENSG00000120963	FBgn0036537	ENST00000519882	FBtr0306855	hsa0000124899-dme0000022851|0.64;hsa0000124903-dme0000022852|0.72
ENSG00000120963	FBgn0036537	ENST00000519882	FBtr0075537	hsa0000124899-dme0000022851|0.64;hsa0000124903-dme0000022852|0.72
ENSG00000120963	FBgn0036537	ENST00000519882	FBtr0332134	hsa0000124899-dme0000022851|0.64;hsa0000124903-dme0000022852|0.72
ENSG00000120963	FBgn0036537	ENST00000521272	FBtr0306855	hsa0000124899-dme0000022851|0.64;hsa0000124903-dme0000022852|0.72
ENSG00000120963	FBgn0036537	ENST00000521272	FBtr0075537	hsa0000124899-dme0000022851|0.64;hsa0000124903-dme0000022852|0.72
ENSG00000120963	FBgn0036537	ENST00000521272	FBtr0332134	hsa0000124899-dme0000022851|0.64;hsa0000124903-dme0000022852|0.72
ENSG00000120963	FBgn0036537	ENST00000518336	FBtr0306855	hsa0000124899-dme0000022851|0.64;hsa0000124903-dme0000022852|0.72
ENSG00000120963	FBgn0036537	ENST00000518336	FBtr0075537	hsa0000124899-dme0000022851|0.64;hsa0000124903-dme0000022852|0.72
ENSG00000120963	FBgn0036537	ENST00000518336	FBtr0332134	hsa0000124899-dme0000022851|0.64;hsa0000124903-dme0000022852|0.72
ENSG00000120963	FBgn0036538	ENST00000520984	FBtr0306854	hsa0000124899-dme0000026623|0.65;hsa0000124903-dme0000026624|0.7
ENSG00000120963	FBgn0036538	ENST00000520984	FBtr0075536	hsa0000124899-dme0000026623|0.65;hsa0000124903-dme0000026624|0.7
ENSG00000120963	FBgn0036538	ENST00000311212	FBtr0306854	hsa0000124899-dme0000026623|0.65;hsa0000124903-dme0000026624|0.7
ENSG00000120963	FBgn0036538	ENST00000311212	FBtr0075536	hsa0000124899-dme0000026623|0.65;hsa0000124903-dme0000026624|0.7
ENSG00000120963	FBgn0036538	ENST00000517844	FBtr0306854	hsa0000124899-dme0000026623|0.65;hsa0000124903-dme0000026624|0.7
ENSG00000120963	FBgn0036538	ENST00000517844	FBtr0075536	hsa0000124899-dme0000026623|0.65;hsa0000124903-dme0000026624|0.7
ENSG00000120963	FBgn0036538	ENST00000520347	FBtr0306854	hsa0000124899-dme0000026623|0.65;hsa0000124903-dme0000026624|0.7
ENSG00000120963	FBgn0036538	ENST00000520347	FBtr0075536	hsa0000124899-dme0000026623|0.65;hsa0000124903-dme0000026624|0.7
ENSG00000120963	FBgn0036538	ENST00000519882	FBtr0306854	hsa0000124899-dme0000026623|0.65;hsa0000124903-dme0000026624|0.7
ENSG00000120963	FBgn0036538	ENST00000519882	FBtr0075536	hsa0000124899-dme0000026623|0.65;hsa0000124903-dme0000026624|0.7
ENSG00000120963	FBgn0036538	ENST00000521272	FBtr0306854	hsa0000124899-dme0000026623|0.65;hsa0000124903-dme0000026624|0.7
ENSG00000120963	FBgn0036538	ENST00000521272	FBtr0075536	hsa0000124899-dme0000026623|0.65;hsa0000124903-dme0000026624|0.7
ENSG00000120963	FBgn0036538	ENST00000518336	FBtr0306854	hsa0000124899-dme0000026623|0.65;hsa0000124903-dme0000026624|0.7
ENSG00000120963	FBgn0036538	ENST00000518336	FBtr0075536	hsa0000124899-dme0000026623|0.65;hsa0000124903-dme0000026624|0.7
ENSG00000164924	FBgn0004907	ENST00000395957	FBtr0332917	hsa0000124909-dme0000031574|0.72;hsa0000124913-dme0000031577|0.68;hsa0000124917-dme0000031578|0.76;hsa0000124918-dme0000031581|0.71
ENSG00000164924	FBgn0004907	ENST00000395957	FBtr0100183	hsa0000124909-dme0000031574|0.72;hsa0000124913-dme0000031577|0.68;hsa0000124917-dme0000031578|0.76;hsa0000124918-dme0000031581|0.71
ENSG00000164924	FBgn0004907	ENST00000395957	FBtr0332916	hsa0000124909-dme0000031574|0.72;hsa0000124913-dme0000031577|0.68;hsa0000124917-dme0000031578|0.76;hsa0000124918-dme0000031581|0.71
ENSG00000164924	FBgn0004907	ENST00000395957	FBtr0088415	hsa0000124909-dme0000031574|0.72;hsa0000124913-dme0000031577|0.68;hsa0000124917-dme0000031578|0.76;hsa0000124918-dme0000031581|0.71
ENSG00000164924	FBgn0004907	ENST00000395957	FBtr0088414	hsa0000124909-dme0000031574|0.72;hsa0000124913-dme0000031577|0.68;hsa0000124917-dme0000031578|0.76;hsa0000124918-dme0000031581|0.71
ENSG00000164924	FBgn0004907	ENST00000395956	FBtr0332917	hsa0000124909-dme0000031574|0.72;hsa0000124913-dme0000031577|0.68;hsa0000124917-dme0000031578|0.76;hsa0000124918-dme0000031581|0.71
ENSG00000164924	FBgn0004907	ENST00000395956	FBtr0100183	hsa0000124909-dme0000031574|0.72;hsa0000124913-dme0000031577|0.68;hsa0000124917-dme0000031578|0.76;hsa0000124918-dme0000031581|0.71
ENSG00000164924	FBgn0004907	ENST00000395956	FBtr0332916	hsa0000124909-dme0000031574|0.72;hsa0000124913-dme0000031577|0.68;hsa0000124917-dme0000031578|0.76;hsa0000124918-dme0000031581|0.71
ENSG00000164924	FBgn0004907	ENST00000395956	FBtr0088415	hsa0000124909-dme0000031574|0.72;hsa0000124913-dme0000031577|0.68;hsa0000124917-dme0000031578|0.76;hsa0000124918-dme0000031581|0.71
ENSG00000164924	FBgn0004907	ENST00000395956	FBtr0088414	hsa0000124909-dme0000031574|0.72;hsa0000124913-dme0000031577|0.68;hsa0000124917-dme0000031578|0.76;hsa0000124918-dme0000031581|0.71
ENSG00000164924	FBgn0004907	ENST00000353245	FBtr0332917	hsa0000124909-dme0000031574|0.72;hsa0000124913-dme0000031577|0.68;hsa0000124917-dme0000031578|0.76;hsa0000124918-dme0000031581|0.71
ENSG00000164924	FBgn0004907	ENST00000353245	FBtr0100183	hsa0000124909-dme0000031574|0.72;hsa0000124913-dme0000031577|0.68;hsa0000124917-dme0000031578|0.76;hsa0000124918-dme0000031581|0.71
ENSG00000164924	FBgn0004907	ENST00000353245	FBtr0332916	hsa0000124909-dme0000031574|0.72;hsa0000124913-dme0000031577|0.68;hsa0000124917-dme0000031578|0.76;hsa0000124918-dme0000031581|0.71
ENSG00000164924	FBgn0004907	ENST00000353245	FBtr0088415	hsa0000124909-dme0000031574|0.72;hsa0000124913-dme0000031577|0.68;hsa0000124917-dme0000031578|0.76;hsa0000124918-dme0000031581|0.71
ENSG00000164924	FBgn0004907	ENST00000353245	FBtr0088414	hsa0000124909-dme0000031574|0.72;hsa0000124913-dme0000031577|0.68;hsa0000124917-dme0000031578|0.76;hsa0000124918-dme0000031581|0.71
ENSG00000164924	FBgn0004907	ENST00000395953	FBtr0332917	hsa0000124909-dme0000031574|0.72;hsa0000124913-dme0000031577|0.68;hsa0000124917-dme0000031578|0.76;hsa0000124918-dme0000031581|0.71
ENSG00000164924	FBgn0004907	ENST00000395953	FBtr0100183	hsa0000124909-dme0000031574|0.72;hsa0000124913-dme0000031577|0.68;hsa0000124917-dme0000031578|0.76;hsa0000124918-dme0000031581|0.71
ENSG00000164924	FBgn0004907	ENST00000395953	FBtr0332916	hsa0000124909-dme0000031574|0.72;hsa0000124913-dme0000031577|0.68;hsa0000124917-dme0000031578|0.76;hsa0000124918-dme0000031581|0.71
ENSG00000164924	FBgn0004907	ENST00000395953	FBtr0088415	hsa0000124909-dme0000031574|0.72;hsa0000124913-dme0000031577|0.68;hsa0000124917-dme0000031578|0.76;hsa0000124918-dme0000031581|0.71
ENSG00000164924	FBgn0004907	ENST00000395953	FBtr0088414	hsa0000124909-dme0000031574|0.72;hsa0000124913-dme0000031577|0.68;hsa0000124917-dme0000031578|0.76;hsa0000124918-dme0000031581|0.71
ENSG00000164924	FBgn0004907	ENST00000395951	FBtr0332917	hsa0000124909-dme0000031574|0.72;hsa0000124913-dme0000031577|0.68;hsa0000124917-dme0000031578|0.76;hsa0000124918-dme0000031581|0.71
ENSG00000164924	FBgn0004907	ENST00000395951	FBtr0100183	hsa0000124909-dme0000031574|0.72;hsa0000124913-dme0000031577|0.68;hsa0000124917-dme0000031578|0.76;hsa0000124918-dme0000031581|0.71
ENSG00000164924	FBgn0004907	ENST00000395951	FBtr0332916	hsa0000124909-dme0000031574|0.72;hsa0000124913-dme0000031577|0.68;hsa0000124917-dme0000031578|0.76;hsa0000124918-dme0000031581|0.71
ENSG00000164924	FBgn0004907	ENST00000395951	FBtr0088415	hsa0000124909-dme0000031574|0.72;hsa0000124913-dme0000031577|0.68;hsa0000124917-dme0000031578|0.76;hsa0000124918-dme0000031581|0.71
ENSG00000164924	FBgn0004907	ENST00000395951	FBtr0088414	hsa0000124909-dme0000031574|0.72;hsa0000124913-dme0000031577|0.68;hsa0000124917-dme0000031578|0.76;hsa0000124918-dme0000031581|0.71
ENSG00000164924	FBgn0004907	ENST00000419477	FBtr0332917	hsa0000124909-dme0000031574|0.72;hsa0000124913-dme0000031577|0.68;hsa0000124917-dme0000031578|0.76;hsa0000124918-dme0000031581|0.71
ENSG00000164924	FBgn0004907	ENST00000419477	FBtr0100183	hsa0000124909-dme0000031574|0.72;hsa0000124913-dme0000031577|0.68;hsa0000124917-dme0000031578|0.76;hsa0000124918-dme0000031581|0.71
ENSG00000164924	FBgn0004907	ENST00000419477	FBtr0332916	hsa0000124909-dme0000031574|0.72;hsa0000124913-dme0000031577|0.68;hsa0000124917-dme0000031578|0.76;hsa0000124918-dme0000031581|0.71
ENSG00000164924	FBgn0004907	ENST00000419477	FBtr0088415	hsa0000124909-dme0000031574|0.72;hsa0000124913-dme0000031577|0.68;hsa0000124917-dme0000031578|0.76;hsa0000124918-dme0000031581|0.71
ENSG00000164924	FBgn0004907	ENST00000419477	FBtr0088414	hsa0000124909-dme0000031574|0.72;hsa0000124913-dme0000031577|0.68;hsa0000124917-dme0000031578|0.76;hsa0000124918-dme0000031581|0.71
ENSG00000164924	FBgn0004907	ENST00000521607	FBtr0332917	hsa0000124909-dme0000031574|0.72;hsa0000124913-dme0000031577|0.68;hsa0000124916-dme0000031578|0.69;hsa0000124918-dme0000031581|0.62
ENSG00000164924	FBgn0004907	ENST00000521607	FBtr0100183	hsa0000124909-dme0000031574|0.72;hsa0000124913-dme0000031577|0.68;hsa0000124916-dme0000031578|0.69;hsa0000124918-dme0000031581|0.62
ENSG00000164924	FBgn0004907	ENST00000521607	FBtr0332916	hsa0000124909-dme0000031574|0.72;hsa0000124913-dme0000031577|0.68;hsa0000124916-dme0000031578|0.69;hsa0000124918-dme0000031581|0.62
ENSG00000164924	FBgn0004907	ENST00000521607	FBtr0088415	hsa0000124909-dme0000031574|0.72;hsa0000124913-dme0000031577|0.68;hsa0000124916-dme0000031578|0.69;hsa0000124918-dme0000031581|0.62
ENSG00000164924	FBgn0004907	ENST00000521607	FBtr0088414	hsa0000124909-dme0000031574|0.72;hsa0000124913-dme0000031577|0.68;hsa0000124916-dme0000031578|0.69;hsa0000124918-dme0000031581|0.62
ENSG00000164924	FBgn0004907	ENST00000395958	FBtr0332917	hsa0000124909-dme0000031574|0.72;hsa0000124913-dme0000031577|0.68;hsa0000124917-dme0000031578|0.76;hsa0000124918-dme0000031581|0.71
ENSG00000164924	FBgn0004907	ENST00000395958	FBtr0100183	hsa0000124909-dme0000031574|0.72;hsa0000124913-dme0000031577|0.68;hsa0000124917-dme0000031578|0.76;hsa0000124918-dme0000031581|0.71
ENSG00000164924	FBgn0004907	ENST00000395958	FBtr0332916	hsa0000124909-dme0000031574|0.72;hsa0000124913-dme0000031577|0.68;hsa0000124917-dme0000031578|0.76;hsa0000124918-dme0000031581|0.71
ENSG00000164924	FBgn0004907	ENST00000395958	FBtr0088415	hsa0000124909-dme0000031574|0.72;hsa0000124913-dme0000031577|0.68;hsa0000124917-dme0000031578|0.76;hsa0000124918-dme0000031581|0.71
ENSG00000164924	FBgn0004907	ENST00000395958	FBtr0088414	hsa0000124909-dme0000031574|0.72;hsa0000124913-dme0000031577|0.68;hsa0000124917-dme0000031578|0.76;hsa0000124918-dme0000031581|0.71
ENSG00000164924	FBgn0004907	ENST00000457309	FBtr0332917	hsa0000124909-dme0000031574|0.72;hsa0000124913-dme0000031577|0.68;hsa0000124917-dme0000031578|0.76;hsa0000124918-dme0000031581|0.71
ENSG00000164924	FBgn0004907	ENST00000457309	FBtr0100183	hsa0000124909-dme0000031574|0.72;hsa0000124913-dme0000031577|0.68;hsa0000124917-dme0000031578|0.76;hsa0000124918-dme0000031581|0.71
ENSG00000164924	FBgn0004907	ENST00000457309	FBtr0332916	hsa0000124909-dme0000031574|0.72;hsa0000124913-dme0000031577|0.68;hsa0000124917-dme0000031578|0.76;hsa0000124918-dme0000031581|0.71
ENSG00000164924	FBgn0004907	ENST00000457309	FBtr0088415	hsa0000124909-dme0000031574|0.72;hsa0000124913-dme0000031577|0.68;hsa0000124917-dme0000031578|0.76;hsa0000124918-dme0000031581|0.71
ENSG00000164924	FBgn0004907	ENST00000457309	FBtr0088414	hsa0000124909-dme0000031574|0.72;hsa0000124913-dme0000031577|0.68;hsa0000124917-dme0000031578|0.76;hsa0000124918-dme0000031581|0.71
ENSG00000070761	FBgn0032248	ENST00000262498	FBtr0080044	hsa0000213493-dme0000056766|0.77;hsa0000213497-dme0000056767|0.75
ENSG00000242372	FBgn0034915	ENST00000675032	FBtr0072235	hsa0000250418-dme0000028662|0.73
ENSG00000242372	FBgn0034915	ENST00000374436	FBtr0072235	hsa0000250418-dme0000028662|0.73
ENSG00000242372	FBgn0034915	ENST00000374443	FBtr0072235	hsa0000250419-dme0000028662|0.63
ENSG00000242372	FBgn0034915	ENST00000374450	FBtr0072235	hsa0000250418-dme0000028662|0.73
ENSG00000165496	FBgn0024733	ENST00000298283	FBtr0333910	hsa0000193959-dme0000017420|0.7
ENSG00000165496	FBgn0024733	ENST00000298283	FBtr0299870	hsa0000193959-dme0000017420|0.7
ENSG00000165496	FBgn0024733	ENST00000298283	FBtr0299869	hsa0000193959-dme0000017420|0.7
ENSG00000136942	FBgn0029785	ENST00000348462	FBtr0345788	hsa0000134586-dme0000042519|1.0;hsa0000134587-dme0000042521|0.7;hsa0000134588-dme0000042522|0.67
ENSG00000136942	FBgn0029785	ENST00000348462	FBtr0070800	hsa0000134586-dme0000042519|1.0;hsa0000134587-dme0000042521|0.7;hsa0000134588-dme0000042522|0.67
ENSG00000113384	FBgn0267378	ENST00000265070	FBtr0077840	hsa0000076638-dme0000061939|0.63;hsa0000076640-dme0000061940|0.64;hsa0000076641-dme0000061941|0.72;hsa0000076642-dme0000061942|0.68
ENSG00000113384	FBgn0267378	ENST00000265070	FBtr0100674	hsa0000076638-dme0000061939|0.63;hsa0000076640-dme0000061940|0.64;hsa0000076641-dme0000061941|0.72;hsa0000076642-dme0000061942|0.68
ENSG00000113384	FBgn0267378	ENST00000265070	FBtr0100673	hsa0000076638-dme0000061939|0.63;hsa0000076640-dme0000061940|0.64;hsa0000076641-dme0000061941|0.72;hsa0000076642-dme0000061942|0.68
ENSG00000129562	FBgn0263852	ENST00000250498	FBtr0079719	hsa0000194112-dme0000052827|0.65
ENSG00000102978	FBgn0026373	ENST00000219252	FBtr0080544	hsa0000213929-dme0000060691|0.69
ENSG00000132432	FBgn0031049	ENST00000395535	FBtr0344986	hsa0000102628-dme0000048399|0.7
ENSG00000132432	FBgn0031049	ENST00000395535	FBtr0074745	hsa0000102628-dme0000048399|0.7
ENSG00000132432	FBgn0031049	ENST00000395535	FBtr0340610	hsa0000102628-dme0000048399|0.7
ENSG00000132432	FBgn0031049	ENST00000415949	FBtr0344986	hsa0000102628-dme0000048399|0.7
ENSG00000132432	FBgn0031049	ENST00000415949	FBtr0074745	hsa0000102628-dme0000048399|0.7
ENSG00000132432	FBgn0031049	ENST00000415949	FBtr0340610	hsa0000102628-dme0000048399|0.7
ENSG00000132432	FBgn0031049	ENST00000450622	FBtr0344986	hsa0000102628-dme0000048399|0.7
ENSG00000132432	FBgn0031049	ENST00000450622	FBtr0074745	hsa0000102628-dme0000048399|0.7
ENSG00000132432	FBgn0031049	ENST00000450622	FBtr0340610	hsa0000102628-dme0000048399|0.7
ENSG00000132432	FBgn0031049	ENST00000352861	FBtr0344986	hsa0000102628-dme0000048399|0.7
ENSG00000132432	FBgn0031049	ENST00000352861	FBtr0074745	hsa0000102628-dme0000048399|0.7
ENSG00000132432	FBgn0031049	ENST00000352861	FBtr0340610	hsa0000102628-dme0000048399|0.7
ENSG00000071859	FBgn0039557	ENST00000393600	FBtr0085270	hsa0000116432-dme0000005162|0.69
ENSG00000197958	FBgn0034968	ENST00000361436	FBtr0072176	hsa0000135002-dme0000039786|0.74;hsa0000135003-dme0000039787|0.81;hsa0000135004-dme0000039788|0.75;hsa0000135006-dme0000039789|0.62
ENSG00000197958	FBgn0034968	ENST00000361436	FBtr0072175	hsa0000135002-dme0000039786|0.74;hsa0000135003-dme0000039787|0.81;hsa0000135004-dme0000039788|0.75;hsa0000135006-dme0000039789|0.62
ENSG00000197958	FBgn0034968	ENST00000361436	FBtr0072174	hsa0000135002-dme0000039786|0.74;hsa0000135003-dme0000039787|0.81;hsa0000135004-dme0000039788|0.75;hsa0000135006-dme0000039789|0.62
ENSG00000104388	FBgn0014009	ENST00000262646	FBtr0086124	hsa0000125522-dme0000033464|0.8;hsa0000125524-dme0000033465|0.66;hsa0000125530-dme0000033466|0.71;hsa0000125536-dme0000033467|0.61
ENSG00000104388	FBgn0014009	ENST00000262646	FBtr0336658	hsa0000125522-dme0000033464|0.8;hsa0000125524-dme0000033465|0.66;hsa0000125530-dme0000033466|0.71;hsa0000125536-dme0000033467|0.61
ENSG00000180660	FBgn0027546	ENST00000707125	FBtr0070891	hsa0000192066-dme0000043107|0.68
ENSG00000180660	FBgn0027546	ENST00000379919	FBtr0070891	hsa0000192066-dme0000043107|0.68
ENSG00000180660	FBgn0029003	ENST00000707125	FBtr0070890	hsa0000192066-dme0000050853|0.68
ENSG00000180660	FBgn0029003	ENST00000379919	FBtr0070890	hsa0000192066-dme0000050853|0.68
ENSG00000122490	FBgn0031897	ENST00000474967	FBtr0079414	hsa0000246245-dme0000055018|0.65;hsa0000246249-dme0000055019|1.0
ENSG00000122490	FBgn0031897	ENST00000589452	FBtr0079414	hsa0000246245-dme0000055018|0.65;hsa0000246249-dme0000055019|1.0
ENSG00000239900	FBgn0038467	ENST00000625194	FBtr0083373	hsa0000276222-dme0000008360|0.65
ENSG00000239900	FBgn0038467	ENST00000623063	FBtr0083373	hsa0000276222-dme0000008360|0.66
ENSG00000239900	FBgn0038467	ENST00000679723	FBtr0083373	hsa0000276222-dme0000008360|0.65
ENSG00000239900	FBgn0038467	ENST00000342312	FBtr0083373	hsa0000276222-dme0000008360|0.61
ENSG00000239900	FBgn0038467	ENST00000216194	FBtr0083373	hsa0000276222-dme0000008360|0.65
ENSG00000239900	FBgn0038467	ENST00000680378	FBtr0083373	hsa0000276222-dme0000008360|0.64
ENSG00000178952	FBgn0024556	ENST00000313511	FBtr0087670	hsa0000214518-dme0000032749|0.66
ENSG00000178952	FBgn0024556	ENST00000313511	FBtr0301389	hsa0000214518-dme0000032749|0.66
ENSG00000198033	FBgn0003885	ENST00000400113	FBtr0081538	hsa0000192293-dme0000012771|0.83
ENSG00000198033	FBgn0003884	ENST00000400113	FBtr0081639	hsa0000192293-dme0000011426|1.0;hsa0000192294-dme0000011427|0.85
ENSG00000162385	FBgn0002736	ENST00000371470	FBtr0071569	hsa0000001007-dme0000039896|0.72;hsa0000001010-dme0000039897|0.69
