Gene stable ID	UniProtKB/Swiss-Prot ID
ENSRNOG00000014414	P83858
ENSRNOG00000012109	Q3B7D8
ENSRNOG00000024636	P60895
ENSRNOG00000024636	P60895
ENSRNOG00000014674	Q4QR75
ENSRNOG00000016070	Q9JMI9
ENSRNOG00000056243	Q2IBD0
ENSRNOG00000016547	O70521
ENSRNOG00000005519	P31422
ENSRNOG00000017348	P17108
ENSRNOG00000017376	A3QPB9
ENSRNOG00000005908	Q66HG1
ENSRNOG00000008594	A0JPP5
ENSRNOG00000017420	P70563
ENSRNOG00000008463	Q3B7K9
ENSRNOG00000005703	D4A631
ENSRNOG00000022837	Q498U3
ENSRNOG00000014051	Q5XIU9
ENSRNOG00000063864	O08781
ENSRNOG00000056371	A0A0G2K344
ENSRNOG00000027836	A7VL23
ENSRNOG00000043053	Q5PPG4
ENSRNOG00000071533	Q56UD9
ENSRNOG00000007647	P34975
ENSRNOG00000022323	Q4KLL0
ENSRNOG00000008602	Q4V8K1
ENSRNOG00000009953	P57769
ENSRNOG00000008320	P70470
ENSRNOG00000038825	B7SUM8
ENSRNOG00000023337	Q63548
ENSRNOG00000087915	Q9JM80
ENSRNOG00000011440	D3Z8K2
ENSRNOG00000006980	Q8CF97
ENSRNOG00000007829	Q561R9
ENSRNOG00000011977	D3ZTD8
ENSRNOG00000049075	P55053
ENSRNOG00000009629	P27139
ENSRNOG00000010079	P14141
ENSRNOG00000010698	B0BNN3
ENSRNOG00000017392	P13109
ENSRNOG00000007240	A1A5P2
ENSRNOG00000012278	P70492
ENSRNOG00000017581	Q6AYM1
ENSRNOG00000011951	Q9R012
ENSRNOG00000011623	P62824
ENSRNOG00000058609	Q4KM62
ENSRNOG00000010827	Q66H20
ENSRNOG00000029893	P0C7N0
ENSRNOG00000010853	Q05941
ENSRNOG00000015829	Q2WEA5
ENSRNOG00000009345	Q09426
ENSRNOG00000009851	Q3B8Q3
ENSRNOG00000013737	D3ZAZ5
ENSRNOG00000016358	O35431
ENSRNOG00000014187	P24062
ENSRNOG00000013798	Q2HWF0
ENSRNOG00000013798	Q2HWF0
ENSRNOG00000010797	P97682
ENSRNOG00000024947	P02693
ENSRNOG00000014654	Q498U0
ENSRNOG00000011077	A0A0G2K2P5
ENSRNOG00000055382	Q9JKB0
ENSRNOG00000012556	P61374
ENSRNOG00000004891	Q5FVK8
ENSRNOG00000004898	P18427
ENSRNOG00000060329	O88775
ENSRNOG00000015353	G3V801
ENSRNOG00000011383	Q5XIF3
ENSRNOG00000011631	P21674
ENSRNOG00000012262	Q4QR86
ENSRNOG00000056325	Q6AY59
ENSRNOG00000011929	P16970
ENSRNOG00000053550	P18614
ENSRNOG00000061128	Q5XIP1
ENSRNOG00000012563	Q5PQJ5
ENSRNOG00000013409	P48508
ENSRNOG00000004863	B1WBP0
ENSRNOG00000004639	B5DF45
ENSRNOG00000005191	Q6QA27
ENSRNOG00000004410	P63016
ENSRNOG00000004410	P63016
ENSRNOG00000010308	O09018
ENSRNOG00000008364	P04762
ENSRNOG00000009152	Q5M9G3
ENSRNOG00000009549	D4ABP9
ENSRNOG00000042821	P27274
ENSRNOG00000070614	Q0V8T6
ENSRNOG00000009808	Q66HB3
ENSRNOG00000040040	D3ZN43
ENSRNOG00000008180	Q07014
ENSRNOG00000008555	P60868
ENSRNOG00000008846	Q5U2T6
ENSRNOG00000012019	Q6AY39
ENSRNOG00000012019	Q6AY39
ENSRNOG00000012019	Q6AY39
ENSRNOG00000012019	Q6AY39
ENSRNOG00000012019	Q6AY39
ENSRNOG00000012019	Q6AY39
ENSRNOG00000008943	P04094
ENSRNOG00000012019	Q6AY39
ENSRNOG00000012019	Q6AY39
ENSRNOG00000009488	P18125
ENSRNOG00000014232	P49651
ENSRNOG00000065432	P61227
ENSRNOG00000009683	Q9JI92
ENSRNOG00000014599	D4A2Z8
ENSRNOG00000014793	Q924Y8
ENSRNOG00000009514	P07861
ENSRNOG00000016054	Q5U303
ENSRNOG00000016054	Q5U303
ENSRNOG00000006919	A6JFQ6
ENSRNOG00000010023	Q6AYY8
ENSRNOG00000013351	Q9WU70
ENSRNOG00000056697	P63144
ENSRNOG00000011148	Q08013
ENSRNOG00000014290	P23385
ENSRNOG00000009114	Q5BJX5
ENSRNOG00000009114	Q5BJX5
ENSRNOG00000057096	P10824
ENSRNOG00000005268	P29348
ENSRNOG00000005410	Q4G059
ENSRNOG00000009114	Q5BJX5
ENSRNOG00000014852	Q5XI67
ENSRNOG00000064562	P0C627
ENSRNOG00000005669	Q5PPN4
ENSRNOG00000011586	Q9R1Q2
ENSRNOG00000011058	G3V7L1
ENSRNOG00000012427	Q5PQS3
ENSRNOG00000026672	Q6AY71
ENSRNOG00000008156	P85107
ENSRNOG00000062777	Q5PPJ2
ENSRNOG00000013572	Q64361
ENSRNOG00000014052	Q6AY13
ENSRNOG00000010799	Q9ET55
ENSRNOG00000065130	Q6AY01
ENSRNOG00000015217	Q68FR7
ENSRNOG00000060349	Q810F4
ENSRNOG00000005003	Q63475
ENSRNOG00000050578	Q62639
ENSRNOG00000013397	G3V7R4
ENSRNOG00000001092	Q9Z2Y9
ENSRNOG00000059016	Q569A2
ENSRNOG00000015551	Q6AYS4
ENSRNOG00000005496	Q498T3
ENSRNOG00000014153	Q5BJS2
ENSRNOG00000011616	Q9EPH0
ENSRNOG00000038176	Q5BJP3
ENSRNOG00000067800	Q6HA10
ENSRNOG00000011363	Q769K2
ENSRNOG00000012785	B1WBW4
ENSRNOG00000046647	D4AD37
ENSRNOG00000039949	D3ZXW3
ENSRNOG00000015562	P55281
ENSRNOG00000012932	Q66H60
ENSRNOG00000000988	Q99PK0
ENSRNOG00000016180	O88483
ENSRNOG00000007281	D3ZHA0
ENSRNOG00000038091	Q3MHT3
ENSRNOG00000016437	Q9EQL5
ENSRNOG00000009290	Q68FY1
ENSRNOG00000018107	B5DF11
ENSRNOG00000011107	P28840
ENSRNOG00000027161	Q68FU5
ENSRNOG00000009226	D3ZEG1
ENSRNOG00000012514	Q6AY17
ENSRNOG00000000618	P60756
ENSRNOG00000012183	Q9ESH6
ENSRNOG00000005550	D4A1J9
ENSRNOG00000026937	Q32KJ2
ENSRNOG00000005609	Q64289
ENSRNOG00000004360	Q9QZP1
ENSRNOG00000015516	Q99MB4
ENSRNOG00000015003	O70597
ENSRNOG00000005256	Q6U6G5
ENSRNOG00000013282	D4ABL6
ENSRNOG00000028460	Q3KRC6
ENSRNOG00000001047	Q4KSH7
ENSRNOG00000018674	Q03351
ENSRNOG00000018674	Q03351
ENSRNOG00000001056	Q68FX5
ENSRNOG00000018547	Q5RK00
ENSRNOG00000073687	P41237
ENSRNOG00000014347	P23347
ENSRNOG00000018421	B2GUW6
ENSRNOG00000008380	O35240
ENSRNOG00000001069	B5DF91
ENSRNOG00000010725	P00731
ENSRNOG00000054695	Q63118
ENSRNOG00000005039	Q02445
ENSRNOG00000008557	Q5RKI8
ENSRNOG00000029209	Q66HG0
ENSRNOG00000017427	Q9EPC6
ENSRNOG00000011763	Q9R2C1
ENSRNOG00000013507	Q1H5H1
ENSRNOG00000010453	Q5XHZ6
ENSRNOG00000013703	Q8R4T2
ENSRNOG00000005308	Q5XIK2
ENSRNOG00000006832	Q2THW7
ENSRNOG00000013949	P56574
ENSRNOG00000007416	Q5PQL4
ENSRNOG00000015232	Q5CZZ9
ENSRNOG00000051051	Q6AYT4
ENSRNOG00000025476	Q6AXS2
ENSRNOG00000004458	D4AB66
ENSRNOG00000062383	P70551
ENSRNOG00000062383	P70551
ENSRNOG00000015406	D3ZVR9
ENSRNOG00000006803	Q498R3
ENSRNOG00000025297	D4A4Q2
ENSRNOG00000025297	D4A4Q2
ENSRNOG00000010267	Q5U3Y0
ENSRNOG00000019776	O35180
ENSRNOG00000079458	P62817
ENSRNOG00000013902	Q9EPX4
ENSRNOG00000013902	Q9EPX4
ENSRNOG00000048088	Q6P5P5
ENSRNOG00000016284	D4A218
ENSRNOG00000004300	O08949
ENSRNOG00000007457	Q6P734
ENSRNOG00000030467	Q4V8J2
ENSRNOG00000008706	Q7TST9
ENSRNOG00000014039	Q6IYF9
ENSRNOG00000054514	Q99PV3
ENSRNOG00000007883	P62074
ENSRNOG00000012495	Q9WTQ2
ENSRNOG00000012509	Q5BJ95
ENSRNOG00000008121	Q07782
ENSRNOG00000002524	Q9QYC6
ENSRNOG00000003732	D3ZTV3
ENSRNOG00000003732	D3ZTV3
ENSRNOG00000003732	D3ZTV3
ENSRNOG00000003732	D3ZTV3
ENSRNOG00000039388	D4A9R4
ENSRNOG00000090026	Q63362
ENSRNOG00000014816	P51907
ENSRNOG00000047673	P02524
ENSRNOG00000001192	B0BNM9
ENSRNOG00000001195	Q9ERZ8
ENSRNOG00000013484	P04904
ENSRNOG00000015268	Q66H88
ENSRNOG00000009227	Q9JHG3
ENSRNOG00000010967	Q5XIC3
ENSRNOG00000046852	Q9Z137
ENSRNOG00000008020	O88436
ENSRNOG00000008020	O88436
ENSRNOG00000050023	P62697
ENSRNOG00000039383	Q5RJN7
ENSRNOG00000059968	Q62689
ENSRNOG00000015868	Q9WV41
ENSRNOG00000060867	P01347
ENSRNOG00000015932	D4ACN8
ENSRNOG00000031173	Q66X93
ENSRNOG00000008098	Q45R42
ENSRNOG00000045797	P50596
ENSRNOG00000021799	Q9JKU0
ENSRNOG00000029756	Q6GUG4
ENSRNOG00000047896	Q7TPL3
ENSRNOG00000012178	Q6AZ61
ENSRNOG00000015670	O70257
ENSRNOG00000025951	Q5QD25
ENSRNOG00000061004	Q5HZW3
ENSRNOG00000016371	D4A9K4
ENSRNOG00000013553	Q3T1H2
ENSRNOG00000013149	Q63616
ENSRNOG00000000663	Q5U2Y6
ENSRNOG00000022392	Q9EPX0
ENSRNOG00000010950	Q4KM37
ENSRNOG00000012959	Q62722
ENSRNOG00000001142	P80386
ENSRNOG00000021729	Q45GW3
ENSRNOG00000012357	Q32PZ3
ENSRNOG00000001143	E9PSL7
ENSRNOG00000048152	Q05096
ENSRNOG00000023576	D4A540
ENSRNOG00000061450	O88801
ENSRNOG00000010959	Q4KLM4
ENSRNOG00000010959	Q4KLM4
ENSRNOG00000010959	Q4KLM4
ENSRNOG00000010959	Q4KLM4
ENSRNOG00000005853	P14600
ENSRNOG00000010959	Q4KLM4
ENSRNOG00000006116	P27881
ENSRNOG00000006784	Q9Z143
ENSRNOG00000037720	Q2KJ10
ENSRNOG00000019740	Q923W4
ENSRNOG00000003242	Q5PQS4
ENSRNOG00000001383	Q6AXS0
ENSRNOG00000042944	A1L1L1
ENSRNOG00000015416	Q5FVP2
ENSRNOG00000025895	Q66H98
ENSRNOG00000029401	P63269
ENSRNOG00000001388	P09367
ENSRNOG00000091324	Q923Y5
ENSRNOG00000039869	Q5QD23
ENSRNOG00000028556	D3ZPG5
ENSRNOG00000037871	Q8CFD0
ENSRNOG00000000693	Q9Z2I7
ENSRNOG00000003745	P29596
ENSRNOG00000012227	Q8R424
ENSRNOG00000003833	Q6IUR5
ENSRNOG00000054962	O35078
ENSRNOG00000003915	Q66H28
ENSRNOG00000015076	G3V7X8
ENSRNOG00000019106	P04644
ENSRNOG00000016447	Q5RJT0
ENSRNOG00000016866	O35115
ENSRNOG00000004749	Q62720
ENSRNOG00000003872	Q923U9
ENSRNOG00000013137	P10716
ENSRNOG00000065528	Q07977
ENSRNOG00000002653	Q920B6
ENSRNOG00000002653	Q920B6
ENSRNOG00000002653	Q920B6
ENSRNOG00000002653	Q920B6
ENSRNOG00000004001	Q4V7F3
ENSRNOG00000047653	P02523
ENSRNOG00000013712	Q5BJW3
ENSRNOG00000049770	P56374
ENSRNOG00000001392	P61376
ENSRNOG00000013911	P81799
ENSRNOG00000021294	O35312
ENSRNOG00000000704	O35786
ENSRNOG00000000704	O35786
ENSRNOG00000028557	Q5XIE6
ENSRNOG00000028557	Q5XIE6
ENSRNOG00000000704	O35786
ENSRNOG00000000704	O35786
ENSRNOG00000012924	P0C8N6
ENSRNOG00000067388	A1L108
ENSRNOG00000066701	D3Z9R8
ENSRNOG00000003583	Q7M6Z3
ENSRNOG00000001138	Q53UA7
ENSRNOG00000003841	Q63472
ENSRNOG00000001172	Q5XI59
ENSRNOG00000004789	Q5M9G7
ENSRNOG00000001173	O88751
ENSRNOG00000001173	O88751
ENSRNOG00000005558	Q5U2R2
ENSRNOG00000005558	Q5U2R2
ENSRNOG00000064601	Q5FVQ4
ENSRNOG00000006019	Q5M840
ENSRNOG00000009022	Q6V7V2
ENSRNOG00000001183	P15257
ENSRNOG00000001417	Q5U367
ENSRNOG00000006470	Q7TNJ7
ENSRNOG00000006470	Q7TNJ7
ENSRNOG00000001419	D3ZQJ0
ENSRNOG00000001187	G3V645
ENSRNOG00000001420	P84817
ENSRNOG00000031346	Q5FVJ7
ENSRNOG00000001190	Q66H91
ENSRNOG00000078949	Q9QXT3
ENSRNOG00000003239	Q8K4Y7
ENSRNOG00000003259	Q5XIG2
ENSRNOG00000046946	M0R3Q7
ENSRNOG00000001436	P61983
ENSRNOG00000050645	Q5PQR8
ENSRNOG00000045539	Q4KM79
ENSRNOG00000015455	P18297
ENSRNOG00000001324	B3GSH5
ENSRNOG00000005390	P11654
ENSRNOG00000001148	P19945
ENSRNOG00000008372	Q9JHW5
ENSRNOG00000015903	Q05764
ENSRNOG00000016273	B0BN94
ENSRNOG00000001156	Q8K3P4
ENSRNOG00000013743	P61621
ENSRNOG00000001335	Q4KLI1
ENSRNOG00000045621	D3ZY68
ENSRNOG00000008256	Q5PQN9
ENSRNOG00000023077	Q5BJS7
ENSRNOG00000001163	Q5PPI1
ENSRNOG00000083010	P63170
ENSRNOG00000001171	Q4G064
ENSRNOG00000014508	Q8R431
ENSRNOG00000052140	O70249
ENSRNOG00000008755	P07872
ENSRNOG00000008755	P07872
ENSRNOG00000001353	Q2PWT8
ENSRNOG00000008597	Q4V8F5
ENSRNOG00000001355	Q63801
ENSRNOG00000082402	Q6AYD1
ENSRNOG00000082402	Q6AYD1
ENSRNOG00000082402	Q6AYD1
ENSRNOG00000061733	O08726
ENSRNOG00000001440	P04636
ENSRNOG00000001979	Q6IN33
ENSRNOG00000008447	Q76HP2
ENSRNOG00000009175	Q4KM64
ENSRNOG00000001442	P00388
ENSRNOG00000001704	Q63046
ENSRNOG00000009153	Q5XI33
ENSRNOG00000021555	B2RZC4
ENSRNOG00000009204	Q6AZ51
ENSRNOG00000009414	Q4V7F2
ENSRNOG00000045791	Q3B8Q2
ENSRNOG00000009934	Q5U2V8
ENSRNOG00000009256	Q29TV8
ENSRNOG00000009316	Q4AEG6
ENSRNOG00000001451	D3ZQF4
ENSRNOG00000009556	Q8R416
ENSRNOG00000001598	Q2KJ09
ENSRNOG00000010258	Q64259
ENSRNOG00000001424	P53565
ENSRNOG00000005798	P51638
ENSRNOG00000005806	P70536
ENSRNOG00000001348	P52555
ENSRNOG00000006818	Q9ES40
ENSRNOG00000001425	Q9Z200
ENSRNOG00000004875	Q6AY45
ENSRNOG00000001350	Q6QI44
ENSRNOG00000006966	P09414
ENSRNOG00000005386	P21581
ENSRNOG00000001289	Q5I0E3
ENSRNOG00000004284	Q63073
ENSRNOG00000037768	Q53B90
ENSRNOG00000037768	Q6AYB3
ENSRNOG00000000938	P62828
ENSRNOG00000091268	Q7TSY2
ENSRNOG00000011824	P01150
ENSRNOG00000004390	Q63087
ENSRNOG00000079966	Q5XIJ1
ENSRNOG00000021817	Q4QQS0
ENSRNOG00000087772	Q5XIR6
ENSRNOG00000007551	F1MAD2
ENSRNOG00000011541	Q921A4
ENSRNOG00000012247	P09527
ENSRNOG00000010349	Q9QYH7
ENSRNOG00000000936	P50279
ENSRNOG00000010628	Q5XFW8
ENSRNOG00000001061	Q6AYA0
ENSRNOG00000021938	B4F7C5
ENSRNOG00000012347	Q924Y4
ENSRNOG00000007890	Q569C3
ENSRNOG00000005662	P35400
ENSRNOG00000000249	Q5RJL2
ENSRNOG00000000248	Q6PDU1
ENSRNOG00000013195	P60123
ENSRNOG00000028733	P81377
ENSRNOG00000001312	P28576
ENSRNOG00000001452	Q8K4C8
ENSRNOG00000007874	D3ZKT0
ENSRNOG00000013654	P98087
ENSRNOG00000043381	P97694
ENSRNOG00000089169	P30121
ENSRNOG00000030269	P11506
ENSRNOG00000051928	Q6AYU0
ENSRNOG00000005697	P31647
ENSRNOG00000006527	P23978
ENSRNOG00000029165	P32851
ENSRNOG00000009019	P31643
ENSRNOG00000046007	Q63400
ENSRNOG00000004554	Q01129
ENSRNOG00000007955	P81556
ENSRNOG00000004610	P51886
ENSRNOG00000008839	O88275
ENSRNOG00000002001	Q9WVE9
ENSRNOG00000001525	Q5U2P2
ENSRNOG00000009726	Q9WTW1
ENSRNOG00000008839	O88275
ENSRNOG00000009726	Q9WTW1
ENSRNOG00000001991	Q06647
ENSRNOG00000060175	Q5M954
ENSRNOG00000023030	Q5BK49
ENSRNOG00000073414	Q9EQX9
ENSRNOG00000002044	Q5BK22
ENSRNOG00000010153	P11345
ENSRNOG00000011182	Q64666
ENSRNOG00000027260	Q02589
ENSRNOG00000015898	P09760
ENSRNOG00000023896	Q64346
ENSRNOG00000010912	Q4QR80
ENSRNOG00000001457	Q641W4
ENSRNOG00000006997	P08592
ENSRNOG00000033280	P14925
ENSRNOG00000014751	G3V9H8
ENSRNOG00000001082	Q9QYJ4
ENSRNOG00000001082	Q9QYJ4
ENSRNOG00000006357	P0DJJ3
ENSRNOG00000001544	Q5PQS5
ENSRNOG00000001367	P51653
ENSRNOG00000001360	Q99M76
ENSRNOG00000001528	P07936
ENSRNOG00000054648	Q9R1M3
ENSRNOG00000029811	P63161
ENSRNOG00000009045	Q3T1L5
ENSRNOG00000029811	P63161
ENSRNOG00000029811	P63161
ENSRNOG00000029811	P63161
ENSRNOG00000036670	Q5XHY3
ENSRNOG00000003114	Q66HH1
ENSRNOG00000018604	P85834
ENSRNOG00000036669	P49684
ENSRNOG00000009184	Q498D1
ENSRNOG00000003075	Q5U2V9
ENSRNOG00000011962	Q66H30
ENSRNOG00000010746	P62912
ENSRNOG00000000888	Q5RK30
ENSRNOG00000010880	Q9JJH3
ENSRNOG00000057153	P97535
ENSRNOG00000001984	P15383
ENSRNOG00000000893	Q6AY76
ENSRNOG00000001984	P15383
ENSRNOG00000042384	B1WC97
ENSRNOG00000042503	P19234
ENSRNOG00000001984	P15383
ENSRNOG00000010898	Q8R413
ENSRNOG00000001984	P15383
ENSRNOG00000000900	Q3KR92
ENSRNOG00000018761	B5DFC8
ENSRNOG00000071267	Q8VHM6
ENSRNOG00000036668	Q5M843
ENSRNOG00000002906	Q9R1A7
ENSRNOG00000005713	Q66H73
ENSRNOG00000002115	P07632
ENSRNOG00000036666	Q6AYA6
ENSRNOG00000019206	O54842
ENSRNOG00000010474	Q4AEF8
ENSRNOG00000071408	Q80Z39
ENSRNOG00000006792	B4F7A7
ENSRNOG00000015528	Q63364
ENSRNOG00000002746	Q62632
ENSRNOG00000021399	Q5U3Z0
ENSRNOG00000046202	Q5RJL6
ENSRNOG00000015439	P28494
ENSRNOG00000047023	P28037
ENSRNOG00000047124	Q64578
ENSRNOG00000001238	Q5PQR4
ENSRNOG00000010480	Q5M7U7
ENSRNOG00000031348	B1WBT0
ENSRNOG00000045821	Q3SWT5
ENSRNOG00000019245	P0C606
ENSRNOG00000014765	Q9Z270
ENSRNOG00000027916	Q5XHX6
ENSRNOG00000019342	P17988
ENSRNOG00000027916	Q5XHX6
ENSRNOG00000010507	P50280
ENSRNOG00000010584	Q5HZB0
ENSRNOG00000042189	Q6GQP4
ENSRNOG00000002094	Q6AZ50
ENSRNOG00000019369	Q5PQP5
ENSRNOG00000050805	Q3B8N7
ENSRNOG00000049724	Q6GV29
ENSRNOG00000049724	Q6GV29
ENSRNOG00000019430	Q91ZN1
ENSRNOG00000002052	Q6QD51
ENSRNOG00000065255	D3ZK93
ENSRNOG00000032576	Q62765
ENSRNOG00000007753	P54319
ENSRNOG00000002051	Q62910
ENSRNOG00000013313	B2GV54
ENSRNOG00000014011	D3ZHH1
ENSRNOG00000039024	Q5RKG1
ENSRNOG00000024119	O08725
ENSRNOG00000033434	Q920D5
ENSRNOG00000001247	Q9JK25
ENSRNOG00000028648	Q9WUQ3
ENSRNOG00000022466	Q5BJN5
ENSRNOG00000029148	Q9EQT1
ENSRNOG00000067387	Q9Z335
ENSRNOG00000006983	Q8VIJ4
ENSRNOG00000026293	P17325
ENSRNOG00000017429	O70601
ENSRNOG00000014387	B3STU3
ENSRNOG00000017621	Q2YDU8
ENSRNOG00000001407	B2GUY2
ENSRNOG00000004742	P61023
ENSRNOG00000007859	Q66H89
ENSRNOG00000008390	Q5PPL2
ENSRNOG00000057384	Q6AYG7
ENSRNOG00000053583	P21708
ENSRNOG00000001409	P54313
ENSRNOG00000005478	Q66H94
ENSRNOG00000005483	Q3T1I9
ENSRNOG00000019771	D3ZJK7
ENSRNOG00000045636	P12785
ENSRNOG00000000920	P13286
ENSRNOG00000005284	P17105
ENSRNOG00000032917	Q5U2P3
ENSRNOG00000036676	Q06486
ENSRNOG00000000925	Q5M819
ENSRNOG00000039048	Q9ES58
ENSRNOG00000009652	F1M7Y5
ENSRNOG00000036677	O35910
ENSRNOG00000036681	B2RZ87
ENSRNOG00000064186	P37805
ENSRNOG00000012228	Q920G0
ENSRNOG00000036692	P30082
ENSRNOG00000036691	B0BN72
ENSRNOG00000009487	Q66H29
ENSRNOG00000009487	Q66H29
ENSRNOG00000009487	Q66H29
ENSRNOG00000000931	D3ZTQ1
ENSRNOG00000036689	P04785
ENSRNOG00000045905	A1A5Q5
ENSRNOG00000045905	A1A5Q5
ENSRNOG00000001479	Q5U2Y1
ENSRNOG00000014562	Q794E4
ENSRNOG00000008490	Q5BJP2
ENSRNOG00000036686	Q8K4P2
ENSRNOG00000011648	P29975
ENSRNOG00000014562	Q794E4
ENSRNOG00000014562	Q794E4
ENSRNOG00000031852	Q62813
ENSRNOG00000031852	Q62813
ENSRNOG00000014562	Q794E4
ENSRNOG00000001479	Q5U2Y1
ENSRNOG00000014562	Q794E4
ENSRNOG00000036684	O88637
ENSRNOG00000014578	Q63113
ENSRNOG00000036675	Q6AXU1
ENSRNOG00000010731	Q812E9
ENSRNOG00000036683	B2RZ55
ENSRNOG00000001338	P32755
ENSRNOG00000010731	Q812E9
ENSRNOG00000001480	F1M707
ENSRNOG00000011808	Q02644
ENSRNOG00000007038	P97527
ENSRNOG00000003741	P47971
ENSRNOG00000012098	P32215
ENSRNOG00000030318	Q8VHD7
ENSRNOG00000012098	P32215
ENSRNOG00000036701	P63259
ENSRNOG00000012098	P32215
ENSRNOG00000012098	P32215
ENSRNOG00000004089	Q64610
ENSRNOG00000010060	P60570
ENSRNOG00000001412	P29676
ENSRNOG00000008063	P29266
ENSRNOG00000011416	O35757
ENSRNOG00000036698	Q9ES54
ENSRNOG00000008393	Q66HA4
ENSRNOG00000008393	Q66HA4
ENSRNOG00000048487	Q66HR0
ENSRNOG00000000108	P30919
ENSRNOG00000052802	P05065
ENSRNOG00000006926	Q5FVL0
ENSRNOG00000007351	Q62867
ENSRNOG00000022081	A0JPP7
ENSRNOG00000013379	Q9ERU2
ENSRNOG00000013379	Q9ERU2
ENSRNOG00000008336	O08727
ENSRNOG00000001416	P20156
ENSRNOG00000013526	Q566C5
ENSRNOG00000019920	P70611
ENSRNOG00000019960	Q6AYH2
ENSRNOG00000036693	O89035
ENSRNOG00000025145	Q4G069
ENSRNOG00000004854	O35776
ENSRNOG00000001331	Q6AYH3
ENSRNOG00000009956	Q9JIH7
ENSRNOG00000009956	Q9JIH7
ENSRNOG00000004049	Q6GMN2
ENSRNOG00000024144	P70500
ENSRNOG00000004049	Q6GMN2
ENSRNOG00000001300	P51577
ENSRNOG00000029366	D3ZFB6
ENSRNOG00000058337	O89040
ENSRNOG00000004747	P0CE46
ENSRNOG00000020281	Q5I0E8
